attack_type,rows_in_preregistered_support_files,rows_in_current_1m_legal_support_exact_label,covered_by_current_1m_support,needs_targeted_materialization
C&C Communication,90,0,false,true
File Download,1210,0,false,true
Ingress Tool Transfer,3528,214,true,false
Merlin C&C Communication,9766,0,false,true
Merlin ICMP Flooding,19584,0,false,true
Merlin TCP Flooding,40000,0,false,true
Merlin UDP Flooding,10000,0,false,true
Mirai C&C Communication,358,0,false,true
Mirai GRE Flooding,2007315,0,false,true
Mirai TCP Flooding,2306575,0,false,true
Mirai UDP Flooding,2949430,0,false,true
Reporting,64,0,false,true
TCP Scan,173822,46685,true,false
Telnet Brute Force,97828,39437,true,false
