identity_type,prefix_sha256,bucket_rows,bucket_attack_rows,bucket_benign_rows,hard_protected_conflict,uid,context_key,source_group,device_family,attack_family,owner,label,teacher_kind
canonical_prefix_sha,3e47dfd5d00d1f08b3f0373b1816354f363dc7eb515a5e415340582aecb5d006,2,1,1,true,ton:ton_normal:normal_1:1489381,normal_1.pcapf58a8b747863fc08564d7cbdd4533614a5a82f3965cfa3cc069d9df938a0165e0,normal_1.pcap,ton-iot-external,benign,A,0,benign_normal
canonical_prefix_sha,3e47dfd5d00d1f08b3f0373b1816354f363dc7eb515a5e415340582aecb5d006,2,1,1,true,ton:ckbt_3864843d41e6784e5837,password_normal1.pcap3752bb55a30ff3a038d3d63ad3394e7a1e366f083d22afa15841d742a42450b00,password_normal1.pcap,ton-iot-external,ToN-credential_bruteforce,A,1,attack_hard
canonical_prefix_sha,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,1,25,true,ood_val:fit:21110,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap0134ea24427456693711466269a42a14f15aef775b7dfdd9fb34160f92091ac00,processed/iotsim-building-monitor-2.csv,iotsim-building-monitor,benign,A,0,benign_normal
canonical_prefix_sha,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,1,25,true,ood_val:fit:21521,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap12b3f8afe25fafefba0208b4754bbfb3a83bcf8946631822d8ee19ffdc8d63600,processed/iotsim-building-monitor-2.csv,iotsim-building-monitor,benign,A,0,benign_normal
canonical_prefix_sha,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,1,25,true,ood_val:fit:20973,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap24451860f4dcf6766d423812743f12716cced8737cb90567a776a71eb43ccdf20,processed/iotsim-building-monitor-2.csv,iotsim-building-monitor,benign,A,0,benign_normal
canonical_prefix_sha,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,1,25,true,ood_val:fit:21247,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap25c5edb8dfa0929d891c55446691e82ad5e5b38df2c196b6c678d2ee00afb2c30,processed/iotsim-building-monitor-2.csv,iotsim-building-monitor,benign,A,0,benign_normal
canonical_prefix_sha,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,1,25,true,ood_val:fit:21795,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap26922a814e528c2e17064f7388cdfe1bfee328e16774edee812e1f18402a04980,processed/iotsim-building-monitor-2.csv,iotsim-building-monitor,benign,A,0,benign_normal
canonical_prefix_sha,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,1,25,true,ood_val:fit:21658,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap2698cc287ee6d292e814abd83e023125b17ca59e3a4a82cd6bbd85270f27b42f0,processed/iotsim-building-monitor-2.csv,iotsim-building-monitor,benign,A,0,benign_normal
canonical_prefix_sha,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,1,25,true,ood_val:fit:22343,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap28c8293b3702cfe16c0d329334cadb5d33118c4810355909ac822fb8855153aa0,processed/iotsim-building-monitor-2.csv,iotsim-building-monitor,benign,A,0,benign_normal
canonical_prefix_sha,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,1,25,true,ood_val:fit:21384,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap37ed1881ef8d4856e054f1bc532b27f2adcc23941135fc87d7aac2cdca8374920,processed/iotsim-building-monitor-2.csv,iotsim-building-monitor,benign,A,0,benign_normal
canonical_prefix_sha,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,1,25,true,ood_val:fit:21932,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap5b05bb964d1b9bfb5b750054742495420c1567c5dd5ed4a4ca33900fdbb294fd0,processed/iotsim-building-monitor-2.csv,iotsim-building-monitor,benign,A,0,benign_normal
