held_value,role,phase,all_rows,retained_after_exclusion,held_rows_after_exclusion,pass
iotsim-stream-consumer,support_train,fit,385,385,0,True
iotsim-stream-consumer,support_train,select,0,0,0,True
iotsim-stream-consumer,id_calib,fit,28103,28103,0,True
iotsim-stream-consumer,id_calib,select,51497,51497,0,True
iotsim-stream-consumer,ood_val,fit,11295,11295,0,True
iotsim-stream-consumer,ood_val,select,12205,12205,0,True
iotsim-stream-consumer,ood_stress,fit,149950,0,0,True
iotsim-stream-consumer,ood_stress,select,79950,0,0,True
iotsim-hydraulic-system,support_train,fit,385,385,0,True
iotsim-hydraulic-system,support_train,select,0,0,0,True
iotsim-hydraulic-system,id_calib,fit,28103,28103,0,True
iotsim-hydraulic-system,id_calib,select,51497,51497,0,True
iotsim-hydraulic-system,ood_val,fit,11295,2604,0,True
iotsim-hydraulic-system,ood_val,select,12205,0,0,True
iotsim-hydraulic-system,ood_stress,fit,149950,149950,0,True
iotsim-hydraulic-system,ood_stress,select,79950,79950,0,True
domotic-monitor,support_train,fit,385,385,0,True
domotic-monitor,support_train,select,0,0,0,True
domotic-monitor,id_calib,fit,28103,28103,0,True
domotic-monitor,id_calib,select,51497,51497,0,True
domotic-monitor,ood_val,fit,11295,11295,0,True
domotic-monitor,ood_val,select,12205,12205,0,True
domotic-monitor,ood_stress,fit,149950,149950,0,True
domotic-monitor,ood_stress,select,79950,79950,0,True
combined-cycle,support_train,fit,385,352,0,True
combined-cycle,support_train,select,0,0,0,True
combined-cycle,id_calib,fit,28103,28103,0,True
combined-cycle,id_calib,select,51497,51497,0,True
combined-cycle,ood_val,fit,11295,11295,0,True
combined-cycle,ood_val,select,12205,12205,0,True
combined-cycle,ood_stress,fit,149950,149950,0,True
combined-cycle,ood_stress,select,79950,79950,0,True
iotsim-ip-camera-street,support_train,fit,385,385,0,True
iotsim-ip-camera-street,support_train,select,0,0,0,True
iotsim-ip-camera-street,id_calib,fit,28103,28103,0,True
iotsim-ip-camera-street,id_calib,select,51497,51497,0,True
iotsim-ip-camera-street,ood_val,fit,11295,11295,0,True
iotsim-ip-camera-street,ood_val,select,12205,12205,0,True
iotsim-ip-camera-street,ood_stress,fit,149950,149950,0,True
iotsim-ip-camera-street,ood_stress,select,79950,79950,0,True
