pcap_member,role,packets_read,packets_scanned,pre_record_packets,parse_errors,first_timestamp_epoch,last_timestamp_epoch,warmup_packets,strategy,state_id,split_role,csv_member,record_start_ts,feature_rows_emitted,state_hash_before,state_hash_after
raw/benign/iotsim-cooler-motor-8_0-0_to_OpenvSwitch-18_8-0.pcap,id_benign_train,400,401,0,0,1736880004.192795,1736880084.054193,50,reset_at_split_boundary,reset::id_benign_train::iotsim-cooler-motor-8,ID_benign_train,processed/iotsim-cooler-motor-8.csv,,400,d3e43d19e491fa0ee6713593692305d4a0eb615f4403f8d36cce0c1849af3b9a,ad8906146fe02564f296871a1c5c5783c7f9cb020b7fbb211daffbdad6fc5ec8
raw/benign/iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0.pcap,id_benign_train,400,401,0,0,1736880003.680362,1736880926.658718,50,reset_at_split_boundary,reset::id_benign_train::iotsim-combined-cycle-tls-1,ID_benign_train,processed/iotsim-combined-cycle-tls-1.csv,,400,d3e43d19e491fa0ee6713593692305d4a0eb615f4403f8d36cce0c1849af3b9a,996a6a1b2d6ed307afb61a0a595967239dcf5932b9269c812331a8e9a683246d
raw/benign/iotsim-building-monitor-3_0-0_to_OpenvSwitch-28_3-0.pcap,ood_benign_val,400,401,0,0,1736880023.3023,1736881163.637001,50,reset_at_split_boundary,reset::ood_benign_val::iotsim-building-monitor-3,OOD_benign_val,processed/iotsim-building-monitor-3.csv,,400,d3e43d19e491fa0ee6713593692305d4a0eb615f4403f8d36cce0c1849af3b9a,09b19a2c687e8985fb5698bd8d079915fbac992b83baf85de5c7441cc207d2bb
raw/benign/iotsim-predictive-maintenance-8_0-0_to_OpenvSwitch-19_8-0.pcap,ood_benign_val,400,401,0,0,1736880008.029708,1736880171.160786,50,reset_at_split_boundary,reset::ood_benign_val::iotsim-predictive-maintenance-8,OOD_benign_val,processed/iotsim-predictive-maintenance-8.csv,,400,d3e43d19e491fa0ee6713593692305d4a0eb615f4403f8d36cce0c1849af3b9a,73d24f099eed0899b45670b081ab0bd7a0d19ddf5725692614670be4e120b6d2
raw/benign/iotsim-hydraulic-system-8_0-0_to_OpenvSwitch-15_8-0.pcap,final_ood_benign_eval,400,401,0,0,1736880003.680313,1736880534.62502,50,reset_at_split_boundary,reset::final_ood_benign_eval::iotsim-hydraulic-system-8,final_OOD_benign_eval,processed/iotsim-hydraulic-system-8.csv,,400,d3e43d19e491fa0ee6713593692305d4a0eb615f4403f8d36cce0c1849af3b9a,24460c2117244a74e064d60a90dd4abe3973716f03ab0e348109dc96d239b5ce
raw/benign/iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0.pcap,final_ood_benign_eval,400,401,0,0,1736880015.97485,1736881122.73246,50,reset_at_split_boundary,reset::final_ood_benign_eval::iotsim-domotic-monitor-2,final_OOD_benign_eval,processed/iotsim-domotic-monitor-2.csv,,400,d3e43d19e491fa0ee6713593692305d4a0eb615f4403f8d36cce0c1849af3b9a,1405358eb674b56ad812e10bd2d639d2a4fac973e1532c898f6482c629166cbb
raw/malicious/mirai-infection/iotsim-air-quality-1_0-0_to_OpenvSwitch-25_1-0.pcap,attack_support,400,2433,2032,0,1737235793.490203,1737235810.139011,50,reset_at_split_boundary,reset::attack_support::iotsim-air-quality-1,attack_support,processed/iotsim-air-quality-1.csv,1737235793.490203,400,d3e43d19e491fa0ee6713593692305d4a0eb615f4403f8d36cce0c1849af3b9a,26f9e7b285529ae3121b3623550d223434e36977c44a14b3fb6cb463850e7114
raw/malicious/mirai-infection/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,attack_support,400,1264,863,0,1737235783.576491,1737235795.096604,50,reset_at_split_boundary,reset::attack_support::iotsim-city-power-1,attack_support,processed/iotsim-city-power-1.csv,1737235783.576491,400,d3e43d19e491fa0ee6713593692305d4a0eb615f4403f8d36cce0c1849af3b9a,439765e6dc0b3f645aebbdbf1f58928afcac4b0ce400af46e247ee3823f8e16b
raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,attack_support,400,1367,966,0,1737235781.420146,1737235794.523461,50,reset_at_split_boundary,reset::attack_support::iotsim-combined-cycle-10,attack_support,processed/iotsim-combined-cycle-10.csv,1737235781.420146,400,d3e43d19e491fa0ee6713593692305d4a0eb615f4403f8d36cce0c1849af3b9a,c00669f771c4941570fdce48f669381e53f60938ec6e717a9e73c687f01d08b9
raw/malicious/mirai-infection/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,attack_eval,400,1655,1254,0,1737235764.020608,1737235775.554247,50,reset_at_split_boundary,reset::attack_eval::iotsim-building-monitor-1,attack_eval,processed/iotsim-building-monitor-1.csv,1737235764.020608,400,d3e43d19e491fa0ee6713593692305d4a0eb615f4403f8d36cce0c1849af3b9a,c6100241a625f73355d177b8b64d4e063f4f4737449e016f6fb2187e667abed0
