source_group,missing_targets,SESSION_TIMESTAMP_REGRESSION,NO_IP_SESSION_KEY,UNSUPPORTED_IP_PROTOCOL_NOT_TCP_UDP,NONFINITE_TARGET_TIMESTAMP
iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0,222,0,138,222,0
iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,222,0,138,222,0
iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0,331,0,285,331,0
iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0,329,0,283,329,0
iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0,333,0,287,333,0
iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0,332,0,285,332,0
iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0,333,0,287,333,0
iotsim-combined-cycle-7_0-0_to_OpenvSwitch-13_7-0,334,0,288,334,0
iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0,335,0,286,335,0
iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0,334,0,284,334,0
iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0,178,0,90,178,0
iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,182,0,92,182,0
iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0,226,0,138,226,0
iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,230,0,142,230,0
iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,226,0,138,226,0
iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,226,0,140,226,0
normal_1.pcap,3157,0,2988,3157,0
normal_2.pcap,3518,0,3316,3518,0
normal_scanning1.pcap,0,0,0,0,0
password_normal1.pcap,0,0,0,0,0
processed/iotsim-building-monitor-2.csv,248,0,0,248,0
processed/iotsim-building-monitor-3.csv,133,0,0,133,0
processed/iotsim-city-power-1.csv,54,12,0,54,0
processed/iotsim-combined-cycle-10.csv,3,3,0,0,0
processed/iotsim-combined-cycle-tls-3.csv,14,0,0,14,0
processed/iotsim-combined-cycle-tls-4.csv,18,0,0,18,0
processed/iotsim-combined-cycle-tls-5.csv,17,0,0,17,0
processed/iotsim-ip-camera-museum-1.csv,105,32,0,73,0
