source_group,session_id,requested_ordinal,is_last,present,p2_hard,p2_score,m7_hard
processed/iotsim-hydraulic-system-12.csv,f17d20aa05ef9c616918d1c37a1d12e096636d1c53ba2b3877695604ff18c900,1,False,True,True,0.9578490257263184,False
processed/iotsim-hydraulic-system-12.csv,f17d20aa05ef9c616918d1c37a1d12e096636d1c53ba2b3877695604ff18c900,2,False,True,True,0.9578490257263184,False
processed/iotsim-hydraulic-system-12.csv,f17d20aa05ef9c616918d1c37a1d12e096636d1c53ba2b3877695604ff18c900,4,False,True,True,0.9578490257263184,False
processed/iotsim-hydraulic-system-12.csv,f17d20aa05ef9c616918d1c37a1d12e096636d1c53ba2b3877695604ff18c900,16,False,True,True,0.9578490257263184,False
processed/iotsim-hydraulic-system-12.csv,f17d20aa05ef9c616918d1c37a1d12e096636d1c53ba2b3877695604ff18c900,65,False,True,True,0.9578490257263184,False
processed/iotsim-hydraulic-system-12.csv,f17d20aa05ef9c616918d1c37a1d12e096636d1c53ba2b3877695604ff18c900,455,True,True,True,0.9578490257263184,False
processed/iotsim-hydraulic-system-13.csv,bb9b86efc352c26f6001ee07fba0b8ded6b845ba413dffe806e061e5d5e377d3,1,False,True,True,0.9761788845062256,False
processed/iotsim-hydraulic-system-13.csv,bb9b86efc352c26f6001ee07fba0b8ded6b845ba413dffe806e061e5d5e377d3,2,False,True,True,0.9761788845062256,False
processed/iotsim-hydraulic-system-13.csv,bb9b86efc352c26f6001ee07fba0b8ded6b845ba413dffe806e061e5d5e377d3,4,False,True,True,0.9761788845062256,False
processed/iotsim-hydraulic-system-13.csv,bb9b86efc352c26f6001ee07fba0b8ded6b845ba413dffe806e061e5d5e377d3,16,False,True,True,0.9761788845062256,False
processed/iotsim-hydraulic-system-13.csv,bb9b86efc352c26f6001ee07fba0b8ded6b845ba413dffe806e061e5d5e377d3,65,False,True,True,0.9761788845062256,False
processed/iotsim-hydraulic-system-13.csv,bb9b86efc352c26f6001ee07fba0b8ded6b845ba413dffe806e061e5d5e377d3,449,True,True,True,0.9761788845062256,False
processed/iotsim-hydraulic-system-14.csv,4c5b16278945297a7f8b2736391c00d40915042e6d0e6444765cec7fdfb3087e,1,False,True,True,0.9729325771331788,False
processed/iotsim-hydraulic-system-14.csv,4c5b16278945297a7f8b2736391c00d40915042e6d0e6444765cec7fdfb3087e,2,False,True,True,0.9729325771331788,False
processed/iotsim-hydraulic-system-14.csv,4c5b16278945297a7f8b2736391c00d40915042e6d0e6444765cec7fdfb3087e,4,False,True,True,0.9729325771331788,False
processed/iotsim-hydraulic-system-14.csv,4c5b16278945297a7f8b2736391c00d40915042e6d0e6444765cec7fdfb3087e,16,False,True,True,0.9729325771331788,False
processed/iotsim-hydraulic-system-14.csv,4c5b16278945297a7f8b2736391c00d40915042e6d0e6444765cec7fdfb3087e,65,False,True,True,0.9729325771331788,False
processed/iotsim-hydraulic-system-14.csv,4c5b16278945297a7f8b2736391c00d40915042e6d0e6444765cec7fdfb3087e,450,True,True,True,0.9729325771331788,False
processed/iotsim-hydraulic-system-15.csv,2e8015bc9a2632ede9ddc54624e6c8d71e0364bca39363428bd2b25e14cd25d5,1,False,True,True,0.973518133163452,False
processed/iotsim-hydraulic-system-15.csv,2e8015bc9a2632ede9ddc54624e6c8d71e0364bca39363428bd2b25e14cd25d5,2,False,True,True,0.973518133163452,False
processed/iotsim-hydraulic-system-15.csv,2e8015bc9a2632ede9ddc54624e6c8d71e0364bca39363428bd2b25e14cd25d5,4,False,True,True,0.973518133163452,False
processed/iotsim-hydraulic-system-15.csv,2e8015bc9a2632ede9ddc54624e6c8d71e0364bca39363428bd2b25e14cd25d5,16,False,True,True,0.973518133163452,False
processed/iotsim-hydraulic-system-15.csv,2e8015bc9a2632ede9ddc54624e6c8d71e0364bca39363428bd2b25e14cd25d5,65,False,True,True,0.973518133163452,False
processed/iotsim-hydraulic-system-15.csv,2e8015bc9a2632ede9ddc54624e6c8d71e0364bca39363428bd2b25e14cd25d5,454,True,True,True,0.973518133163452,False
processed/iotsim-hydraulic-system-2.csv,a3d437b7ba342440b34beda34fe15c60720873db85d99be491696bd9f29477a6,1,False,True,True,0.9591482281684875,False
processed/iotsim-hydraulic-system-2.csv,a3d437b7ba342440b34beda34fe15c60720873db85d99be491696bd9f29477a6,2,False,True,True,0.9591482281684875,False
processed/iotsim-hydraulic-system-2.csv,a3d437b7ba342440b34beda34fe15c60720873db85d99be491696bd9f29477a6,4,False,True,True,0.9591482281684875,False
processed/iotsim-hydraulic-system-2.csv,a3d437b7ba342440b34beda34fe15c60720873db85d99be491696bd9f29477a6,16,False,True,True,0.9591482281684875,False
processed/iotsim-hydraulic-system-2.csv,a3d437b7ba342440b34beda34fe15c60720873db85d99be491696bd9f29477a6,65,False,True,True,0.9591482281684875,False
processed/iotsim-hydraulic-system-2.csv,a3d437b7ba342440b34beda34fe15c60720873db85d99be491696bd9f29477a6,455,True,True,True,0.9591482281684875,False
