evaluation_role,dataset,holdout,method,seed,seed_group,support_method,selected_attack_row_id,in_attack_train_pool,overlaps_attack_val,overlaps_attack_eval,selection_uses_attack_eval,selection_uses_final_ood_eval
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,42,main_42_46,kcenter,2931,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,42,main_42_46,kcenter,2934,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,42,main_42_46,kcenter,2936,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,42,main_42_46,kcenter,2938,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,42,main_42_46,kcenter,2939,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,42,main_42_46,kcenter,2942,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,42,main_42_46,kcenter,2951,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,42,main_42_46,kcenter,3086,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,42,main_42_46,kcenter,3091,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,42,main_42_46,kcenter,3129,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,42,main_42_46,kcenter,3131,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,42,main_42_46,kcenter,3132,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,42,main_42_46,kcenter,3133,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,42,main_42_46,kcenter,3134,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,42,main_42_46,kcenter,3136,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,42,main_42_46,kcenter,3137,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,42,main_42_46,kcenter,3140,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,42,main_42_46,kcenter,3154,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,42,main_42_46,kcenter,3156,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,42,main_42_46,kcenter,3281,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,42,main_42_46,kcenter,4462,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,42,main_42_46,kcenter,4464,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,42,main_42_46,kcenter,4473,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,42,main_42_46,kcenter,4753,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,42,main_42_46,kcenter,6136,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,42,main_42_46,kcenter,6319,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,42,main_42_46,kcenter,9040,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,42,main_42_46,kcenter,9042,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,42,main_42_46,kcenter,9092,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,42,main_42_46,kcenter,9429,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,42,main_42_46,kcenter,9605,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,42,main_42_46,kcenter,9684,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M1_V2_top32_fixed_guard_LR,42,main_42_46,kcenter,2931,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M1_V2_top32_fixed_guard_LR,42,main_42_46,kcenter,2934,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M1_V2_top32_fixed_guard_LR,42,main_42_46,kcenter,2936,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M1_V2_top32_fixed_guard_LR,42,main_42_46,kcenter,2938,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M1_V2_top32_fixed_guard_LR,42,main_42_46,kcenter,2939,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M1_V2_top32_fixed_guard_LR,42,main_42_46,kcenter,2942,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M1_V2_top32_fixed_guard_LR,42,main_42_46,kcenter,2951,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M1_V2_top32_fixed_guard_LR,42,main_42_46,kcenter,3086,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M1_V2_top32_fixed_guard_LR,42,main_42_46,kcenter,3091,True,False,False,False,False
locked,locked_harder_holdout,holdout_bin_5,M1_V2_top32_fixed_guard_LR,42,main_42_46,kcenter,3129,True,False,False,False,False
