protocol,bundle,folds,macro_auroc,worst_fold_auroc,macro_average_precision,macro_score_margin,threshold_evaluable_folds,macro_attack_recall,worst_attack_family_recall,macro_benign_fpr
unseen_attack_family_origin,C1_207_upper_bound,3,0.8366690132582425,0.5766737064413939,0.6795942955925475,0.5399680431063715,0,,,
unseen_attack_family_origin,CompactProcess69,3,0.6279050209182856,0.5769511305616338,0.21131355658063386,0.08550108106116579,0,,,
unseen_attack_family_origin,CompactProcess69_history_permuted,3,0.6279050209182856,0.5769511305616338,0.21131355658063386,0.08550108106116579,0,,,
unseen_attack_family_origin,Current20,3,0.597563591844016,0.52,0.21351539781738907,0.0854396178182774,0,,,
unseen_attack_family_origin,TGN9_exact,3,0.5961913660971059,0.52,0.06109709716379432,0.012373991084134292,0,,,
unseen_source_pair,C1_207_upper_bound,10,0.7736974816805862,0.5718162618796198,0.542908047189789,0.4080089585487022,0,,,
unseen_source_pair,CompactProcess69,10,0.6244157054365143,0.6110242872228089,0.2089288503112953,0.06440733233681797,0,,,
unseen_source_pair,CompactProcess69_history_permuted,10,0.6244157054365143,0.6110242872228089,0.2089288503112953,0.06440733233681797,0,,,
unseen_source_pair,Current20,10,0.5686336377643565,0.47089715536105037,0.16392904269650224,0.05967287762094926,0,,,
unseen_source_pair,TGN9_exact,10,0.5678014056638532,0.4754048140043764,0.12778432607041007,0.012702729689363337,0,,,
