scope,source_group,bundle,rows,feature_dim,nonzero_fraction,finite_fraction,varying_columns,matrix_sha256,changed_cell_fraction,changed_row_fraction
all,ALL,TGN9_exact,8344,9,0.33752796420581654,1.0,8,9731dbb1bd45eb6e23ac04fc1c557936ee1e87ecce4f0548f73ccf542a441f2b,,
all,ALL,Current20,8344,20,0.3030740651965484,1.0,19,e2138d7134d2fb0685ebf10dc08c20752f9c8489c85375e0e127d6f8427a09f0,,
all,ALL,CompactProcess69,8344,69,0.4910427696027346,1.0,64,5ac58c832dc2cb0e3024588305ddda6aa68acc8435fde9a74ae3cd804e3d7f21,,
all,ALL,CompactProcess69_history_permuted,8344,69,0.4910427696027346,1.0,64,69e542b1900a51a9b07d11aaaa0e9c90168e591c02ad1312020607e3ed261589,,
all,ALL,C1_207_upper_bound,8344,207,0.6399171379474852,1.0,198,cbb38e34d7db487cbd645956e43bbbd7dba2fa6396cf0b8f2894bdaf5003b519,,
compact_history_control,processed/iotsim-building-monitor-2.csv,CompactProcess69_vs_history_permuted,1690,49,0.5265185364086463,1.0,43,04292c2065aba3b2a805957a00b783f9d6901077b9549a4af535eb31d9a170a1,0.5688926458157227,0.9988165680473373
compact_history_control,processed/iotsim-building-monitor-3.csv,CompactProcess69_vs_history_permuted,914,49,0.5307015585227527,1.0,43,387062148746e076465180380cf7b7832f4e7c3d250ce5477e1c58be268fac3c,0.5793774840351895,0.9989059080962801
compact_history_control,processed/iotsim-city-power-1.csv,CompactProcess69_vs_history_permuted,25,49,0.6759183673469388,1.0,33,9d9dae8f5649b70fb3580da9df5d7c662cd66101a602cbc0546c55acda8f9b47,0.5477551020408163,0.96
compact_history_control,processed/iotsim-combined-cycle-10.csv,CompactProcess69_vs_history_permuted,33,49,0.7198515769944341,1.0,41,11697d9cf61c4a29e9bdf51225c8dcda0e8a6f909971021d9201c335cce2f5d0,0.6920222634508348,0.9696969696969697
compact_history_control,processed/iotsim-combined-cycle-tls-3.csv,CompactProcess69_vs_history_permuted,1894,49,0.5845311725534987,1.0,30,7917d09e5480a184fcd9fabbb4f6f00c6d5d663cd40da39a4171aeb3586b3789,0.5585630239424175,0.9994720168954594
compact_history_control,processed/iotsim-combined-cycle-tls-4.csv,CompactProcess69_vs_history_permuted,1894,49,0.5845311725534987,1.0,30,b15ddbfc5146312a8749de89e5eb26fd71c105f931a4a80756b4cd1cbf4c1d1c,0.5584337219576321,0.9984160506863781
compact_history_control,processed/iotsim-combined-cycle-tls-5.csv,CompactProcess69_vs_history_permuted,1894,49,0.5848436523500635,1.0,30,42fce3722d0c8e1fc7ebfb3a41fe7468a3a4fbcf51d1c259b15100d9ed96e290,0.5565049673512489,0.9994720168954594
