member_index,member_id,targets,maximum_target_position,status,decoded_packets,peak_states,checkpoint_identity,checkpoint_sha256
1,normal_1.pcap,4000,1999921,REUSED_EXACT_MEMBER_CHECKPOINT,0,0,3ec19f4c99920c46739c8e60207f284b5e3c3f3506f8dd867d92d1eafa9c90e4,a2c1c054d02d29b6fa445b57b716c212bfabb19c8b19c58550226258053d9ce0
2,normal_scanning1.pcap,5,565301,REUSED_EXACT_MEMBER_CHECKPOINT,0,0,6c1c4e7926631066034dae985c0fba31ccd490eb972ab572d119b5bb8ab0a895,f2f88316954366070b0f4f249c2f45b7d3a749c23c522f5f76ee3b6cd7071d2c
3,password_normal1.pcap,2000,1687309,REUSED_EXACT_MEMBER_CHECKPOINT,0,0,069995e116ef6070b78db4468b28369f4b02449de0b27b1a1f6472f5309a32f7,916999723eaf506f8bfc1ecf8a0f8a1955101b0f7353d8efd235a4610f21174a
4,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap,1690,2391,REUSED_EXACT_MEMBER_CHECKPOINT,0,0,055ed64f6d9150fb99d164fd22086ec7c56f1d9291d6fd6da83baee04bfb1b71,a07c9b193b5894e1d5715368b39e3bd991bd4327b96c2f5affffb27fda45aafa
5,raw/benign/iotsim-building-monitor-3_0-0_to_OpenvSwitch-28_3-0.pcap,914,1349,REUSED_EXACT_MEMBER_CHECKPOINT,0,0,f6ba540e8b3ab01880a76e2ff74c5b137461c5c23f592076c649958c37008956,900d74ccddd1cb3b8401401b9a82aa3ef9aef2fb68d83830d52d616646a213a1
6,raw/benign/iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0.pcap,600,1099,REUSED_EXACT_MEMBER_CHECKPOINT,0,0,30918b30e5ea586225cf8066a2cd58abc64924cf31329c64f0be3feb35142b81,bf8fab37ec42d5cfe0e0ae9289c4431cfa89d0c0c74649107b4c49acd0f9125b
7,raw/benign/iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0.pcap,600,1099,REUSED_EXACT_MEMBER_CHECKPOINT,0,0,c0189dfdc1cca413f5d4011b59e1d3e2c1480801beba32c61d93b59f5732a7d7,90ea8fe84733e82b6fc3cad415068fd2782d897ca843932603307f172b35b78d
8,raw/benign/iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0.pcap,600,1099,REUSED_EXACT_MEMBER_CHECKPOINT,0,0,b7569059c5d52582b4e598c8819eeca6949dbe6b35a707bf9f42800ba9adb5a6,4a8d1a36e3ceaf34cfe5316202380f067ab32140ce6940e0c6f8396c82c6ae78
9,raw/benign/iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0.pcap,600,1099,REUSED_EXACT_MEMBER_CHECKPOINT,0,0,69f01922db47a1b160341eebe971af7eefe2b0327e38a21999c6828e73cc6d40,5bb42a969306e96b36e637bf1754796801172074eaf8f80b76a4f97355419ff7
10,raw/benign/iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0.pcap,600,1099,REUSED_EXACT_MEMBER_CHECKPOINT,0,0,f106a09a7b246b3e6ad08b1ba0e13ceaf045a43b6b1f4254b0cd74fd4dd0f6ee,fdaa6bfab36b9caa7840da15212a32cd8fa2513cbbbb6b332ee1d491b15275a6
11,raw/benign/iotsim-combined-cycle-tls-3_0-0_to_OpenvSwitch-14_3-0.pcap,270,2802,REUSED_EXACT_MEMBER_CHECKPOINT,0,0,2a1d7608d0c7d36a05e852ac8265eb656e38efa450daea60a45652a9b8076653,532809722c5a3b43aa76944f7c3b2d3481ad5c7ea4dc34d49e5065f7b64759b3
12,raw/benign/iotsim-combined-cycle-tls-4_0-0_to_OpenvSwitch-14_4-0.pcap,270,2808,REUSED_EXACT_MEMBER_CHECKPOINT,0,0,96103cae4bdbda03adfb1307a059953b42d68f476dc0e9a23815fdd473206c38,abf1cd90d12d834acc38c18641d43bafaaf718b6288bf03ac73d5046474eae13
13,raw/benign/iotsim-combined-cycle-tls-5_0-0_to_OpenvSwitch-14_5-0.pcap,269,2806,REUSED_EXACT_MEMBER_CHECKPOINT,0,0,648563ff9d0f0e1f7489b12dc29d798768d2aa6c87c2e4932469ee6fc6fb491a,dbc7241f770e4b1af9867c19928c78cd7b3abf8e750101da6afa7967eeb660d7
