source_group,requested_rows,max_recorded_index,processed_prefix_rows,feature_dim,raw_label_column_read,timestamp_parse_failures,recorded_order_timestamp_violations,baseline_seconds,baseline_snapshots,seconds
processed/iotsim-building-monitor-2.csv,1690,1739,1740,9,False,0,0,5.0,96,0.5492081642150879
processed/iotsim-building-monitor-3.csv,914,963,964,9,False,0,0,5.0,96,0.2685379981994629
processed/iotsim-city-power-1.csv,30,57190,57191,9,False,0,15,5.0,96,4.737882137298584
processed/iotsim-combined-cycle-10.csv,3168,126688,126689,9,False,0,26,5.0,96,110.99493670463562
processed/iotsim-combined-cycle-tls-3.csv,270,1940,1941,9,False,0,0,5.0,96,0.20292925834655762
processed/iotsim-combined-cycle-tls-4.csv,270,1943,1944,9,False,0,0,5.0,96,0.16432571411132812
processed/iotsim-combined-cycle-tls-5.csv,269,1940,1941,9,False,0,0,5.0,96,0.20092344284057617
processed/iotsim-cooler-motor-5.csv,3191,22470,22471,9,False,0,0,5.0,96,3.2027018070220947
processed/iotsim-cooler-motor-6.csv,1306,22464,22465,9,False,0,0,5.0,96,1.7635855674743652
processed/iotsim-cooler-motor-7.csv,1306,22458,22459,9,False,0,0,5.0,96,1.7837483882904053
processed/iotsim-cooler-motor-8.csv,292,5060,5061,9,False,0,0,5.0,96,0.35814571380615234
processed/iotsim-cooler-motor-9.csv,96,1681,1682,9,False,0,0,5.0,96,0.12913966178894043
processed/iotsim-domotic-monitor-1.csv,972,149980,149981,9,False,0,58,5.0,96,137.09966135025024
processed/iotsim-hydraulic-system-1.csv,1353,3868,3869,9,False,0,1,5.0,96,1.1167817115783691
processed/iotsim-hydraulic-system-10.csv,869,2503,2504,9,False,0,0,5.0,96,0.7402768135070801
processed/iotsim-hydraulic-system-11.csv,856,2465,2466,9,False,0,0,5.0,96,0.729029655456543
processed/iotsim-hydraulic-system-12.csv,601,2494,2495,9,False,0,0,5.0,96,0.5248172283172607
processed/iotsim-hydraulic-system-13.csv,597,2477,2478,9,False,0,0,5.0,96,0.55657958984375
processed/iotsim-hydraulic-system-14.csv,598,2480,2481,9,False,0,0,5.0,96,0.5128552913665771
processed/iotsim-hydraulic-system-15.csv,601,2494,2495,9,False,0,0,5.0,96,0.5295379161834717
processed/iotsim-hydraulic-system-2.csv,603,2499,2500,9,False,0,0,5.0,96,0.5315990447998047
processed/iotsim-ip-camera-street-2.csv,3000,99999,100000,9,False,0,1,5.0,96,56.222214460372925
processed/iotsim-stream-consumer-1.csv,4000,149999,150000,9,False,0,10,5.0,96,68.94875645637512
processed/iotsim-stream-consumer-2.csv,3000,79999,80000,9,False,0,0,5.0,96,35.85649585723877
