extension_row_id,support_version,bank_partition,support_val_phase,source_contract_role,source_csv,source_group,exact_attack_label,mechanism_family,source_segment_id,source_segment_start_row,source_segment_end_row,csv_row_index,packet_timestamp_raw,packet_timestamp_epoch,timestamp_column,heuristic_label_pcap_candidate,heuristic_pcap_pairing_confidence,preferred_pcap_member,pcap_pairing_confidence,query_embargo_rows,train_val_embargo_rows,overlap_with_existing_certified_query,overlap_with_support_v1,raw_label_verified,feature_materialization_status,feature_vector_sha256,selection_allowed,report_only,sealed_final,forbidden_for_fit,forbidden_for_threshold,forbidden_for_model_selection,selection_rule,pcap_selection_evidence,heuristic_candidate_overridden,frozen_query_first_epoch,frozen_query_last_epoch,same_capture_candidate_after_frozen_query,temporal_admissibility,quarantine_reason
ckbr_91507dd0f91436933598,support_v2_extension_plan_v1,support_train,not_applicable,quarantined_same_capture_future_order_diagnostic,processed/iotsim-city-power-1.csv,city-power,TCP Scan,reconnaissance_scan,2654,38463,38476,38470,"Jan 18, 2025 21:45:09.220403000 GMT",1737236709.220403,frame.time,raw/malicious/network-scanning/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,medium_scenario_token_match,raw/malicious/mirai-infection/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,high_unique_full_target_time_range,500,32,False,False,True,diagnostic_materialization_only_quarantined,,False,False,False,True,True,True,diagnostic_latest_nonoverlap_segments_one_midpoint_each_query500_trainval_segment_disjoint_then_temporal_gate,row_frame.time_range_unique_cover_overrides_label_name_scenario_heuristic,True,1737236014.326398,1737236386.608933,True,False,same_capture_candidate_occurs_after_already_frozen_future_query
ckbr_ce840012bb0f87b1196d,support_v2_extension_plan_v1,support_train,not_applicable,quarantined_same_capture_future_order_diagnostic,processed/iotsim-city-power-1.csv,city-power,TCP Scan,reconnaissance_scan,2656,38489,38492,38491,"Jan 18, 2025 21:45:09.305268000 GMT",1737236709.305268,frame.time,raw/malicious/network-scanning/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,medium_scenario_token_match,raw/malicious/mirai-infection/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,high_unique_full_target_time_range,500,32,False,False,True,diagnostic_materialization_only_quarantined,,False,False,False,True,True,True,diagnostic_latest_nonoverlap_segments_one_midpoint_each_query500_trainval_segment_disjoint_then_temporal_gate,row_frame.time_range_unique_cover_overrides_label_name_scenario_heuristic,True,1737236014.326398,1737236386.608933,True,False,same_capture_candidate_occurs_after_already_frozen_future_query
ckbr_5f21abc78574f690274d,support_v2_extension_plan_v1,support_train,not_applicable,quarantined_same_capture_future_order_diagnostic,processed/iotsim-city-power-1.csv,city-power,TCP Scan,reconnaissance_scan,2658,38499,38499,38499,"Jan 18, 2025 21:45:09.349498000 GMT",1737236709.349498,frame.time,raw/malicious/network-scanning/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,medium_scenario_token_match,raw/malicious/mirai-infection/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,high_unique_full_target_time_range,500,32,False,False,True,diagnostic_materialization_only_quarantined,,False,False,False,True,True,True,diagnostic_latest_nonoverlap_segments_one_midpoint_each_query500_trainval_segment_disjoint_then_temporal_gate,row_frame.time_range_unique_cover_overrides_label_name_scenario_heuristic,True,1737236014.326398,1737236386.608933,True,False,same_capture_candidate_occurs_after_already_frozen_future_query
ckbr_23ec2de429de4bf2298a,support_v2_extension_plan_v1,support_train,not_applicable,quarantined_same_capture_future_order_diagnostic,processed/iotsim-city-power-1.csv,city-power,TCP Scan,reconnaissance_scan,2660,38526,38535,38531,"Jan 18, 2025 21:45:10.409118000 GMT",1737236710.409118,frame.time,raw/malicious/network-scanning/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,medium_scenario_token_match,raw/malicious/mirai-infection/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,high_unique_full_target_time_range,500,32,False,False,True,diagnostic_materialization_only_quarantined,,False,False,False,True,True,True,diagnostic_latest_nonoverlap_segments_one_midpoint_each_query500_trainval_segment_disjoint_then_temporal_gate,row_frame.time_range_unique_cover_overrides_label_name_scenario_heuristic,True,1737236014.326398,1737236386.608933,True,False,same_capture_candidate_occurs_after_already_frozen_future_query
ckbr_64a073abbeeab1f559e6,support_v2_extension_plan_v1,support_train,not_applicable,quarantined_same_capture_future_order_diagnostic,processed/iotsim-city-power-1.csv,city-power,TCP Scan,reconnaissance_scan,2662,38564,38659,38612,"Jan 18, 2025 21:45:11.479293000 GMT",1737236711.479293,frame.time,raw/malicious/network-scanning/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,medium_scenario_token_match,raw/malicious/mirai-infection/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,high_unique_full_target_time_range,500,32,False,False,True,diagnostic_materialization_only_quarantined,,False,False,False,True,True,True,diagnostic_latest_nonoverlap_segments_one_midpoint_each_query500_trainval_segment_disjoint_then_temporal_gate,row_frame.time_range_unique_cover_overrides_label_name_scenario_heuristic,True,1737236014.326398,1737236386.608933,True,False,same_capture_candidate_occurs_after_already_frozen_future_query
ckbr_5e6fe0561fe10321789d,support_v2_extension_plan_v1,support_train,not_applicable,quarantined_same_capture_future_order_diagnostic,processed/iotsim-city-power-1.csv,city-power,TCP Scan,reconnaissance_scan,2664,38739,38744,38742,"Jan 18, 2025 21:45:14.159324000 GMT",1737236714.159324,frame.time,raw/malicious/network-scanning/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,medium_scenario_token_match,raw/malicious/mirai-infection/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,high_unique_full_target_time_range,500,32,False,False,True,diagnostic_materialization_only_quarantined,,False,False,False,True,True,True,diagnostic_latest_nonoverlap_segments_one_midpoint_each_query500_trainval_segment_disjoint_then_temporal_gate,row_frame.time_range_unique_cover_overrides_label_name_scenario_heuristic,True,1737236014.326398,1737236386.608933,True,False,same_capture_candidate_occurs_after_already_frozen_future_query
ckbr_6470aae0ecbcce46f2cc,support_v2_extension_plan_v1,support_train,not_applicable,quarantined_same_capture_future_order_diagnostic,processed/iotsim-city-power-1.csv,city-power,TCP Scan,reconnaissance_scan,2666,38753,38760,38757,"Jan 18, 2025 21:45:14.255590000 GMT",1737236714.25559,frame.time,raw/malicious/network-scanning/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,medium_scenario_token_match,raw/malicious/mirai-infection/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,high_unique_full_target_time_range,500,32,False,False,True,diagnostic_materialization_only_quarantined,,False,False,False,True,True,True,diagnostic_latest_nonoverlap_segments_one_midpoint_each_query500_trainval_segment_disjoint_then_temporal_gate,row_frame.time_range_unique_cover_overrides_label_name_scenario_heuristic,True,1737236014.326398,1737236386.608933,True,False,same_capture_candidate_occurs_after_already_frozen_future_query
ckbr_9e4caf0965d0d1fa97f7,support_v2_extension_plan_v1,support_train,not_applicable,quarantined_same_capture_future_order_diagnostic,processed/iotsim-city-power-1.csv,city-power,TCP Scan,reconnaissance_scan,2668,38762,38762,38762,"Jan 18, 2025 21:45:14.305587000 GMT",1737236714.305587,frame.time,raw/malicious/network-scanning/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,medium_scenario_token_match,raw/malicious/mirai-infection/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,high_unique_full_target_time_range,500,32,False,False,True,diagnostic_materialization_only_quarantined,,False,False,False,True,True,True,diagnostic_latest_nonoverlap_segments_one_midpoint_each_query500_trainval_segment_disjoint_then_temporal_gate,row_frame.time_range_unique_cover_overrides_label_name_scenario_heuristic,True,1737236014.326398,1737236386.608933,True,False,same_capture_candidate_occurs_after_already_frozen_future_query
ckbr_1eaa85eec4201422664b,support_v2_extension_plan_v1,support_train,not_applicable,quarantined_same_capture_future_order_diagnostic,processed/iotsim-city-power-1.csv,city-power,TCP Scan,reconnaissance_scan,2670,38768,38841,38805,"Jan 18, 2025 21:45:15.237059000 GMT",1737236715.237059,frame.time,raw/malicious/network-scanning/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,medium_scenario_token_match,raw/malicious/mirai-infection/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,high_unique_full_target_time_range,500,32,False,False,True,diagnostic_materialization_only_quarantined,,False,False,False,True,True,True,diagnostic_latest_nonoverlap_segments_one_midpoint_each_query500_trainval_segment_disjoint_then_temporal_gate,row_frame.time_range_unique_cover_overrides_label_name_scenario_heuristic,True,1737236014.326398,1737236386.608933,True,False,same_capture_candidate_occurs_after_already_frozen_future_query
ckbr_7d828741d9ba51fa8d3f,support_v2_extension_plan_v1,support_train,not_applicable,quarantined_same_capture_future_order_diagnostic,processed/iotsim-city-power-1.csv,city-power,TCP Scan,reconnaissance_scan,2672,38875,38922,38899,"Jan 18, 2025 21:45:17.423909000 GMT",1737236717.423909,frame.time,raw/malicious/network-scanning/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,medium_scenario_token_match,raw/malicious/mirai-infection/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,high_unique_full_target_time_range,500,32,False,False,True,diagnostic_materialization_only_quarantined,,False,False,False,True,True,True,diagnostic_latest_nonoverlap_segments_one_midpoint_each_query500_trainval_segment_disjoint_then_temporal_gate,row_frame.time_range_unique_cover_overrides_label_name_scenario_heuristic,True,1737236014.326398,1737236386.608933,True,False,same_capture_candidate_occurs_after_already_frozen_future_query
