support_version,bank_partition,source_csv,source_group,exact_attack_label,rows,immutable,input_sha256
v1_frozen,support_train,processed/iotsim-city-power-1.csv,city-power-1,Merlin ICMP Flooding,13,True,6440c9ba57412149008277c0c6ab2fb9d853a3be8d77b19812b20bed59c3ed99
v1_frozen,support_train,processed/iotsim-city-power-1.csv,city-power-1,Merlin TCP Flooding,24,True,6440c9ba57412149008277c0c6ab2fb9d853a3be8d77b19812b20bed59c3ed99
v1_frozen,support_train,processed/iotsim-city-power-1.csv,city-power-1,Merlin UDP Flooding,12,True,6440c9ba57412149008277c0c6ab2fb9d853a3be8d77b19812b20bed59c3ed99
v1_frozen,support_train,processed/iotsim-city-power-1.csv,city-power-1,Mirai GRE Flooding,30,True,6440c9ba57412149008277c0c6ab2fb9d853a3be8d77b19812b20bed59c3ed99
v1_frozen,support_train,processed/iotsim-city-power-1.csv,city-power-1,Mirai TCP Flooding,33,True,6440c9ba57412149008277c0c6ab2fb9d853a3be8d77b19812b20bed59c3ed99
v1_frozen,support_train,processed/iotsim-city-power-1.csv,city-power-1,Mirai UDP Flooding,25,True,6440c9ba57412149008277c0c6ab2fb9d853a3be8d77b19812b20bed59c3ed99
v1_frozen,support_train,processed/iotsim-combined-cycle-10.csv,combined-cycle-10,File Download,15,True,6440c9ba57412149008277c0c6ab2fb9d853a3be8d77b19812b20bed59c3ed99
v1_frozen,support_train,processed/iotsim-combined-cycle-10.csv,combined-cycle-10,Ingress Tool Transfer,18,True,6440c9ba57412149008277c0c6ab2fb9d853a3be8d77b19812b20bed59c3ed99
v1_frozen,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum-1,Merlin C&C Communication,30,True,6440c9ba57412149008277c0c6ab2fb9d853a3be8d77b19812b20bed59c3ed99
v1_frozen,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum-1,Merlin ICMP Flooding,30,True,6440c9ba57412149008277c0c6ab2fb9d853a3be8d77b19812b20bed59c3ed99
v1_frozen,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum-1,Merlin TCP Flooding,36,True,6440c9ba57412149008277c0c6ab2fb9d853a3be8d77b19812b20bed59c3ed99
v1_frozen,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum-1,Merlin UDP Flooding,18,True,6440c9ba57412149008277c0c6ab2fb9d853a3be8d77b19812b20bed59c3ed99
v1_frozen,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum-1,Mirai C&C Communication,9,True,6440c9ba57412149008277c0c6ab2fb9d853a3be8d77b19812b20bed59c3ed99
v1_frozen,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum-1,Mirai GRE Flooding,30,True,6440c9ba57412149008277c0c6ab2fb9d853a3be8d77b19812b20bed59c3ed99
v1_frozen,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum-1,Mirai TCP Flooding,27,True,6440c9ba57412149008277c0c6ab2fb9d853a3be8d77b19812b20bed59c3ed99
v1_frozen,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum-1,Mirai UDP Flooding,35,True,6440c9ba57412149008277c0c6ab2fb9d853a3be8d77b19812b20bed59c3ed99
v1_frozen,support_val,processed/iotsim-city-power-1.csv,city-power-1,Merlin ICMP Flooding,1,True,e9ac02ff6d3393613e67c43b7612784d6088afa9dec4eca6ab297c0a1dc427d5
v1_frozen,support_val,processed/iotsim-city-power-1.csv,city-power-1,Merlin TCP Flooding,11,True,e9ac02ff6d3393613e67c43b7612784d6088afa9dec4eca6ab297c0a1dc427d5
v1_frozen,support_val,processed/iotsim-city-power-1.csv,city-power-1,Merlin UDP Flooding,5,True,e9ac02ff6d3393613e67c43b7612784d6088afa9dec4eca6ab297c0a1dc427d5
v1_frozen,support_val,processed/iotsim-city-power-1.csv,city-power-1,Mirai GRE Flooding,8,True,e9ac02ff6d3393613e67c43b7612784d6088afa9dec4eca6ab297c0a1dc427d5
v1_frozen,support_val,processed/iotsim-city-power-1.csv,city-power-1,Mirai TCP Flooding,8,True,e9ac02ff6d3393613e67c43b7612784d6088afa9dec4eca6ab297c0a1dc427d5
v1_frozen,support_val,processed/iotsim-city-power-1.csv,city-power-1,Mirai UDP Flooding,9,True,e9ac02ff6d3393613e67c43b7612784d6088afa9dec4eca6ab297c0a1dc427d5
v1_frozen,support_val,processed/iotsim-combined-cycle-10.csv,combined-cycle-10,File Download,5,True,e9ac02ff6d3393613e67c43b7612784d6088afa9dec4eca6ab297c0a1dc427d5
v1_frozen,support_val,processed/iotsim-combined-cycle-10.csv,combined-cycle-10,Ingress Tool Transfer,5,True,e9ac02ff6d3393613e67c43b7612784d6088afa9dec4eca6ab297c0a1dc427d5
v1_frozen,support_val,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum-1,Merlin C&C Communication,10,True,e9ac02ff6d3393613e67c43b7612784d6088afa9dec4eca6ab297c0a1dc427d5
v1_frozen,support_val,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum-1,Merlin ICMP Flooding,13,True,e9ac02ff6d3393613e67c43b7612784d6088afa9dec4eca6ab297c0a1dc427d5
v1_frozen,support_val,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum-1,Merlin TCP Flooding,9,True,e9ac02ff6d3393613e67c43b7612784d6088afa9dec4eca6ab297c0a1dc427d5
v1_frozen,support_val,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum-1,Merlin UDP Flooding,5,True,e9ac02ff6d3393613e67c43b7612784d6088afa9dec4eca6ab297c0a1dc427d5
v1_frozen,support_val,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum-1,Mirai C&C Communication,3,True,e9ac02ff6d3393613e67c43b7612784d6088afa9dec4eca6ab297c0a1dc427d5
v1_frozen,support_val,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum-1,Mirai GRE Flooding,12,True,e9ac02ff6d3393613e67c43b7612784d6088afa9dec4eca6ab297c0a1dc427d5
v1_frozen,support_val,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum-1,Mirai TCP Flooding,12,True,e9ac02ff6d3393613e67c43b7612784d6088afa9dec4eca6ab297c0a1dc427d5
v1_frozen,support_val,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum-1,Mirai UDP Flooding,11,True,e9ac02ff6d3393613e67c43b7612784d6088afa9dec4eca6ab297c0a1dc427d5
