table_type,item,partition_or_protocol,train_rows,validation_rows,calibration_rows,eval_rows,train_candidate_pool_rows,holdout_rows_or_segments,budget,seeds,threshold_rule,final_ood_eval_for_threshold,notes
data_split,ID benign,current final split,8000,2000,5000,35000,N/A,N/A,N/A,N/A,N/A,false,"ID calibration is threshold-only; ID eval is final-only and unused by threshold selection."
data_split,OOD benign,current final split,8000,2000,N/A,10000,N/A,N/A,N/A,N/A,N/A,false,"OOD validation is used only by guarded threshold selection; final OOD eval is held out."
data_split,high-purity attack,current final split,N/A,1374,N/A,1375,4122,N/A,N/A,N/A,N/A,false,"Train candidate pool is used only for positive sampling; eval rows are held out."
data_split,high-purity attack,v7.4 holdout_bin_2,N/A,N/A,N/A,1348,5523,"train bins 3,4,5,6,7,8; eval bin 2",16/32,"42,43,44,45,46","fixed_id_calib_q99; guarded_id_calib_and_ood_val_target1pct",false,"Paired source_rich/original100 holdout case."
data_split,high-purity attack,v7.4 holdout_bin_3,N/A,N/A,N/A,958,5913,"train bins 2,4,5,6,7,8; eval bin 3",16/32,"42,43,44,45,46","fixed_id_calib_q99; guarded_id_calib_and_ood_val_target1pct",false,"Paired source_rich/original100 holdout case."
data_split,high-purity attack,v7.4 holdout_bin_4,N/A,N/A,N/A,1120,5751,"train bins 2,3,5,6,7,8; eval bin 4",16/32,"42,43,44,45,46","fixed_id_calib_q99; guarded_id_calib_and_ood_val_target1pct",false,"Paired source_rich/original100 holdout case."
data_split,high-purity attack,v7.4 holdout_bin_5,N/A,N/A,N/A,877,5994,"train bins 2,3,4,6,7,8; eval bin 5",16/32,"42,43,44,45,46","fixed_id_calib_q99; guarded_id_calib_and_ood_val_target1pct",false,"Paired source_rich/original100 holdout case."
data_split,high-purity attack,v7.4 holdout_bin_6,N/A,N/A,N/A,1001,5870,"train bins 2,3,4,5,7,8; eval bin 6",16/32,"42,43,44,45,46","fixed_id_calib_q99; guarded_id_calib_and_ood_val_target1pct",false,"Paired source_rich/original100 holdout case."
data_split,high-purity attack,v7.4 holdout_bin_7,N/A,N/A,N/A,1141,5730,"train bins 2,3,4,5,6,8; eval bin 7",16/32,"42,43,44,45,46","fixed_id_calib_q99; guarded_id_calib_and_ood_val_target1pct",false,"Paired source_rich/original100 holdout case."
data_split,high-purity attack,v7.4 holdout_bin_8,N/A,N/A,N/A,426,6445,"train bins 2,3,4,5,6,7; eval bin 8",16/32,"42,43,44,45,46","fixed_id_calib_q99; guarded_id_calib_and_ood_val_target1pct",false,"Paired source_rich/original100 holdout case."
data_split,high-purity attack,v7.4 chrono_early_train_late_eval,N/A,N/A,N/A,2568,3426,"train bins 2,3,4; eval bins 6,7,8",16/32,"42,43,44,45,46","fixed_id_calib_q99; guarded_id_calib_and_ood_val_target1pct",false,"Paired chronological holdout case."
data_split,high-purity attack,v7.4 chrono_late_train_early_eval,N/A,N/A,N/A,3426,2568,"train bins 6,7,8; eval bins 2,3,4",16/32,"42,43,44,45,46","fixed_id_calib_q99; guarded_id_calib_and_ood_val_target1pct",false,"Cleanest source_rich hard-holdout case at 32-shot guarded."
budget_definition,16-shot,current few-shot protocol,N/A,N/A,N/A,"held-out OOD benign + held-out attack eval",N/A,N/A,16,"42,43,44,45,46","fixed_id_calib_q99; guarded_id_calib_and_ood_val_target1pct",false,"16 high-purity attack positives train the logistic head; this is not the evaluation set size."
budget_definition,32-shot,current few-shot protocol,N/A,N/A,N/A,"held-out OOD benign + held-out attack eval",N/A,N/A,32,"42,43,44,45,46","fixed_id_calib_q99; guarded_id_calib_and_ood_val_target1pct",false,"32 high-purity attack positives train the logistic head; this is not the evaluation set size."
fairness,original100 official control,current split,"ID benign 8000 + OOD benign 8000",N/A,"ID benign 5000","OOD benign 10000 + attack 1375","attack train pool 4122",N/A,16/32,"42,43,44,45,46","fixed_id_calib_q99; guarded_id_calib_and_ood_val_target1pct",false,"Official control for target alignment on original100 representation."
fairness,source_rich v7.2/v7.3,current split,"ID benign 8000 + OOD benign 8000",N/A,"ID benign 5000","OOD benign 10000 + attack 1375","attack train pool 4122",N/A,"16/32/64; paper focus 16/32","42,43,44,45,46","fixed_id_calib_q99; guarded_id_calib_and_ood_val_target1pct",false,"Source-rich few-shot current-split evidence and DA comparison."
fairness,source_rich v7.4 paired holdout,paired attack-window holdouts,"same negative train split as original100",N/A,"same ID calibration","same final OOD eval; paired attack eval by holdout","same train pool per holdout","9 holdout specs",16/32,"42,43,44,45,46","same fixed and guarded threshold rules",false,"same holdout specs; same budgets; same seeds; same threshold rules; final OOD eval excluded from threshold selection."
runtime_explanation,why fast,frozen representation logistic head,N/A,N/A,N/A,N/A,N/A,N/A,16/32,N/A,N/A,false,"No large model retraining; original100 is 100D and source_rich is 260D; fast runs do not imply tiny eval sets."
