train_groups,validation_groups,train_rows,validation_rows,train_group_count,validation_group_count,train_max_source_share,validation_max_source_share,train_embedding_coverage,validation_embedding_coverage,session_overlap,member_overlap,admissible
iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0,iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0|iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0|iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0|iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0|normal_2.pcap,225,4761,1,5,1.0,0.7744171392564587,0.013333333333333334,0.035916824196597356,0,0,False
iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0|iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0,iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0|iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0|iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0|normal_2.pcap,556,4430,2,4,0.5953237410071942,0.8322799097065463,0.00539568345323741,0.03860045146726862,0,0,False
iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0|iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0|iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0,iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0|iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0|normal_2.pcap,889,4097,3,3,0.374578177727784,0.899926775689529,0.003374578177727784,0.041737856968513544,0,0,False
iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0|iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0|iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0|iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0|normal_2.pcap,1071,3915,4,2,0.31092436974789917,0.9417624521072797,0.0028011204481792717,0.04367816091954023,0,0,False
iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0|iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0|iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0|iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0|iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,normal_2.pcap,1299,3687,5,1,0.25635103926096997,1.0,0.003849114703618168,0.04583672362354217,0,0,False
iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0|iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0|iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0|iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0|normal_2.pcap,iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,4758,228,5,1,0.774905422446406,1.0,0.03614964270701976,0.008771929824561403,0,0,False
iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0|iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0|iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0|iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0|normal_2.pcap,1117,3869,4,2,0.2981199641897941,0.9529594210390282,0.004476275738585497,0.0436805376066167,0,0,False
iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0|iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0|iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0|iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0|normal_2.pcap,iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,4804,182,5,1,0.7674854288093256,1.0,0.036219816819317234,0.0,0,0,False
iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0|iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0|iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0|normal_2.pcap,iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0|iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,4576,410,4,2,0.8057255244755245,0.5560975609756098,0.037587412587412584,0.004878048780487805,0,0,False
iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0|iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0|iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0|iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0|normal_2.pcap,738,4248,3,3,0.44850948509485095,0.8679378531073446,0.0040650406504065045,0.04025423728813559,0,0,False
