asset_name,asset_type,path,key_files_or_fields,reusable_for_e5,reuse_degree,notes
original100_feature_cache,feature_cache,"D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\frontend_f2_crosscapture_stage1_2026-04-13\data; D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\frontend_f2_attack_source_2026-04-13\data","id_source_100.npy; ood_benign_source_100.npy; attack_source_100.npy","E5-A original100 budget sensitivity; E5-B original100 contamination stress test",high,"Current primary representation and split-compatible cache already exist."
source_rich_feature_cache,feature_cache,"D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-frontend-f2\runs\frontend_f2_source_rich_crosscapture_stage1_2026-04-20\data; D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-frontend-f2\runs\frontend_f2_source_rich_attack_source_2026-04-20\data","id_source_expression_source_rich_v1_260.npy; ood_benign_source_expression_source_rich_v1_260.npy; attack_source_expression_source_rich_v1_260.npy","Optional appendix source_rich budget sensitivity",medium,"Usable, but not recommended as E5 mainline to avoid source_rich role drift."
original100_official_control_run,fewshot_results,"D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\original100_fewshot_official_control_2026-04-22","results.csv; original100_fewshot_official_control_summary.csv; diagnostics.json; config.json; selected_positive_samples.csv","Baseline rows for 16/32-shot; script/protocol template for 4/8/64-shot",high,"Existing results cover 16/32 only; 4/8/64 require same-protocol LR-head rerun if E5 starts."
source_rich_v7_2_fairness_run,fewshot_results,"D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-frontend-f2\runs\frontend_f2_v7_2_fairness_validation_2026-04-22","results.csv; frontend_f2_v7_2_fairness_summary.csv; feature_importance; top_features; config.json","Appendix or secondary budget evidence; source_rich 16/32/64 already available",medium,"64-shot exists as appendix candidate; source_rich should not become E5 mainline."
source_rich_v7_3_v7_4_runs,auxiliary_results,"D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-frontend-f2\runs\frontend_f2_v7_3_da_fairness_comparison_2026-04-22; D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-frontend-f2\runs\frontend_f2_v7_4_paired_holdout_fairness_2026-04-22","v7.3 dA comparison; v7.4 paired holdout results","Auxiliary appendix context only",low,"Do not expand these for E5 unless separately requested."
e2_seed_stability_pack,packaging_results,"D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\fewshot_seed_stability_pack_2026-04-30","seed_summary.csv; paper_facing_table.csv; seed_figure.png; manifest.json","Template for E5 budget-sensitivity aggregation and figures",high,"Can be extended after formal E5 results exist; no need to invent new metrics."
e3_protocol_audit,protocol_audit,"D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\fewshot_protocol_audit_2026-04-30","threshold_provenance.csv; support_split_audit.csv; protocol_audit_summary.json","Threshold/split provenance template for E5",high,"Threshold non-leakage logic should be inherited unchanged."
e3b_support_id_provenance,support_provenance,"D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\fewshot_protocol_audit_2026-04-30\support_id_provenance","selected_support_ids_full.csv; support_id_provenance_summary.csv; validation.csv","Template for 4/8/64 support IDs and contaminated-positive provenance",high,"Current full provenance covers original100 16/32 and source_rich 16/32/64; E5 should regenerate full IDs for every new budget/contamination setting."
stage2_attack_manifest,purity_metadata,"D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_joint_eval_stage2_2026-04-01\attack_manifest_stage2.json","stage2_high_purity_attack=6871; stage2_boundary_mixed_attack=1297; bin-level malicious ratios","Potential lower-purity design reference; high-purity split definition",medium,"Boundary/mixed metadata exists, but lower-purity positives need careful row-id reconstruction and should not be the default E5-B design."
contamination_script,missing_script,"not found","No current original100 contamination-positive script found","E5-B requires new minimal script or wrapper",none,"Use only if E5 is approved; script must preserve threshold provenance and support contamination provenance."
