scope,source_group,bundle,rows,feature_dim,nonzero_fraction,finite_fraction,varying_columns,matrix_sha256,changed_cell_fraction,changed_row_fraction
all,ALL,TGN9_exact,8671,9,0.33885621291918144,1.0,9,6eb9afff96d9108dc106d4eb9d85b1c83044b9cb8a1cb3d7b2afff31783f1524,,
all,ALL,Current20,8671,20,0.3031195940491293,1.0,20,76970be85e55864dcc1335e447f1886048458e9235afeb700d9e56593376e72e,,
all,ALL,CompactProcess69,8671,69,0.4892837862005452,1.0,67,b64bf596f33ad17a501d2db988ecbed9bac15315916ae37b6177e20f73bccd01,,
all,ALL,CompactProcess69_history_permuted,8671,69,0.4892837862005452,1.0,67,9731728817aea2f67d19b654b1b97371ea1a092b4b84a8eb7137110eeda163d0,,
all,ALL,C1_207_upper_bound,8671,207,0.6383575213508074,1.0,203,2c4c41eb0a48a1b9b06baafd8d84ed90e57aae2d5e4306201f42e0970230421f,,
compact_history_control,processed/iotsim-building-monitor-2.csv,CompactProcess69_vs_history_permuted,1690,49,0.5265185364086463,1.0,43,04292c2065aba3b2a805957a00b783f9d6901077b9549a4af535eb31d9a170a1,0.5688926458157227,0.9988165680473373
compact_history_control,processed/iotsim-building-monitor-3.csv,CompactProcess69_vs_history_permuted,914,49,0.5307015585227527,1.0,43,387062148746e076465180380cf7b7832f4e7c3d250ce5477e1c58be268fac3c,0.5793774840351895,0.9989059080962801
compact_history_control,processed/iotsim-city-power-1.csv,CompactProcess69_vs_history_permuted,137,49,0.48681662446000296,1.0,44,6fbcfaa97ff2ebe52e55cfb90092f88fe7222eee8bcc23d4cea8bcf8e6b500fb,0.5253984805601073,0.9927007299270073
compact_history_control,processed/iotsim-combined-cycle-10.csv,CompactProcess69_vs_history_permuted,33,49,0.7241805813234384,1.0,41,37663b1f7959196444827f50404670841de73209d606b96709597ce23382be2f,0.6963512677798392,0.9696969696969697
compact_history_control,processed/iotsim-combined-cycle-tls-3.csv,CompactProcess69_vs_history_permuted,1894,49,0.5845311725534987,1.0,30,7917d09e5480a184fcd9fabbb4f6f00c6d5d663cd40da39a4171aeb3586b3789,0.5585630239424175,0.9994720168954594
compact_history_control,processed/iotsim-combined-cycle-tls-4.csv,CompactProcess69_vs_history_permuted,1894,49,0.5845311725534987,1.0,30,b15ddbfc5146312a8749de89e5eb26fd71c105f931a4a80756b4cd1cbf4c1d1c,0.5584337219576321,0.9984160506863781
compact_history_control,processed/iotsim-combined-cycle-tls-5.csv,CompactProcess69_vs_history_permuted,1894,49,0.5848436523500635,1.0,30,42fce3722d0c8e1fc7ebfb3a41fe7468a3a4fbcf51d1c259b15100d9ed96e290,0.5565049673512489,0.9994720168954594
compact_history_control,processed/iotsim-ip-camera-museum-1.csv,CompactProcess69_vs_history_permuted,215,49,0.5306122448979592,1.0,45,bda27c8c24359796ae0d8466d72d41f7fea4cacbca52a9b6236b1415ff954484,0.5896535358329378,1.0
