protocol,fold,train_rows,test_rows,train_sources,test_sources,source_overlap,test_labels_used_for_fit_or_threshold
unseen_source_pair,benign=processed/iotsim-building-monitor-2.csv|attack=processed/iotsim-city-power-1.csv,6844,1827,processed/iotsim-building-monitor-3.csv;processed/iotsim-combined-cycle-10.csv;processed/iotsim-combined-cycle-tls-3.csv;processed/iotsim-combined-cycle-tls-4.csv;processed/iotsim-combined-cycle-tls-5.csv;processed/iotsim-ip-camera-museum-1.csv,processed/iotsim-building-monitor-2.csv;processed/iotsim-city-power-1.csv,0,0
unseen_source_pair,benign=processed/iotsim-building-monitor-2.csv|attack=processed/iotsim-combined-cycle-10.csv,6948,1723,processed/iotsim-building-monitor-3.csv;processed/iotsim-city-power-1.csv;processed/iotsim-combined-cycle-tls-3.csv;processed/iotsim-combined-cycle-tls-4.csv;processed/iotsim-combined-cycle-tls-5.csv;processed/iotsim-ip-camera-museum-1.csv,processed/iotsim-building-monitor-2.csv;processed/iotsim-combined-cycle-10.csv,0,0
unseen_source_pair,benign=processed/iotsim-building-monitor-2.csv|attack=processed/iotsim-ip-camera-museum-1.csv,6766,1905,processed/iotsim-building-monitor-3.csv;processed/iotsim-city-power-1.csv;processed/iotsim-combined-cycle-10.csv;processed/iotsim-combined-cycle-tls-3.csv;processed/iotsim-combined-cycle-tls-4.csv;processed/iotsim-combined-cycle-tls-5.csv,processed/iotsim-building-monitor-2.csv;processed/iotsim-ip-camera-museum-1.csv,0,0
unseen_source_pair,benign=processed/iotsim-building-monitor-3.csv|attack=processed/iotsim-city-power-1.csv,7620,1051,processed/iotsim-building-monitor-2.csv;processed/iotsim-combined-cycle-10.csv;processed/iotsim-combined-cycle-tls-3.csv;processed/iotsim-combined-cycle-tls-4.csv;processed/iotsim-combined-cycle-tls-5.csv;processed/iotsim-ip-camera-museum-1.csv,processed/iotsim-building-monitor-3.csv;processed/iotsim-city-power-1.csv,0,0
unseen_source_pair,benign=processed/iotsim-building-monitor-3.csv|attack=processed/iotsim-combined-cycle-10.csv,7724,947,processed/iotsim-building-monitor-2.csv;processed/iotsim-city-power-1.csv;processed/iotsim-combined-cycle-tls-3.csv;processed/iotsim-combined-cycle-tls-4.csv;processed/iotsim-combined-cycle-tls-5.csv;processed/iotsim-ip-camera-museum-1.csv,processed/iotsim-building-monitor-3.csv;processed/iotsim-combined-cycle-10.csv,0,0
unseen_source_pair,benign=processed/iotsim-building-monitor-3.csv|attack=processed/iotsim-ip-camera-museum-1.csv,7542,1129,processed/iotsim-building-monitor-2.csv;processed/iotsim-city-power-1.csv;processed/iotsim-combined-cycle-10.csv;processed/iotsim-combined-cycle-tls-3.csv;processed/iotsim-combined-cycle-tls-4.csv;processed/iotsim-combined-cycle-tls-5.csv,processed/iotsim-building-monitor-3.csv;processed/iotsim-ip-camera-museum-1.csv,0,0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-3.csv|attack=processed/iotsim-city-power-1.csv,6640,2031,processed/iotsim-building-monitor-2.csv;processed/iotsim-building-monitor-3.csv;processed/iotsim-combined-cycle-10.csv;processed/iotsim-combined-cycle-tls-4.csv;processed/iotsim-combined-cycle-tls-5.csv;processed/iotsim-ip-camera-museum-1.csv,processed/iotsim-city-power-1.csv;processed/iotsim-combined-cycle-tls-3.csv,0,0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-3.csv|attack=processed/iotsim-combined-cycle-10.csv,6744,1927,processed/iotsim-building-monitor-2.csv;processed/iotsim-building-monitor-3.csv;processed/iotsim-city-power-1.csv;processed/iotsim-combined-cycle-tls-4.csv;processed/iotsim-combined-cycle-tls-5.csv;processed/iotsim-ip-camera-museum-1.csv,processed/iotsim-combined-cycle-10.csv;processed/iotsim-combined-cycle-tls-3.csv,0,0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-3.csv|attack=processed/iotsim-ip-camera-museum-1.csv,6562,2109,processed/iotsim-building-monitor-2.csv;processed/iotsim-building-monitor-3.csv;processed/iotsim-city-power-1.csv;processed/iotsim-combined-cycle-10.csv;processed/iotsim-combined-cycle-tls-4.csv;processed/iotsim-combined-cycle-tls-5.csv,processed/iotsim-combined-cycle-tls-3.csv;processed/iotsim-ip-camera-museum-1.csv,0,0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-4.csv|attack=processed/iotsim-city-power-1.csv,6640,2031,processed/iotsim-building-monitor-2.csv;processed/iotsim-building-monitor-3.csv;processed/iotsim-combined-cycle-10.csv;processed/iotsim-combined-cycle-tls-3.csv;processed/iotsim-combined-cycle-tls-5.csv;processed/iotsim-ip-camera-museum-1.csv,processed/iotsim-city-power-1.csv;processed/iotsim-combined-cycle-tls-4.csv,0,0
