asset_name,file_path,asset_type,role,modified_or_created
received_22年-26年问题定义报告.md,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\problem_reframing_2022_2026_acceptance_2026-05-17\received_22年-26年问题定义报告.md,acceptance_pack,problem-driven reframing governance,yes
summary.md,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\problem_reframing_2022_2026_acceptance_2026-05-17\summary.md,acceptance_pack,problem-driven reframing governance,yes
problem_definition_candidates.md,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\problem_reframing_2022_2026_acceptance_2026-05-17\problem_definition_candidates.md,acceptance_pack,problem-driven reframing governance,yes
paper_claim_boundary.md,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\problem_reframing_2022_2026_acceptance_2026-05-17\paper_claim_boundary.md,acceptance_pack,problem-driven reframing governance,yes
experiment_priority_plan.md,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\problem_reframing_2022_2026_acceptance_2026-05-17\experiment_priority_plan.md,acceptance_pack,problem-driven reframing governance,yes
experiment_priority_plan.csv,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\problem_reframing_2022_2026_acceptance_2026-05-17\experiment_priority_plan.csv,acceptance_pack,problem-driven reframing governance,yes
codex_research_role.md,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\problem_reframing_2022_2026_acceptance_2026-05-17\codex_research_role.md,acceptance_pack,problem-driven reframing governance,yes
source_report_metadata.json,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\problem_reframing_2022_2026_acceptance_2026-05-17\source_report_metadata.json,acceptance_pack,problem-driven reframing governance,yes
doc_update_report.md,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\problem_reframing_2022_2026_acceptance_2026-05-17\doc_update_report.md,acceptance_pack,problem-driven reframing governance,yes
research_governance_v1.md,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\mainline_docs\research_governance_v1.md,project_governance,problem-driven reframing governance,yes
mainline_handoff.md,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\mainline_docs\mainline_handoff.md,acceptance_pack,problem-driven reframing governance,yes
mainline_experiment_map.md,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\mainline_docs\mainline_experiment_map.md,acceptance_pack,problem-driven reframing governance,yes
manifest.csv,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\problem_reframing_2022_2026_acceptance_2026-05-17\manifest.csv,acceptance_pack,asset manifest,yes
