source_group,fit_target_events,fit_horizon_event_position,source_raw_events_total,raw_events_visible_to_ssl,nonfit_raw_events_visible_to_ssl,future_label_max_event_position,future_outcomes_from_fit_events_only,select_report_outcome_used,reverse_positive,completion_labeled,completion_positive,retry_positive,candidate,seed
processed/iotsim-combined-cycle-10.csv,33,32741,138509,33,0,32741,True,False,31,2,2,29,M1-SSL,27
processed/iotsim-ip-camera-museum-1.csv,215,10138068,10447197,215,0,10138068,True,False,115,20,20,200,M1-SSL,27
processed/iotsim-city-power-1.csv,137,1148674,1516431,137,0,1148674,True,False,84,12,11,130,M1-SSL,27
processed/iotsim-combined-cycle-tls-3.csv,270,1940,1944,270,0,1940,True,False,207,0,0,229,M1-SSL,27
processed/iotsim-combined-cycle-tls-4.csv,270,1943,1944,270,0,1943,True,False,210,0,0,233,M1-SSL,27
processed/iotsim-combined-cycle-tls-5.csv,269,1940,1944,269,0,1940,True,False,202,0,0,229,M1-SSL,27
processed/iotsim-cooler-motor-5.csv,3191,22470,22471,3191,0,22470,True,False,3077,0,0,3135,M1-SSL,27
processed/iotsim-hydraulic-system-1.csv,1353,17411,17432,1353,0,17411,True,False,1044,0,0,1313,M1-SSL,27
processed/iotsim-hydraulic-system-10.csv,869,2503,2506,869,0,2503,True,False,670,0,0,852,M1-SSL,27
processed/iotsim-hydraulic-system-11.csv,856,2465,2466,856,0,2465,True,False,636,0,0,828,M1-SSL,27
processed/iotsim-building-monitor-2.csv,598,1737,1740,598,0,1737,True,False,414,6,6,592,M1-SSL,27
processed/iotsim-building-monitor-3.csv,324,963,1740,324,0,963,True,False,206,7,7,317,M1-SSL,27
processed/iotsim-stream-consumer-1.csv,4000,149999,465094,4000,0,149999,True,False,1978,0,0,3996,M1-SSL,27
processed/iotsim-combined-cycle-10.csv,33,32741,138509,33,0,32741,True,False,31,2,2,29,M1-SSL,27
processed/iotsim-ip-camera-museum-1.csv,215,10138068,10447197,215,0,10138068,True,False,115,20,20,200,M1-SSL,27
processed/iotsim-city-power-1.csv,137,1148674,1516431,137,0,1148674,True,False,84,12,11,130,M1-SSL,27
processed/iotsim-combined-cycle-tls-3.csv,270,1940,1944,270,0,1940,True,False,207,0,0,229,M1-SSL,27
processed/iotsim-combined-cycle-tls-4.csv,270,1943,1944,270,0,1943,True,False,210,0,0,233,M1-SSL,27
processed/iotsim-combined-cycle-tls-5.csv,269,1940,1944,269,0,1940,True,False,202,0,0,229,M1-SSL,27
processed/iotsim-cooler-motor-5.csv,3191,22470,22471,3191,0,22470,True,False,3077,0,0,3135,M1-SSL,27
processed/iotsim-hydraulic-system-1.csv,1353,17411,17432,1353,0,17411,True,False,1044,0,0,1313,M1-SSL,27
processed/iotsim-hydraulic-system-10.csv,869,2503,2506,869,0,2503,True,False,670,0,0,852,M1-SSL,27
processed/iotsim-hydraulic-system-11.csv,856,2465,2466,856,0,2465,True,False,636,0,0,828,M1-SSL,27
processed/iotsim-building-monitor-2.csv,598,1737,1740,598,0,1737,True,False,414,6,6,592,M1-SSL,27
processed/iotsim-building-monitor-3.csv,324,963,1740,324,0,963,True,False,206,7,7,317,M1-SSL,27
processed/iotsim-combined-cycle-10.csv,33,32741,138509,33,0,32741,True,False,31,2,2,29,M1-SSL,27
processed/iotsim-ip-camera-museum-1.csv,215,10138068,10447197,215,0,10138068,True,False,115,20,20,200,M1-SSL,27
processed/iotsim-city-power-1.csv,137,1148674,1516431,137,0,1148674,True,False,84,12,11,130,M1-SSL,27
processed/iotsim-combined-cycle-tls-3.csv,270,1940,1944,270,0,1940,True,False,207,0,0,229,M1-SSL,27
processed/iotsim-combined-cycle-tls-4.csv,270,1943,1944,270,0,1943,True,False,210,0,0,233,M1-SSL,27
processed/iotsim-combined-cycle-tls-5.csv,269,1940,1944,269,0,1940,True,False,202,0,0,229,M1-SSL,27
processed/iotsim-cooler-motor-5.csv,3191,22470,22471,3191,0,22470,True,False,3077,0,0,3135,M1-SSL,27
processed/iotsim-building-monitor-2.csv,1690,1739,1740,1690,0,1739,True,False,1514,24,24,1684,M1-SSL,27
processed/iotsim-building-monitor-3.csv,914,963,1740,914,0,963,True,False,817,14,14,908,M1-SSL,27
processed/iotsim-stream-consumer-1.csv,4000,149999,465094,4000,0,149999,True,False,1978,0,0,3996,M1-SSL,27
processed/iotsim-combined-cycle-10.csv,33,32741,138509,33,0,32741,True,False,31,2,2,29,M1-SSL,27
processed/iotsim-ip-camera-museum-1.csv,215,10138068,10447197,215,0,10138068,True,False,115,20,20,200,M1-SSL,27
processed/iotsim-city-power-1.csv,137,1148674,1516431,137,0,1148674,True,False,84,12,11,130,M1-SSL,27
processed/iotsim-combined-cycle-tls-3.csv,270,1940,1944,270,0,1940,True,False,207,0,0,229,M1-SSL,27
processed/iotsim-combined-cycle-tls-4.csv,270,1943,1944,270,0,1943,True,False,210,0,0,233,M1-SSL,27
processed/iotsim-combined-cycle-tls-5.csv,269,1940,1944,269,0,1940,True,False,202,0,0,229,M1-SSL,27
processed/iotsim-cooler-motor-5.csv,3191,22470,22471,3191,0,22470,True,False,3077,0,0,3135,M1-SSL,27
processed/iotsim-hydraulic-system-1.csv,1353,17411,17432,1353,0,17411,True,False,1044,0,0,1313,M1-SSL,27
processed/iotsim-hydraulic-system-10.csv,869,2503,2506,869,0,2503,True,False,670,0,0,852,M1-SSL,27
processed/iotsim-hydraulic-system-11.csv,856,2465,2466,856,0,2465,True,False,636,0,0,828,M1-SSL,27
processed/iotsim-building-monitor-2.csv,598,1737,1740,598,0,1737,True,False,414,6,6,592,M1-SSL,27
processed/iotsim-building-monitor-3.csv,324,963,1740,324,0,963,True,False,206,7,7,317,M1-SSL,27
processed/iotsim-stream-consumer-1.csv,4000,149999,465094,4000,0,149999,True,False,1978,0,0,3996,M1-SSL,27
processed/iotsim-ip-camera-museum-1.csv,215,10138068,10447197,215,0,10138068,True,False,115,20,20,200,M1-SSL,27
processed/iotsim-city-power-1.csv,137,1148674,1516431,137,0,1148674,True,False,84,12,11,130,M1-SSL,27
processed/iotsim-combined-cycle-tls-3.csv,270,1940,1944,270,0,1940,True,False,207,0,0,229,M1-SSL,27
processed/iotsim-combined-cycle-tls-4.csv,270,1943,1944,270,0,1943,True,False,210,0,0,233,M1-SSL,27
processed/iotsim-combined-cycle-tls-5.csv,269,1940,1944,269,0,1940,True,False,202,0,0,229,M1-SSL,27
processed/iotsim-cooler-motor-5.csv,3191,22470,22471,3191,0,22470,True,False,3077,0,0,3135,M1-SSL,27
processed/iotsim-hydraulic-system-1.csv,1353,17411,17432,1353,0,17411,True,False,1044,0,0,1313,M1-SSL,27
processed/iotsim-hydraulic-system-10.csv,869,2503,2506,869,0,2503,True,False,670,0,0,852,M1-SSL,27
processed/iotsim-hydraulic-system-11.csv,856,2465,2466,856,0,2465,True,False,636,0,0,828,M1-SSL,27
processed/iotsim-building-monitor-2.csv,598,1737,1740,598,0,1737,True,False,414,6,6,592,M1-SSL,27
processed/iotsim-building-monitor-3.csv,324,963,1740,324,0,963,True,False,206,7,7,317,M1-SSL,27
processed/iotsim-stream-consumer-1.csv,4000,149999,465094,4000,0,149999,True,False,1978,0,0,3996,M1-SSL,27
processed/iotsim-combined-cycle-10.csv,33,32741,138509,33,0,32741,True,False,31,2,2,29,M1-SSL,27
processed/iotsim-ip-camera-museum-1.csv,215,10138068,10447197,215,0,10138068,True,False,115,20,20,200,M1-SSL,27
processed/iotsim-city-power-1.csv,137,1148674,1516431,137,0,1148674,True,False,84,12,11,130,M1-SSL,27
processed/iotsim-combined-cycle-tls-3.csv,270,1940,1944,270,0,1940,True,False,207,0,0,229,M1-SSL,27
processed/iotsim-combined-cycle-tls-4.csv,270,1943,1944,270,0,1943,True,False,210,0,0,233,M1-SSL,27
processed/iotsim-combined-cycle-tls-5.csv,269,1940,1944,269,0,1940,True,False,202,0,0,229,M1-SSL,27
processed/iotsim-cooler-motor-5.csv,3191,22470,22471,3191,0,22470,True,False,3077,0,0,3135,M1-SSL,27
processed/iotsim-hydraulic-system-1.csv,1353,17411,17432,1353,0,17411,True,False,1044,0,0,1313,M1-SSL,27
processed/iotsim-hydraulic-system-10.csv,869,2503,2506,869,0,2503,True,False,670,0,0,852,M1-SSL,27
processed/iotsim-hydraulic-system-11.csv,856,2465,2466,856,0,2465,True,False,636,0,0,828,M1-SSL,27
processed/iotsim-building-monitor-2.csv,598,1737,1740,598,0,1737,True,False,414,6,6,592,M1-SSL,27
processed/iotsim-building-monitor-3.csv,324,963,1740,324,0,963,True,False,206,7,7,317,M1-SSL,27
processed/iotsim-stream-consumer-1.csv,4000,149999,465094,4000,0,149999,True,False,1978,0,0,3996,M1-SSL,27
