held_value,scope,record_set,records_before,records_removed,records_after,blocked_source_groups,seed,role,phase,rows_before,held_rows_removed,rows_after,held_rows_remaining
GLOBAL,tgn_ssl_and_verifier_source_exclusion,fit_attack,385.0,0.0,385.0,0.0,27,,,,,,
GLOBAL,tgn_ssl_and_verifier_source_exclusion,fit_benign,12000.0,0.0,12000.0,0.0,27,,,,,,
iotsim-stream-consumer,tgn_ssl_and_support,,,,,,27,support_train,fit,385.0,0.0,385.0,0.0
iotsim-stream-consumer,benign_ood_fit_and_standardize,,,,,,27,id_calib,fit,4000.0,0.0,4000.0,0.0
iotsim-stream-consumer,benign_ood_fit_and_standardize,,,,,,27,ood_val,fit,4000.0,0.0,4000.0,0.0
iotsim-stream-consumer,benign_ood_fit_and_standardize,,,,,,27,ood_stress,fit,4000.0,4000.0,0.0,0.0
iotsim-stream-consumer,negative_sampling_and_hard_pairs,,,,,,27,support_train,fit,385.0,0.0,385.0,0.0
iotsim-stream-consumer,negative_sampling_and_hard_pairs,,,,,,27,id_calib,fit,4000.0,0.0,4000.0,0.0
iotsim-stream-consumer,negative_sampling_and_hard_pairs,,,,,,27,ood_val,fit,4000.0,0.0,4000.0,0.0
iotsim-stream-consumer,negative_sampling_and_hard_pairs,,,,,,27,ood_stress,fit,4000.0,4000.0,0.0,0.0
iotsim-stream-consumer,gate_threshold_and_c1_select,,,,,,27,support_val,select,69.0,0.0,69.0,0.0
iotsim-stream-consumer,gate_threshold_and_c1_select,,,,,,27,id_calib,select,3000.0,0.0,3000.0,0.0
iotsim-stream-consumer,gate_threshold_and_c1_select,,,,,,27,ood_val,select,3000.0,0.0,3000.0,0.0
iotsim-stream-consumer,gate_threshold_and_c1_select,,,,,,27,ood_stress,select,3000.0,3000.0,0.0,0.0
iotsim-stream-consumer,tgn_ssl_and_verifier_source_exclusion,fit_attack,385.0,0.0,385.0,2.0,27,,,,,,
iotsim-stream-consumer,tgn_ssl_and_verifier_source_exclusion,fit_benign,8000.0,0.0,8000.0,2.0,27,,,,,,
iotsim-hydraulic-system,tgn_ssl_and_support,,,,,,27,support_train,fit,385.0,0.0,385.0,0.0
iotsim-hydraulic-system,benign_ood_fit_and_standardize,,,,,,27,id_calib,fit,4000.0,0.0,4000.0,0.0
iotsim-hydraulic-system,benign_ood_fit_and_standardize,,,,,,27,ood_val,fit,4000.0,1396.0,2604.0,0.0
iotsim-hydraulic-system,benign_ood_fit_and_standardize,,,,,,27,ood_stress,fit,4000.0,0.0,4000.0,0.0
iotsim-hydraulic-system,negative_sampling_and_hard_pairs,,,,,,27,support_train,fit,385.0,0.0,385.0,0.0
iotsim-hydraulic-system,negative_sampling_and_hard_pairs,,,,,,27,id_calib,fit,4000.0,0.0,4000.0,0.0
iotsim-hydraulic-system,negative_sampling_and_hard_pairs,,,,,,27,ood_val,fit,4000.0,1396.0,2604.0,0.0
iotsim-hydraulic-system,negative_sampling_and_hard_pairs,,,,,,27,ood_stress,fit,4000.0,0.0,4000.0,0.0
iotsim-hydraulic-system,gate_threshold_and_c1_select,,,,,,27,support_val,select,69.0,0.0,69.0,0.0
iotsim-hydraulic-system,gate_threshold_and_c1_select,,,,,,27,id_calib,select,3000.0,0.0,3000.0,0.0
iotsim-hydraulic-system,gate_threshold_and_c1_select,,,,,,27,ood_val,select,3000.0,3000.0,0.0,0.0
iotsim-hydraulic-system,gate_threshold_and_c1_select,,,,,,27,ood_stress,select,3000.0,0.0,3000.0,0.0
iotsim-hydraulic-system,tgn_ssl_and_verifier_source_exclusion,fit_attack,385.0,0.0,385.0,8.0,27,,,,,,
iotsim-hydraulic-system,tgn_ssl_and_verifier_source_exclusion,fit_benign,10604.0,0.0,10604.0,8.0,27,,,,,,
domotic-monitor,tgn_ssl_and_support,,,,,,27,support_train,fit,385.0,0.0,385.0,0.0
domotic-monitor,benign_ood_fit_and_standardize,,,,,,27,id_calib,fit,4000.0,0.0,4000.0,0.0
domotic-monitor,benign_ood_fit_and_standardize,,,,,,27,ood_val,fit,4000.0,0.0,4000.0,0.0
domotic-monitor,benign_ood_fit_and_standardize,,,,,,27,ood_stress,fit,4000.0,0.0,4000.0,0.0
domotic-monitor,negative_sampling_and_hard_pairs,,,,,,27,support_train,fit,385.0,0.0,385.0,0.0
domotic-monitor,negative_sampling_and_hard_pairs,,,,,,27,id_calib,fit,4000.0,0.0,4000.0,0.0
domotic-monitor,negative_sampling_and_hard_pairs,,,,,,27,ood_val,fit,4000.0,0.0,4000.0,0.0
domotic-monitor,negative_sampling_and_hard_pairs,,,,,,27,ood_stress,fit,4000.0,0.0,4000.0,0.0
domotic-monitor,gate_threshold_and_c1_select,,,,,,27,support_val,select,69.0,0.0,69.0,0.0
domotic-monitor,gate_threshold_and_c1_select,,,,,,27,id_calib,select,3000.0,0.0,3000.0,0.0
domotic-monitor,gate_threshold_and_c1_select,,,,,,27,ood_val,select,3000.0,0.0,3000.0,0.0
domotic-monitor,gate_threshold_and_c1_select,,,,,,27,ood_stress,select,3000.0,0.0,3000.0,0.0
domotic-monitor,tgn_ssl_and_verifier_source_exclusion,fit_attack,385.0,0.0,385.0,1.0,27,,,,,,
domotic-monitor,tgn_ssl_and_verifier_source_exclusion,fit_benign,12000.0,0.0,12000.0,1.0,27,,,,,,
combined-cycle,tgn_ssl_and_support,,,,,,27,support_train,fit,385.0,33.0,352.0,0.0
combined-cycle,benign_ood_fit_and_standardize,,,,,,27,id_calib,fit,4000.0,0.0,4000.0,0.0
combined-cycle,benign_ood_fit_and_standardize,,,,,,27,ood_val,fit,4000.0,0.0,4000.0,0.0
combined-cycle,benign_ood_fit_and_standardize,,,,,,27,ood_stress,fit,4000.0,0.0,4000.0,0.0
combined-cycle,negative_sampling_and_hard_pairs,,,,,,27,support_train,fit,385.0,33.0,352.0,0.0
combined-cycle,negative_sampling_and_hard_pairs,,,,,,27,id_calib,fit,4000.0,0.0,4000.0,0.0
combined-cycle,negative_sampling_and_hard_pairs,,,,,,27,ood_val,fit,4000.0,0.0,4000.0,0.0
combined-cycle,negative_sampling_and_hard_pairs,,,,,,27,ood_stress,fit,4000.0,0.0,4000.0,0.0
combined-cycle,gate_threshold_and_c1_select,,,,,,27,support_val,select,69.0,6.0,63.0,0.0
combined-cycle,gate_threshold_and_c1_select,,,,,,27,id_calib,select,3000.0,0.0,3000.0,0.0
combined-cycle,gate_threshold_and_c1_select,,,,,,27,ood_val,select,3000.0,0.0,3000.0,0.0
combined-cycle,gate_threshold_and_c1_select,,,,,,27,ood_stress,select,3000.0,0.0,3000.0,0.0
