source_group,requested_unique_rows,max_recorded_index,prefix_rows_to_read,folds,stages,roles
processed/iotsim-building-monitor-2.csv,1690,1739,1740,combined-cycle;domotic-monitor;iotsim-hydraulic-system;iotsim-ip-camera-street;iotsim-stream-consumer,fit,ood_val
processed/iotsim-building-monitor-3.csv,914,963,964,combined-cycle;domotic-monitor;iotsim-hydraulic-system;iotsim-ip-camera-street;iotsim-stream-consumer,fit,ood_val
processed/iotsim-city-power-1.csv,160,1500445,1500446,combined-cycle;domotic-monitor;iotsim-hydraulic-system;iotsim-ip-camera-street;iotsim-stream-consumer,fit;select,support_train;support_val
processed/iotsim-combined-cycle-1.csv,2357,5710275,5710276,combined-cycle,report,future_query
processed/iotsim-combined-cycle-10.csv,3168,126688,126689,combined-cycle;domotic-monitor;iotsim-hydraulic-system;iotsim-ip-camera-street;iotsim-stream-consumer,fit;report;select,future_query;same_file_query;support_train;support_val
processed/iotsim-combined-cycle-tls-3.csv,270,1940,1941,combined-cycle;domotic-monitor;iotsim-hydraulic-system;iotsim-ip-camera-street;iotsim-stream-consumer,fit,id_calib
processed/iotsim-combined-cycle-tls-4.csv,270,1943,1944,combined-cycle;domotic-monitor;iotsim-hydraulic-system;iotsim-ip-camera-street;iotsim-stream-consumer,fit,id_calib
processed/iotsim-combined-cycle-tls-5.csv,269,1940,1941,combined-cycle;domotic-monitor;iotsim-hydraulic-system;iotsim-ip-camera-street;iotsim-stream-consumer,fit,id_calib
processed/iotsim-cooler-motor-5.csv,3191,22470,22471,combined-cycle;domotic-monitor;iotsim-hydraulic-system;iotsim-ip-camera-street;iotsim-stream-consumer,fit,id_calib
processed/iotsim-cooler-motor-6.csv,1306,22464,22465,combined-cycle;domotic-monitor;iotsim-hydraulic-system;iotsim-ip-camera-street;iotsim-stream-consumer,select,id_calib
processed/iotsim-cooler-motor-7.csv,1306,22458,22459,combined-cycle;domotic-monitor;iotsim-hydraulic-system;iotsim-ip-camera-street;iotsim-stream-consumer,select,id_calib
processed/iotsim-cooler-motor-8.csv,292,5060,5061,combined-cycle;domotic-monitor;iotsim-hydraulic-system;iotsim-ip-camera-street;iotsim-stream-consumer,select,id_calib
processed/iotsim-cooler-motor-9.csv,96,1681,1682,combined-cycle;domotic-monitor;iotsim-hydraulic-system;iotsim-ip-camera-street;iotsim-stream-consumer,select,id_calib
processed/iotsim-domotic-monitor-1.csv,3000,2105603,2105604,domotic-monitor,report,future_query
processed/iotsim-hydraulic-system-1.csv,1353,3868,3869,combined-cycle;domotic-monitor;iotsim-ip-camera-street;iotsim-stream-consumer,fit,ood_val
processed/iotsim-hydraulic-system-10.csv,869,2503,2504,combined-cycle;domotic-monitor;iotsim-ip-camera-street;iotsim-stream-consumer,fit,ood_val
processed/iotsim-hydraulic-system-11.csv,856,2465,2466,combined-cycle;domotic-monitor;iotsim-ip-camera-street;iotsim-stream-consumer,fit,ood_val
processed/iotsim-hydraulic-system-12.csv,601,2494,2495,combined-cycle;domotic-monitor;iotsim-hydraulic-system;iotsim-ip-camera-street;iotsim-stream-consumer,report;select,ood_val
processed/iotsim-hydraulic-system-13.csv,597,2477,2478,combined-cycle;domotic-monitor;iotsim-hydraulic-system;iotsim-ip-camera-street;iotsim-stream-consumer,report;select,ood_val
processed/iotsim-hydraulic-system-14.csv,598,2480,2481,combined-cycle;domotic-monitor;iotsim-hydraulic-system;iotsim-ip-camera-street;iotsim-stream-consumer,report;select,ood_val
processed/iotsim-hydraulic-system-15.csv,601,2494,2495,combined-cycle;domotic-monitor;iotsim-hydraulic-system;iotsim-ip-camera-street;iotsim-stream-consumer,report;select,ood_val
processed/iotsim-hydraulic-system-2.csv,603,2499,2500,combined-cycle;domotic-monitor;iotsim-hydraulic-system;iotsim-ip-camera-street;iotsim-stream-consumer,report;select,ood_val
processed/iotsim-ip-camera-museum-1.csv,255,10042290,10042291,combined-cycle;domotic-monitor;iotsim-hydraulic-system;iotsim-ip-camera-street;iotsim-stream-consumer,fit;select,support_train;support_val
processed/iotsim-ip-camera-street-2.csv,3000,99999,100000,iotsim-ip-camera-street,report,sealed_final_ood
processed/iotsim-stream-consumer-1.csv,4000,149999,150000,combined-cycle;domotic-monitor;iotsim-hydraulic-system;iotsim-ip-camera-street,fit,ood_stress
processed/iotsim-stream-consumer-2.csv,3000,79999,80000,combined-cycle;domotic-monitor;iotsim-hydraulic-system;iotsim-ip-camera-street;iotsim-stream-consumer,report;select,ood_stress
