held_value,bucket,role,phase,rows_before_exclude,rows_after_exclude,held_rows_removed,held_rows_remaining_after_exclude,pass_no_held_leakage,nonheld_rows_in_eval_include,pass_eval_only_held
iotsim-stream-consumer,fit,support_train,fit,385,385,0,0,True,,
iotsim-stream-consumer,fit,id_calib,fit,4000,4000,0,0,True,,
iotsim-stream-consumer,fit,ood_val,fit,4000,4000,0,0,True,,
iotsim-stream-consumer,fit,ood_stress,fit,4000,0,4000,0,True,,
iotsim-stream-consumer,threshold,id_calib,select,3000,3000,0,0,True,,
iotsim-stream-consumer,threshold,ood_val,select,3000,3000,0,0,True,,
iotsim-stream-consumer,threshold,ood_stress,select,3000,0,3000,0,True,,
iotsim-stream-consumer,support_select_not_threshold_benign,support_val,select,69,69,0,0,True,,
iotsim-stream-consumer,eval_include_only,id_calib,select,,0,,,,0,True
iotsim-stream-consumer,eval_include_only,ood_val,select,,0,,,,0,True
iotsim-stream-consumer,eval_include_only,ood_stress,select,,3000,,,,0,True
iotsim-stream-consumer,eval_include_only,support_val,select,,0,,,,0,True
iotsim-stream-consumer,eval_include_only,same_file_query,select,,0,,,,0,True
iotsim-stream-consumer,eval_include_only,future_query,select,,0,,,,0,True
iotsim-stream-consumer,eval_include_only,sealed_final_ood,all,,0,,,,0,True
iotsim-stream-consumer,eval_include_only,sealed_final_attack,all,,0,,,,0,True
iotsim-hydraulic-system,fit,support_train,fit,385,385,0,0,True,,
iotsim-hydraulic-system,fit,id_calib,fit,4000,4000,0,0,True,,
iotsim-hydraulic-system,fit,ood_val,fit,4000,2604,1396,0,True,,
iotsim-hydraulic-system,fit,ood_stress,fit,4000,4000,0,0,True,,
iotsim-hydraulic-system,threshold,id_calib,select,3000,3000,0,0,True,,
iotsim-hydraulic-system,threshold,ood_val,select,3000,0,3000,0,True,,
iotsim-hydraulic-system,threshold,ood_stress,select,3000,3000,0,0,True,,
iotsim-hydraulic-system,support_select_not_threshold_benign,support_val,select,69,69,0,0,True,,
