role,frame_phase,m1_phase,held_value,eligible_role_rows,frozen_target_rows,outside_frozen_target_cohort,target_alignment_incomplete,requested_rows,cache_aligned_rows,unmapped_rows,label_for_metric_only,report,protocol_run,seed,extension_fit_select_rows
support_train,fit,fit,GLOBAL,385,385,0,0,385,385,0,1,False,GLOBAL_ATTACK_PRESERVATION,27,
id_calib,fit,fit,GLOBAL,4000,4000,0,0,4000,4000,0,0,False,GLOBAL_ATTACK_PRESERVATION,27,
ood_val,fit,fit,GLOBAL,4000,4000,0,0,4000,4000,0,0,False,GLOBAL_ATTACK_PRESERVATION,27,
ood_stress,fit,fit,GLOBAL,4000,4000,0,0,4000,4000,0,0,False,GLOBAL_ATTACK_PRESERVATION,27,
support_val,select,select,GLOBAL,69,69,0,0,69,69,0,1,False,GLOBAL_ATTACK_PRESERVATION,27,
id_calib,select,select,GLOBAL,3000,3000,0,0,3000,3000,0,0,False,GLOBAL_ATTACK_PRESERVATION,27,
ood_val,select,select,GLOBAL,3000,3000,0,0,3000,3000,0,0,False,GLOBAL_ATTACK_PRESERVATION,27,
ood_stress,select,select,GLOBAL,3000,3000,0,0,3000,3000,0,0,False,GLOBAL_ATTACK_PRESERVATION,27,
same_file_query,all,report,GLOBAL,125679,2486,123193,0,125679,2486,123193,1,True,GLOBAL_ATTACK_PRESERVATION,27,
future_query,all,report,GLOBAL,378145,131391,246754,0,378145,131391,246754,1,True,GLOBAL_ATTACK_PRESERVATION,27,
sealed_final_ood,report_only,report,GLOBAL,154900,57950,96950,0,154900,57950,96950,0,True,GLOBAL_ATTACK_PRESERVATION,27,
sealed_final_attack,report_only,report,GLOBAL,110104,110104,0,0,110104,110104,0,1,True,GLOBAL_ATTACK_PRESERVATION,27,
REPORT_EXTENSION,report_only,report,GLOBAL,290445,290445,0,0,290445,290445,0,True,True,GLOBAL_ATTACK_PRESERVATION,27,0.0
support_train,fit,fit,iotsim-stream-consumer,385,385,0,0,385,385,0,1,False,iotsim-stream-consumer,27,
id_calib,fit,fit,iotsim-stream-consumer,4000,4000,0,0,4000,4000,0,0,False,iotsim-stream-consumer,27,
