label,balance_unit,group,unique_rows,sampled_occurrences_per_epoch,target_occurrences_per_attack_family,mandatory_full_coverage,family_balanced_sampling,unnormalized_group_mass,normalized_mean_weight,held_value,protocol_run,seed
1,attack_family,File Download,15,60,60.0,True,True,0.05,1.0,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,27
1,attack_family,Ingress Tool Transfer,18,60,60.0,True,True,0.05,1.0,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,27
1,attack_family,Merlin C&C Communication,30,60,60.0,True,True,0.05,1.0,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,27
1,attack_family,Merlin ICMP Flooding,43,60,60.0,True,True,0.05,1.0,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,27
1,attack_family,Merlin TCP Flooding,60,60,60.0,True,True,0.05,1.0,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,27
1,attack_family,Merlin UDP Flooding,30,60,60.0,True,True,0.05,1.0,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,27
1,attack_family,Mirai C&C Communication,9,60,60.0,True,True,0.05,1.0,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,27
1,attack_family,Mirai GRE Flooding,60,60,60.0,True,True,0.05,1.0,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,27
1,attack_family,Mirai TCP Flooding,60,60,60.0,True,True,0.05,1.0,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,27
1,attack_family,Mirai UDP Flooding,60,60,60.0,True,True,0.05,1.0,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,27
0,benign_source,processed/iotsim-building-monitor-2.csv,598,598,,True,False,0.05,1.0,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,27
0,benign_source,processed/iotsim-building-monitor-3.csv,324,324,,True,False,0.05,1.0,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,27
