held_value,scope,record_set,records_before,records_removed,records_after,blocked_source_groups,protocol_run,seed,role,phase,rows_before,held_rows_removed,rows_after,held_rows_remaining
GLOBAL,tgn_ssl_and_verifier_source_exclusion,fit_attack,385.0,0.0,385.0,0.0,GLOBAL_ATTACK_PRESERVATION,27,,,,,,
GLOBAL,tgn_ssl_and_verifier_source_exclusion,fit_benign,12000.0,0.0,12000.0,0.0,GLOBAL_ATTACK_PRESERVATION,27,,,,,,
iotsim-stream-consumer,tgn_ssl_and_support,,,,,,iotsim-stream-consumer,27,support_train,fit,385.0,0.0,385.0,0.0
iotsim-stream-consumer,benign_ood_fit_and_standardize,,,,,,iotsim-stream-consumer,27,id_calib,fit,4000.0,0.0,4000.0,0.0
iotsim-stream-consumer,benign_ood_fit_and_standardize,,,,,,iotsim-stream-consumer,27,ood_val,fit,4000.0,0.0,4000.0,0.0
iotsim-stream-consumer,benign_ood_fit_and_standardize,,,,,,iotsim-stream-consumer,27,ood_stress,fit,4000.0,4000.0,0.0,0.0
iotsim-stream-consumer,negative_sampling_and_hard_pairs,,,,,,iotsim-stream-consumer,27,support_train,fit,385.0,0.0,385.0,0.0
iotsim-stream-consumer,negative_sampling_and_hard_pairs,,,,,,iotsim-stream-consumer,27,id_calib,fit,4000.0,0.0,4000.0,0.0
iotsim-stream-consumer,negative_sampling_and_hard_pairs,,,,,,iotsim-stream-consumer,27,ood_val,fit,4000.0,0.0,4000.0,0.0
iotsim-stream-consumer,negative_sampling_and_hard_pairs,,,,,,iotsim-stream-consumer,27,ood_stress,fit,4000.0,4000.0,0.0,0.0
iotsim-stream-consumer,gate_threshold_and_c1_select,,,,,,iotsim-stream-consumer,27,support_val,select,69.0,0.0,69.0,0.0
iotsim-stream-consumer,gate_threshold_and_c1_select,,,,,,iotsim-stream-consumer,27,id_calib,select,3000.0,0.0,3000.0,0.0
iotsim-stream-consumer,gate_threshold_and_c1_select,,,,,,iotsim-stream-consumer,27,ood_val,select,3000.0,0.0,3000.0,0.0
iotsim-stream-consumer,gate_threshold_and_c1_select,,,,,,iotsim-stream-consumer,27,ood_stress,select,3000.0,3000.0,0.0,0.0
iotsim-stream-consumer,tgn_ssl_and_verifier_source_exclusion,fit_attack,385.0,0.0,385.0,2.0,iotsim-stream-consumer,27,,,,,,
iotsim-stream-consumer,tgn_ssl_and_verifier_source_exclusion,fit_benign,8000.0,0.0,8000.0,2.0,iotsim-stream-consumer,27,,,,,,
iotsim-hydraulic-system,tgn_ssl_and_support,,,,,,iotsim-hydraulic-system,27,support_train,fit,385.0,0.0,385.0,0.0
iotsim-hydraulic-system,benign_ood_fit_and_standardize,,,,,,iotsim-hydraulic-system,27,id_calib,fit,4000.0,0.0,4000.0,0.0
iotsim-hydraulic-system,benign_ood_fit_and_standardize,,,,,,iotsim-hydraulic-system,27,ood_val,fit,4000.0,1396.0,2604.0,0.0
iotsim-hydraulic-system,benign_ood_fit_and_standardize,,,,,,iotsim-hydraulic-system,27,ood_stress,fit,4000.0,0.0,4000.0,0.0
iotsim-hydraulic-system,negative_sampling_and_hard_pairs,,,,,,iotsim-hydraulic-system,27,support_train,fit,385.0,0.0,385.0,0.0
iotsim-hydraulic-system,negative_sampling_and_hard_pairs,,,,,,iotsim-hydraulic-system,27,id_calib,fit,4000.0,0.0,4000.0,0.0
iotsim-hydraulic-system,negative_sampling_and_hard_pairs,,,,,,iotsim-hydraulic-system,27,ood_val,fit,4000.0,1396.0,2604.0,0.0
iotsim-hydraulic-system,negative_sampling_and_hard_pairs,,,,,,iotsim-hydraulic-system,27,ood_stress,fit,4000.0,0.0,4000.0,0.0
iotsim-hydraulic-system,gate_threshold_and_c1_select,,,,,,iotsim-hydraulic-system,27,support_val,select,69.0,0.0,69.0,0.0
iotsim-hydraulic-system,gate_threshold_and_c1_select,,,,,,iotsim-hydraulic-system,27,id_calib,select,3000.0,0.0,3000.0,0.0
iotsim-hydraulic-system,gate_threshold_and_c1_select,,,,,,iotsim-hydraulic-system,27,ood_val,select,3000.0,3000.0,0.0,0.0
iotsim-hydraulic-system,gate_threshold_and_c1_select,,,,,,iotsim-hydraulic-system,27,ood_stress,select,3000.0,0.0,3000.0,0.0
iotsim-hydraulic-system,tgn_ssl_and_verifier_source_exclusion,fit_attack,385.0,0.0,385.0,8.0,iotsim-hydraulic-system,27,,,,,,
iotsim-hydraulic-system,tgn_ssl_and_verifier_source_exclusion,fit_benign,10604.0,0.0,10604.0,8.0,iotsim-hydraulic-system,27,,,,,,
domotic-monitor,tgn_ssl_and_support,,,,,,domotic-monitor,27,support_train,fit,385.0,0.0,385.0,0.0
domotic-monitor,benign_ood_fit_and_standardize,,,,,,domotic-monitor,27,id_calib,fit,4000.0,0.0,4000.0,0.0
domotic-monitor,benign_ood_fit_and_standardize,,,,,,domotic-monitor,27,ood_val,fit,4000.0,0.0,4000.0,0.0
domotic-monitor,benign_ood_fit_and_standardize,,,,,,domotic-monitor,27,ood_stress,fit,4000.0,0.0,4000.0,0.0
domotic-monitor,negative_sampling_and_hard_pairs,,,,,,domotic-monitor,27,support_train,fit,385.0,0.0,385.0,0.0
domotic-monitor,negative_sampling_and_hard_pairs,,,,,,domotic-monitor,27,id_calib,fit,4000.0,0.0,4000.0,0.0
domotic-monitor,negative_sampling_and_hard_pairs,,,,,,domotic-monitor,27,ood_val,fit,4000.0,0.0,4000.0,0.0
domotic-monitor,negative_sampling_and_hard_pairs,,,,,,domotic-monitor,27,ood_stress,fit,4000.0,0.0,4000.0,0.0
domotic-monitor,gate_threshold_and_c1_select,,,,,,domotic-monitor,27,support_val,select,69.0,0.0,69.0,0.0
domotic-monitor,gate_threshold_and_c1_select,,,,,,domotic-monitor,27,id_calib,select,3000.0,0.0,3000.0,0.0
domotic-monitor,gate_threshold_and_c1_select,,,,,,domotic-monitor,27,ood_val,select,3000.0,0.0,3000.0,0.0
