source_group,device_family_count,device_families,single_family_source
processed/iotsim-air-quality-1.csv,1,air-quality,True
processed/iotsim-building-monitor-1.csv,1,building-monitor,True
processed/iotsim-building-monitor-2.csv,1,iotsim-building-monitor,True
processed/iotsim-building-monitor-3.csv,1,iotsim-building-monitor,True
processed/iotsim-city-power-1.csv,1,city-power,True
processed/iotsim-combined-cycle-1.csv,1,combined-cycle,True
processed/iotsim-combined-cycle-10.csv,1,combined-cycle,True
processed/iotsim-combined-cycle-tls-3.csv,1,iotsim-combined-cycle-tls,True
processed/iotsim-combined-cycle-tls-4.csv,1,iotsim-combined-cycle-tls,True
processed/iotsim-combined-cycle-tls-5.csv,1,iotsim-combined-cycle-tls,True
processed/iotsim-cooler-motor-5.csv,1,iotsim-cooler-motor,True
processed/iotsim-cooler-motor-6.csv,1,iotsim-cooler-motor,True
processed/iotsim-cooler-motor-7.csv,1,iotsim-cooler-motor,True
processed/iotsim-cooler-motor-8.csv,1,iotsim-cooler-motor,True
processed/iotsim-cooler-motor-9.csv,1,iotsim-cooler-motor,True
processed/iotsim-domotic-monitor-1.csv,1,domotic-monitor,True
processed/iotsim-hydraulic-system-1.csv,1,iotsim-hydraulic-system,True
processed/iotsim-hydraulic-system-10.csv,1,iotsim-hydraulic-system,True
processed/iotsim-hydraulic-system-11.csv,1,iotsim-hydraulic-system,True
processed/iotsim-hydraulic-system-12.csv,1,iotsim-hydraulic-system,True
processed/iotsim-hydraulic-system-13.csv,1,iotsim-hydraulic-system,True
processed/iotsim-hydraulic-system-14.csv,1,iotsim-hydraulic-system,True
processed/iotsim-hydraulic-system-15.csv,1,iotsim-hydraulic-system,True
processed/iotsim-hydraulic-system-2.csv,1,iotsim-hydraulic-system,True
processed/iotsim-ip-camera-museum-1.csv,1,ip-camera-museum,True
processed/iotsim-ip-camera-museum-2.csv,1,iotsim-ip-camera-museum,True
processed/iotsim-ip-camera-street-1.csv,1,ip-camera-street,True
processed/iotsim-ip-camera-street-2.csv,1,iotsim-ip-camera-street,True
processed/iotsim-stream-consumer-1.csv,1,iotsim-stream-consumer,True
processed/iotsim-stream-consumer-2.csv,1,iotsim-stream-consumer,True
