device_key,attack_family,attack_records,attack_independent_sessions,prior_fit_benign_sessions,lineage_stable,eligible_cell
normal_scanning1.pcap,ToN-reconnaissance_scan,2000,2000,0,True,False
password_normal1.pcap,ToN-credential_bruteforce,2000,1986,0,True,False
processed/iotsim-city-power-1.csv,Merlin ICMP Flooding,13,13,0,False,False
processed/iotsim-city-power-1.csv,Merlin TCP Flooding,24,21,0,False,False
processed/iotsim-city-power-1.csv,Merlin UDP Flooding,12,12,0,False,False
processed/iotsim-city-power-1.csv,Mirai GRE Flooding,30,30,0,False,False
processed/iotsim-city-power-1.csv,Mirai TCP Flooding,33,27,0,False,False
processed/iotsim-city-power-1.csv,Mirai UDP Flooding,25,7,0,False,False
processed/iotsim-combined-cycle-10.csv,File Download,15,4,0,True,False
processed/iotsim-combined-cycle-10.csv,Ingress Tool Transfer,18,1,0,True,False
processed/iotsim-ip-camera-museum-1.csv,Merlin C&C Communication,30,28,0,False,False
processed/iotsim-ip-camera-museum-1.csv,Merlin ICMP Flooding,30,30,0,False,False
processed/iotsim-ip-camera-museum-1.csv,Merlin TCP Flooding,36,29,0,False,False
processed/iotsim-ip-camera-museum-1.csv,Merlin UDP Flooding,18,18,0,False,False
processed/iotsim-ip-camera-museum-1.csv,Mirai C&C Communication,9,1,0,False,False
processed/iotsim-ip-camera-museum-1.csv,Mirai GRE Flooding,30,30,0,False,False
processed/iotsim-ip-camera-museum-1.csv,Mirai TCP Flooding,27,24,0,False,False
processed/iotsim-ip-camera-museum-1.csv,Mirai UDP Flooding,35,1,0,False,False
