role,csv_archive_path,exists_in_manifest,file_name,inferred_device,observed_protocol,total_rows,benign_rows,attack_rows,all_benign,mixed_label,attack_type_values,pcap_counterpart_candidate,pcap_pairing_confidence,timestamp_parse_status,notes,failure_reason
id_benign_train,processed/iotsim-cooler-motor-1.csv,true,iotsim-cooler-motor-1.csv,cooler-motor,mqtt,157310,157310,0,True,False,,raw/benign/iotsim-cooler-motor-13_0-0_to_OpenvSwitch-20_3-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
id_benign_train,processed/iotsim-cooler-motor-10.csv,true,iotsim-cooler-motor-10.csv,cooler-motor,mqtt,22476,22476,0,True,False,,raw/benign/iotsim-cooler-motor-10_0-0_to_OpenvSwitch-18_10-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
id_benign_train,processed/iotsim-cooler-motor-11.csv,true,iotsim-cooler-motor-11.csv,cooler-motor,tls,22472,22472,0,True,False,,raw/benign/iotsim-cooler-motor-11_0-0_to_OpenvSwitch-20_1-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
id_benign_train,processed/iotsim-cooler-motor-12.csv,true,iotsim-cooler-motor-12.csv,cooler-motor,tls,22469,22469,0,True,False,,raw/benign/iotsim-cooler-motor-12_0-0_to_OpenvSwitch-20_2-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
id_benign_train,processed/iotsim-cooler-motor-13.csv,true,iotsim-cooler-motor-13.csv,cooler-motor,tls,22471,22471,0,True,False,,raw/benign/iotsim-cooler-motor-13_0-0_to_OpenvSwitch-20_3-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
id_benign_train,processed/iotsim-cooler-motor-14.csv,true,iotsim-cooler-motor-14.csv,cooler-motor,tls,22475,22475,0,True,False,,raw/benign/iotsim-cooler-motor-14_0-0_to_OpenvSwitch-20_4-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
id_benign_train,processed/iotsim-cooler-motor-15.csv,true,iotsim-cooler-motor-15.csv,cooler-motor,tls,22468,22468,0,True,False,,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
id_benign_train,processed/iotsim-cooler-motor-2.csv,true,iotsim-cooler-motor-2.csv,cooler-motor,mqtt,22468,22468,0,True,False,,raw/benign/iotsim-cooler-motor-2_0-0_to_OpenvSwitch-18_2-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
id_benign_train,processed/iotsim-cooler-motor-3.csv,true,iotsim-cooler-motor-3.csv,cooler-motor,mqtt,22478,22478,0,True,False,,raw/benign/iotsim-cooler-motor-3_0-0_to_OpenvSwitch-18_3-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
id_benign_train,processed/iotsim-cooler-motor-4.csv,true,iotsim-cooler-motor-4.csv,cooler-motor,mqtt,22478,22478,0,True,False,,raw/benign/iotsim-cooler-motor-4_0-0_to_OpenvSwitch-18_4-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
id_benign_train,processed/iotsim-predictive-maintenance-1.csv,true,iotsim-predictive-maintenance-1.csv,predictive-maintenance,mqtt,137502,137502,0,True,False,,raw/benign/iotsim-predictive-maintenance-10_0-0_to_OpenvSwitch-19_10-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
id_benign_train,processed/iotsim-predictive-maintenance-10.csv,true,iotsim-predictive-maintenance-10.csv,predictive-maintenance,mqtt,13720,13720,0,True,False,,raw/benign/iotsim-predictive-maintenance-10_0-0_to_OpenvSwitch-19_10-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
id_benign_train,processed/iotsim-predictive-maintenance-11.csv,true,iotsim-predictive-maintenance-11.csv,predictive-maintenance,tls,22001,22001,0,True,False,,raw/benign/iotsim-predictive-maintenance-11_0-0_to_OpenvSwitch-21_1-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
id_benign_train,processed/iotsim-predictive-maintenance-12.csv,true,iotsim-predictive-maintenance-12.csv,predictive-maintenance,tls,22016,22016,0,True,False,,raw/benign/iotsim-predictive-maintenance-12_0-0_to_OpenvSwitch-21_2-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
id_benign_train,processed/iotsim-predictive-maintenance-13.csv,true,iotsim-predictive-maintenance-13.csv,predictive-maintenance,tls,22011,22011,0,True,False,,raw/benign/iotsim-predictive-maintenance-13_0-0_to_OpenvSwitch-21_3-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
id_benign_train,processed/iotsim-predictive-maintenance-14.csv,true,iotsim-predictive-maintenance-14.csv,predictive-maintenance,tls,21997,21997,0,True,False,,raw/benign/iotsim-predictive-maintenance-14_0-0_to_OpenvSwitch-21_4-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
id_benign_train,processed/iotsim-predictive-maintenance-15.csv,true,iotsim-predictive-maintenance-15.csv,predictive-maintenance,tls,22021,22021,0,True,False,,raw/benign/iotsim-predictive-maintenance-15_0-0_to_OpenvSwitch-21_5-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
id_benign_train,processed/iotsim-predictive-maintenance-2.csv,true,iotsim-predictive-maintenance-2.csv,predictive-maintenance,mqtt,13722,13722,0,True,False,,raw/benign/iotsim-predictive-maintenance-2_0-0_to_OpenvSwitch-19_2-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
