csv_archive_path,inferred_device,inferred_protocol,candidate_pcap_archive_path,filename_token_match,path_token_match,device_token_match,protocol_token_match,csv_row_count,csv_frame_number_min,csv_frame_number_max,csv_timestamp_min,csv_timestamp_max,candidate_pcap_file_size,pcap_packet_count_if_available,pcap_first_timestamp_if_available,pcap_last_timestamp_if_available,pcap_metadata_status,packet_count_vs_csv_row_count_status,timestamp_range_overlap_status,pairing_confidence_old,pairing_confidence_new,unresolved_reason
processed/iotsim-cooler-motor-15.csv,cooler-motor,tls,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,true,true,true,false,22468,,,2025-01-14T18:40:12.627200Z,2025-01-14T20:47:25.499289Z,3260054,23225,2025-01-14T18:40:12.627200Z,2025-01-14T20:47:25.499289Z,ok,mismatch,range_endpoint_match_within_1s,medium_filename_path_match,medium_filename_path_match,count=mismatch; time=range_endpoint_match_within_1s; pcap_status=ok
processed/iotsim-cooler-motor-14.csv,cooler-motor,tls,raw/benign/iotsim-cooler-motor-14_0-0_to_OpenvSwitch-20_4-0.pcap,true,true,true,false,22475,,,2025-01-14T18:40:11.709856Z,2025-01-14T20:47:25.209809Z,3260822,23229,2025-01-14T18:40:11.709856Z,2025-01-14T20:47:25.209809Z,ok,mismatch,range_endpoint_match_within_1s,medium_filename_path_match,medium_filename_path_match,count=mismatch; time=range_endpoint_match_within_1s; pcap_status=ok
processed/iotsim-cooler-motor-13.csv,cooler-motor,tls,raw/benign/iotsim-cooler-motor-13_0-0_to_OpenvSwitch-20_3-0.pcap,true,true,true,false,22471,,,2025-01-14T18:40:12.222115Z,2025-01-14T20:47:25.220764Z,3259762,23217,2025-01-14T18:40:12.222115Z,2025-01-14T20:47:25.220764Z,ok,mismatch,range_endpoint_match_within_1s,medium_filename_path_match,medium_filename_path_match,count=mismatch; time=range_endpoint_match_within_1s; pcap_status=ok
processed/iotsim-cooler-motor-8.csv,cooler-motor,mqtt,raw/benign/iotsim-cooler-motor-8_0-0_to_OpenvSwitch-18_8-0.pcap,true,true,true,false,22466,,,2025-01-14T18:40:04.578290Z,2025-01-14T20:47:17.554728Z,2930024,23194,2025-01-14T18:40:04.192795Z,2025-01-14T20:47:17.554728Z,ok,mismatch,range_endpoint_match_within_1s,medium_filename_path_match,medium_filename_path_match,count=mismatch; time=range_endpoint_match_within_1s; pcap_status=ok
processed/iotsim-cooler-motor-9.csv,cooler-motor,mqtt,raw/benign/iotsim-cooler-motor-9_0-0_to_OpenvSwitch-18_9-0.pcap,true,true,true,false,22472,,,2025-01-14T18:40:05.179641Z,2025-01-14T20:47:18.589751Z,2931258,23212,2025-01-14T18:40:05.179641Z,2025-01-14T20:47:18.589751Z,ok,mismatch,range_endpoint_match_within_1s,medium_filename_path_match,medium_filename_path_match,count=mismatch; time=range_endpoint_match_within_1s; pcap_status=ok
processed/iotsim-cooler-motor-12.csv,cooler-motor,tls,raw/benign/iotsim-cooler-motor-12_0-0_to_OpenvSwitch-20_2-0.pcap,true,true,true,false,22469,,,2025-01-14T18:40:11.612720Z,2025-01-14T20:47:24.944211Z,3258536,23196,2025-01-14T18:40:11.612720Z,2025-01-14T20:47:24.944211Z,ok,mismatch,range_endpoint_match_within_1s,medium_filename_path_match,medium_filename_path_match,count=mismatch; time=range_endpoint_match_within_1s; pcap_status=ok
processed/iotsim-cooler-motor-10.csv,cooler-motor,mqtt,raw/benign/iotsim-cooler-motor-10_0-0_to_OpenvSwitch-18_10-0.pcap,true,true,true,false,22476,,,2025-01-14T18:40:05.825023Z,2025-01-14T20:47:18.982014Z,2943004,23230,2025-01-14T18:40:05.727301Z,2025-01-14T20:47:18.982014Z,ok,mismatch,range_endpoint_match_within_1s,medium_filename_path_match,medium_filename_path_match,count=mismatch; time=range_endpoint_match_within_1s; pcap_status=ok
processed/iotsim-hydraulic-system-8.csv,hydraulic-system,mqtt,raw/benign/iotsim-hydraulic-system-8_0-0_to_OpenvSwitch-15_8-0.pcap,true,true,true,false,2522,,,2025-01-14T18:40:13.158625Z,2025-01-14T20:46:59.129972Z,1295478,3874,2025-01-14T18:40:03.680313Z,2025-01-14T20:47:04.301652Z,ok,mismatch,range_overlap,medium_filename_path_match,medium_filename_path_match,count=mismatch; time=range_overlap; pcap_status=ok
processed/iotsim-hydraulic-system-9.csv,hydraulic-system,mqtt,raw/benign/iotsim-hydraulic-system-9_0-0_to_OpenvSwitch-15_9-0.pcap,true,true,true,false,2509,,,2025-01-14T18:40:14.044599Z,2025-01-14T20:46:46.684542Z,1292116,3839,2025-01-14T18:40:03.680233Z,2025-01-14T20:46:52.012602Z,ok,mismatch,range_overlap,medium_filename_path_match,medium_filename_path_match,count=mismatch; time=range_overlap; pcap_status=ok
processed/iotsim-cooler-motor-11.csv,cooler-motor,tls,raw/benign/iotsim-cooler-motor-11_0-0_to_OpenvSwitch-20_1-0.pcap,true,true,true,false,22472,,,2025-01-14T18:40:11.186186Z,2025-01-14T20:47:24.342598Z,3260784,23232,2025-01-14T18:40:11.186186Z,2025-01-14T20:47:24.342598Z,ok,mismatch,range_endpoint_match_within_1s,medium_filename_path_match,medium_filename_path_match,count=mismatch; time=range_endpoint_match_within_1s; pcap_status=ok
processed/iotsim-hydraulic-system-12.csv,hydraulic-system,tls,raw/benign/iotsim-hydraulic-system-12_0-0_to_OpenvSwitch-16_2-0.pcap,true,true,true,false,2496,,,2025-01-14T18:40:08.531610Z,2025-01-14T20:47:13.911673Z,1312004,3867,2025-01-14T18:40:03.684415Z,2025-01-14T20:47:13.911673Z,ok,mismatch,range_overlap,medium_filename_path_match,medium_filename_path_match,count=mismatch; time=range_overlap; pcap_status=ok
