member_index,members_total,member_id,targets,contexts,status,checkpoint_identity,checkpoint_sha256,discovery_packets,replay_packets,peak_active_contexts
1,24,normal_1.pcap,4000,3667,REUSED_EXACT_MEMBER_BOUNDARY,ce272a68045fd9b2e6a22d1622e487e909cb2eacf88582b023f9888706ac2d32,92fb951131c16cacb6ef316b10b5bf2c577edd59e9a4044f51c80edbfd00d85b,0,0,0
2,24,normal_scanning1.pcap,2000,2000,REUSED_EXACT_MEMBER_BOUNDARY,e40675b0f652cf88e760e2cc943cf2244db5d90f4c870ca871c672dcd5397a2c,7678bad969b6b85a4a11a402c7479373fb866de65adfdf2b4ac84938ed856123,0,0,0
3,24,password_normal1.pcap,2000,1998,REUSED_EXACT_MEMBER_BOUNDARY,54e7cdd0c18d2742ce605cd470e590162534555aee23f671fd9293ea56cfb2f8,23bfa027cd52901240b752b2bce1f7b758f407d65d69c6f56276cacff403acec,0,0,0
4,24,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap,1690,579,REUSED_EXACT_MEMBER_BOUNDARY,2d5cb07cb30801f9d8e83249dfbc134096130bedabeaf285df010774674bae13,41dadb656eff4a6a307fe8b1558962d06db4d58b83b913f8ba7fbd46cbd36ec2,0,0,0
5,24,raw/benign/iotsim-building-monitor-3_0-0_to_OpenvSwitch-28_3-0.pcap,914,310,REUSED_EXACT_MEMBER_BOUNDARY,676ff2b9aae1cd8183e58652057a8d280b19e9f6bdd4a6e7324b099c5bc8fa14,92d64f3508abbca5fb43cc0295b36324e841d4862e6000c7b72554124a691ce7,0,0,0
6,24,raw/benign/iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0.pcap,600,199,REUSED_EXACT_MEMBER_BOUNDARY,f27d0ed220a84e310b5c2b0f797b8e29429e48af608f5916523eec3a4254957b,de753502aaab6f62401220ff907cebbea3223882f9216c352a8690e400c35f4d,0,0,0
7,24,raw/benign/iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0.pcap,600,462,REUSED_EXACT_MEMBER_BOUNDARY,fc617f93e1bbe0482203467450ca8249336802c7b32c835c1533a98bc56cf5ae,04b4ac155d85105291e7546629141f4a0ce25d9558b4e8e82487ecc94532d6cc,0,0,0
8,24,raw/benign/iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0.pcap,600,464,REUSED_EXACT_MEMBER_BOUNDARY,c9fc57f4dfbee51a6fe7b37b2942148d7d32bbc6d84e27b113eb27608cc0ecf3,9f513fa7b7f8651f4518aacfebcefbc3fd38b9c3fc58417f26f2a35af901ebf4,0,0,0
9,24,raw/benign/iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0.pcap,600,464,REUSED_EXACT_MEMBER_BOUNDARY,7e54bb977f7f435852b381390a40443c89492c12c1c81c62b6d3007802010688,f78b9fa1674f83798a5a2e72264e5855820e4a0458035e2b49bbd54e969122fa,0,0,0
10,24,raw/benign/iotsim-combined-cycle-7_0-0_to_OpenvSwitch-13_7-0.pcap,600,465,REUSED_EXACT_MEMBER_BOUNDARY,15ef0de2d40c6a3e5f93d004df9e899597c6ecab6f0c6ca05b7ae57985bb28a5,579448f8a1ba99b1d922d32eb610621d220f5ddf7203915fc062d4fb1bce9328,0,0,0
11,24,raw/benign/iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0.pcap,600,463,REUSED_EXACT_MEMBER_BOUNDARY,fa8d1db26e39d0827da4e6cade8a6051db951b8b28195cca43e92d4929d1b7e3,a3770c41fde015325f70de1567817e4a6626d641e613704e3eaf92fde30b6f3c,0,0,0
12,24,raw/benign/iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0.pcap,600,465,REUSED_EXACT_MEMBER_BOUNDARY,c9e0c23976bee3f877644187c4835d20fd4c182ce9da6d4986a5ce3a2361421a,830a6931ee283ebd1898a0b343c470a2b9bfda6f14a64770e4f55766eb14233a,0,0,0
13,24,raw/benign/iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0.pcap,600,186,REUSED_EXACT_MEMBER_BOUNDARY,1a67319bdfa9dd41c933b2c274346ceaee8fe41ba61e583475cc86bb13c2ed7f,87dfb9cabf2e908d7bdd26b763a5001b3de9515bfe0c4d8fafb31c1546edae44,0,0,0
14,24,raw/benign/iotsim-combined-cycle-tls-3_0-0_to_OpenvSwitch-14_3-0.pcap,270,134,REUSED_EXACT_MEMBER_BOUNDARY,f6af683c64ff620ca9ee525d1bdac8c213a1869171c5f32b2c755660bec2ed8c,671c29274a3c77347412da967a979ea345192f74e0c45e920188e0f605fdfd5d,0,0,0
15,24,raw/benign/iotsim-combined-cycle-tls-4_0-0_to_OpenvSwitch-14_4-0.pcap,270,138,REUSED_EXACT_MEMBER_BOUNDARY,90e4a460dcb1489c28a02241a462414e3b193f97b5a325e5253785bd1b8d7a01,151e0448b70204d00cea27eb94f0d06ed2b42ab3eb9bb216df201042cc4c5133,0,0,0
16,24,raw/benign/iotsim-combined-cycle-tls-5_0-0_to_OpenvSwitch-14_5-0.pcap,269,137,REUSED_EXACT_MEMBER_BOUNDARY,4b8dff9a9043278c375345b3628fd9afe2108be4d490c96f22323e759d953d48,166f7134f9c12ad3e38e1f202571b68e6fae3b3bea81b1aeae72ff2e8baa5478,0,0,0
17,24,raw/benign/iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0.pcap,600,192,REUSED_EXACT_MEMBER_BOUNDARY,e5b4dc28b47532db6fc7744837ca31aae48efee12ac82a060ee36f5db12ab193,0899526647770a1ec7da320002e903706938b767aa229236148f3647fd3419c5,0,0,0
18,24,raw/benign/iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0.pcap,600,189,REUSED_EXACT_MEMBER_BOUNDARY,74895da12a073888c073c9816f361b2a4f932e88da45eb293df39862b01a469f,881e7e08d26cc2ff7783aa53d81a96fb2a1942dfb602145a4a843a26d9e8e7cc,0,0,0
