reason,global_id,source_asset,source_index,source_role,csv_member,device_hint,attack_type,phase_bucket,recorded_index,packet_index,packet_timestamp_epoch,binary_label,model_ready_hint
warmup_edge_excluded,heavy_active_labeled_candidate_stream:0,heavy_active_labeled_candidate_stream,0,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,warmup_edge_0_49,0,644553,1737235770.488062,attack,true
warmup_edge_excluded,heavy_active_labeled_candidate_stream:1,heavy_active_labeled_candidate_stream,1,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,warmup_edge_0_49,1,644554,1737235770.48812,attack,true
warmup_edge_excluded,heavy_active_labeled_candidate_stream:2,heavy_active_labeled_candidate_stream,2,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,warmup_edge_0_49,2,644555,1737235770.492871,attack,true
warmup_edge_excluded,heavy_active_labeled_candidate_stream:3,heavy_active_labeled_candidate_stream,3,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,warmup_edge_0_49,3,644556,1737235770.492895,attack,true
warmup_edge_excluded,heavy_active_labeled_candidate_stream:4,heavy_active_labeled_candidate_stream,4,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,warmup_edge_0_49,4,644557,1737235770.494585,attack,true
warmup_edge_excluded,heavy_active_labeled_candidate_stream:5,heavy_active_labeled_candidate_stream,5,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,warmup_edge_0_49,5,644558,1737235770.520368,attack,true
warmup_edge_excluded,heavy_active_labeled_candidate_stream:6,heavy_active_labeled_candidate_stream,6,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,warmup_edge_0_49,6,644559,1737235770.533234,attack,true
warmup_edge_excluded,heavy_active_labeled_candidate_stream:7,heavy_active_labeled_candidate_stream,7,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,warmup_edge_0_49,7,644560,1737235770.533271,attack,true
warmup_edge_excluded,heavy_active_labeled_candidate_stream:8,heavy_active_labeled_candidate_stream,8,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,warmup_edge_0_49,8,644561,1737235770.533283,attack,true
warmup_edge_excluded,heavy_active_labeled_candidate_stream:9,heavy_active_labeled_candidate_stream,9,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,warmup_edge_0_49,9,644562,1737235770.533293,attack,true
warmup_edge_excluded,heavy_active_labeled_candidate_stream:10,heavy_active_labeled_candidate_stream,10,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,warmup_edge_0_49,10,644563,1737235770.533309,attack,true
warmup_edge_excluded,heavy_active_labeled_candidate_stream:11,heavy_active_labeled_candidate_stream,11,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,warmup_edge_0_49,11,644564,1737235770.53332,attack,true
warmup_edge_excluded,heavy_active_labeled_candidate_stream:12,heavy_active_labeled_candidate_stream,12,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,warmup_edge_0_49,12,644565,1737235770.53333,attack,true
warmup_edge_excluded,heavy_active_labeled_candidate_stream:13,heavy_active_labeled_candidate_stream,13,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,warmup_edge_0_49,13,644566,1737235770.533346,attack,true
warmup_edge_excluded,heavy_active_labeled_candidate_stream:14,heavy_active_labeled_candidate_stream,14,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,warmup_edge_0_49,14,644567,1737235770.533357,attack,true
warmup_edge_excluded,heavy_active_labeled_candidate_stream:15,heavy_active_labeled_candidate_stream,15,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,warmup_edge_0_49,15,644568,1737235770.533367,attack,true
warmup_edge_excluded,heavy_active_labeled_candidate_stream:16,heavy_active_labeled_candidate_stream,16,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,warmup_edge_0_49,16,644569,1737235770.533382,attack,true
warmup_edge_excluded,heavy_active_labeled_candidate_stream:17,heavy_active_labeled_candidate_stream,17,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,warmup_edge_0_49,17,644570,1737235770.533393,attack,true
warmup_edge_excluded,heavy_active_labeled_candidate_stream:18,heavy_active_labeled_candidate_stream,18,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,warmup_edge_0_49,18,644571,1737235770.533409,attack,true
warmup_edge_excluded,heavy_active_labeled_candidate_stream:19,heavy_active_labeled_candidate_stream,19,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,warmup_edge_0_49,19,644572,1737235770.533421,attack,true
warmup_edge_excluded,heavy_active_labeled_candidate_stream:20,heavy_active_labeled_candidate_stream,20,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,warmup_edge_0_49,20,644573,1737235770.533433,attack,true
warmup_edge_excluded,heavy_active_labeled_candidate_stream:21,heavy_active_labeled_candidate_stream,21,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,warmup_edge_0_49,21,644574,1737235770.533449,attack,true
warmup_edge_excluded,heavy_active_labeled_candidate_stream:22,heavy_active_labeled_candidate_stream,22,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,warmup_edge_0_49,22,644575,1737235770.533461,attack,true
warmup_edge_excluded,heavy_active_labeled_candidate_stream:23,heavy_active_labeled_candidate_stream,23,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,warmup_edge_0_49,23,644576,1737235770.533473,attack,true
warmup_edge_excluded,heavy_active_labeled_candidate_stream:24,heavy_active_labeled_candidate_stream,24,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,warmup_edge_0_49,24,644577,1737235770.57142,attack,true
warmup_edge_excluded,heavy_active_labeled_candidate_stream:25,heavy_active_labeled_candidate_stream,25,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,warmup_edge_0_49,25,644578,1737235770.571478,attack,true
warmup_edge_excluded,heavy_active_labeled_candidate_stream:26,heavy_active_labeled_candidate_stream,26,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,warmup_edge_0_49,26,644579,1737235770.573682,attack,true
warmup_edge_excluded,heavy_active_labeled_candidate_stream:27,heavy_active_labeled_candidate_stream,27,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,warmup_edge_0_49,27,644580,1737235770.573707,attack,true
warmup_edge_excluded,heavy_active_labeled_candidate_stream:28,heavy_active_labeled_candidate_stream,28,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,warmup_edge_0_49,28,644581,1737235770.575212,attack,true
warmup_edge_excluded,heavy_active_labeled_candidate_stream:29,heavy_active_labeled_candidate_stream,29,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,warmup_edge_0_49,29,644582,1737235770.575369,attack,true
warmup_edge_excluded,heavy_active_labeled_candidate_stream:30,heavy_active_labeled_candidate_stream,30,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,warmup_edge_0_49,30,644583,1737235770.576992,attack,true
