contract_id,contract_role,order,global_id,source_asset,source_index,source_role,csv_member,device_hint,attack_type,phase_bucket,recorded_index,packet_index,packet_timestamp_epoch,selection_policy
phase_balanced_dev_v2,support_train,0,heavy_active_labeled_candidate_stream:110,heavy_active_labeled_candidate_stream,110,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,early_50_499,110,644663,1737235771.001524,stratified_by_source_file_attack_phase_then_kcenter_or_even_time
phase_balanced_dev_v2,support_train,1,heavy_active_labeled_candidate_stream:111,heavy_active_labeled_candidate_stream,111,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,early_50_499,111,644664,1737235771.018067,stratified_by_source_file_attack_phase_then_kcenter_or_even_time
phase_balanced_dev_v2,support_train,2,heavy_active_labeled_candidate_stream:129,heavy_active_labeled_candidate_stream,129,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,early_50_499,129,644682,1737235771.033232,stratified_by_source_file_attack_phase_then_kcenter_or_even_time
phase_balanced_dev_v2,support_train,3,heavy_active_labeled_candidate_stream:159,heavy_active_labeled_candidate_stream,159,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,early_50_499,159,644712,1737235771.171252,stratified_by_source_file_attack_phase_then_kcenter_or_even_time
phase_balanced_dev_v2,support_train,4,heavy_active_labeled_candidate_stream:163,heavy_active_labeled_candidate_stream,163,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,early_50_499,163,644716,1737235771.22463,stratified_by_source_file_attack_phase_then_kcenter_or_even_time
phase_balanced_dev_v2,support_train,5,heavy_active_labeled_candidate_stream:171,heavy_active_labeled_candidate_stream,171,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,early_50_499,171,644724,1737235771.331181,stratified_by_source_file_attack_phase_then_kcenter_or_even_time
phase_balanced_dev_v2,support_train,6,heavy_active_labeled_candidate_stream:196,heavy_active_labeled_candidate_stream,196,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,early_50_499,196,644749,1737235771.481086,stratified_by_source_file_attack_phase_then_kcenter_or_even_time
phase_balanced_dev_v2,support_train,7,heavy_active_labeled_candidate_stream:197,heavy_active_labeled_candidate_stream,197,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,early_50_499,197,644750,1737235771.481116,stratified_by_source_file_attack_phase_then_kcenter_or_even_time
phase_balanced_dev_v2,support_train,8,heavy_active_labeled_candidate_stream:222,heavy_active_labeled_candidate_stream,222,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,mirai-infection,early_50_499,222,644775,1737235771.544981,stratified_by_source_file_attack_phase_then_kcenter_or_even_time
phase_balanced_dev_v2,support_train,9,heavy_active_labeled_candidate_stream:3050,heavy_active_labeled_candidate_stream,3050,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-street-1.csv,ip-camera-street,mirai-infection,early_50_499,50,413163,1737235801.353573,stratified_by_source_file_attack_phase_then_kcenter_or_even_time
phase_balanced_dev_v2,support_train,10,heavy_active_labeled_candidate_stream:3051,heavy_active_labeled_candidate_stream,3051,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-street-1.csv,ip-camera-street,mirai-infection,early_50_499,51,413164,1737235801.355296,stratified_by_source_file_attack_phase_then_kcenter_or_even_time
phase_balanced_dev_v2,support_train,11,heavy_active_labeled_candidate_stream:3056,heavy_active_labeled_candidate_stream,3056,new_heldout_attack_eval_probe,processed/iotsim-ip-camera-street-1.csv,ip-camera-street,mirai-infection,early_50_499,56,413169,1737235801.43186,stratified_by_source_file_attack_phase_then_kcenter_or_even_time
