level,prefix_sha256,bucket_rows,mixed_label,hard_protected,uid,label,teacher_kind,source_group,attack_family
L0,3e47dfd5d00d1f08b3f0373b1816354f363dc7eb515a5e415340582aecb5d006,2,true,true,ton:ton_normal:normal_1:1489381,0,benign_normal,normal_1.pcap,benign
L0,3e47dfd5d00d1f08b3f0373b1816354f363dc7eb515a5e415340582aecb5d006,2,true,true,ton:ckbt_3864843d41e6784e5837,1,attack_hard,password_normal1.pcap,ToN-credential_bruteforce
L0,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,true,true,ood_val:fit:20973,0,benign_normal,processed/iotsim-building-monitor-2.csv,benign
L0,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,true,true,ood_val:fit:21110,0,benign_normal,processed/iotsim-building-monitor-2.csv,benign
L0,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,true,true,ood_val:fit:21247,0,benign_normal,processed/iotsim-building-monitor-2.csv,benign
L0,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,true,true,ood_val:fit:21384,0,benign_normal,processed/iotsim-building-monitor-2.csv,benign
L0,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,true,true,ood_val:fit:21521,0,benign_normal,processed/iotsim-building-monitor-2.csv,benign
L0,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,true,true,ood_val:fit:21658,0,benign_normal,processed/iotsim-building-monitor-2.csv,benign
L0,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,true,true,ood_val:fit:21795,0,benign_normal,processed/iotsim-building-monitor-2.csv,benign
L0,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,true,true,ood_val:fit:21932,0,benign_normal,processed/iotsim-building-monitor-2.csv,benign
L0,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,true,true,ood_val:fit:22069,0,benign_normal,processed/iotsim-building-monitor-2.csv,benign
L0,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,true,true,ood_val:fit:22206,0,benign_normal,processed/iotsim-building-monitor-2.csv,benign
L0,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,true,true,ood_val:fit:22343,0,benign_normal,processed/iotsim-building-monitor-2.csv,benign
L0,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,true,true,ood_val:fit:22480,0,benign_normal,processed/iotsim-building-monitor-2.csv,benign
L0,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,true,true,ood_val:fit:22663,0,benign_normal,processed/iotsim-building-monitor-3.csv,benign
L0,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,true,true,ood_val:fit:22800,0,benign_normal,processed/iotsim-building-monitor-3.csv,benign
L0,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,true,true,ood_val:fit:22937,0,benign_normal,processed/iotsim-building-monitor-3.csv,benign
L0,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,true,true,ood_val:fit:23074,0,benign_normal,processed/iotsim-building-monitor-3.csv,benign
L0,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,true,true,ood_val:fit:23348,0,benign_normal,processed/iotsim-building-monitor-3.csv,benign
L0,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,true,true,ood_val:fit:23485,0,benign_normal,processed/iotsim-building-monitor-3.csv,benign
L0,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,true,true,aux:aux_fit:iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0:106,0,benign_normal,iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,benign
L0,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,true,true,aux:aux_fit:iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0:298,0,benign_normal,iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,benign
L0,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,true,true,aux:aux_fit:iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0:476,0,benign_normal,iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,benign
L0,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,true,true,aux:aux_fit:iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0:93,0,benign_normal,iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,benign
L0,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,true,true,aux:aux_fit:iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0:370,0,benign_normal,iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,benign
L0,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,true,true,aux:aux_fit:iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0:79,0,benign_normal,iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,benign
L0,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,true,true,aux:aux_fit:iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0:356,0,benign_normal,iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,benign
L0,86a62771abc36508549b7e8b7a614b46a135b608e4612fb91916323218ff9cfa,26,true,true,support_train:fit:201,1,attack_hard,processed/iotsim-ip-camera-museum-1.csv,Mirai C&C Communication
