role,csv_member,pcap_member,target_rows,emitted_rows,packets_scanned,pre_record_packets,parse_errors,first_timestamp_epoch,last_timestamp_epoch,state_hash_before,state_hash_after,max_scan_packets,completed_target,report_only,selection_allowed,elapsed_seconds,cache_key,cache_status,feature_count,x_sha256,y_sha256,sidecar_sha256,created_utc,timeout
id_benign_train,processed/iotsim-cooler-motor-1.csv,raw/benign/iotsim-cooler-motor-13_0-0_to_OpenvSwitch-20_3-0.pcap,23217,23217,23217,0,0,1736880012.222115,1736887645.220764,82a35e32cac3aa67eb7f14087f4a7db4683203e9c73d17e62cb1b123ce9b9979,e97c3a3f691e6adbba18b5185c26acea3a220544796a0b8e77b04f4ddfd26e07,28267,True,False,False,10.628,f157393e9b008674562ccc8af925cc81dda47004ae340a541df08cb59502f495,disabled_stateful_id_train,,,,,,
id_benign_train,processed/iotsim-cooler-motor-3.csv,raw/benign/iotsim-cooler-motor-3_0-0_to_OpenvSwitch-18_3-0.pcap,22478,22478,22479,0,0,1736880006.957577,1736887469.20183,d63e3152eb7a5230f0d49f454353353383db664e266595a34d7a698c9895507f,1e8cc0ca50ce3b85d69dc5db7cfc42068d488022a0516f1bef4e460a4e208962,27528,True,False,False,12.303,d841a09d78068190a151adfcd9e311890ef382b76b12ca4de145e185f229546a,disabled_stateful_id_train,,,,,,
id_benign_train,processed/iotsim-cooler-motor-4.csv,raw/benign/iotsim-cooler-motor-4_0-0_to_OpenvSwitch-18_4-0.pcap,22478,22478,22479,0,0,1736880004.613872,1736887463.346799,e7ea3f0d3273cd47e3389c0f34af26dd66c4a4c408708e3631fa170c0fe9c272,ae4c54023397f9742866b06ce58a9b9e7eb36dae2015e1ff906a5020eda7c495,27528,True,False,False,12.89,986c4de1d418ce6ddadfa8fdf51de8f6ee7e0e5b8437ca34be83a19d4e8898b6,disabled_stateful_id_train,,,,,,
id_benign_train,processed/iotsim-cooler-motor-10.csv,raw/benign/iotsim-cooler-motor-10_0-0_to_OpenvSwitch-18_10-0.pcap,22476,22476,22477,0,0,1736880005.727301,1736887463.90438,28355455c843a03cc9e44b896f51fb88c511a9cdc96f6a90e2a38b0b069f2fd9,ea95243f47369173881123b817b21d9c5a07b68c355f3fdc167ebd0374c15e04,27526,True,False,False,13.89,8415ca623d088534dd00ef8021424c1bf4491f9e79a89ae238b60d5fcd9b67db,disabled_stateful_id_train,,,,,,
id_benign_train,processed/iotsim-cooler-motor-14.csv,raw/benign/iotsim-cooler-motor-14_0-0_to_OpenvSwitch-20_4-0.pcap,22475,22475,22476,0,0,1736880011.709856,1736887469.948496,833f58c1a4e213c212dd82ffa03a4bf3b039309c3ac6c8323c36ec9bc289d3a7,a22c8fbe993999cd4b021e5b5fe6b7a2b73b7a8e962c952466279340fe072da5,27525,True,False,False,14.146,fb0e2fd61ba2841065309335a8462cf8aabae48cbac851c2d05f35009a86ccff,disabled_stateful_id_train,,,,,,
id_benign_train,processed/iotsim-cooler-motor-11.csv,raw/benign/iotsim-cooler-motor-11_0-0_to_OpenvSwitch-20_1-0.pcap,22472,22472,22473,0,0,1736880011.186186,1736887467.717429,4aa8329aaf4fd2935c3ed43fa3d6934f01591d8b320b11b2120bf6e36c8e58a4,93945db2957e3989d9f97d4dd84036693dab4f7809c8728e6c7f38a19d5c02ef,27522,True,False,False,15.373,746df3c8f05bed90c5e63149877c1a3ab9d0c6fc58f3e99c32459466d1682161,disabled_stateful_id_train,,,,,,
id_benign_train,processed/iotsim-cooler-motor-13.csv,raw/benign/iotsim-cooler-motor-13_0-0_to_OpenvSwitch-20_3-0.pcap,15404,15404,15405,0,0,1736880012.222115,1736884969.917426,853f902fbe79161f4d6fceb78b4115bc16913c731ea303d22410eb8e6f0e20df,9171ec5d37d6a2fc3a8feb615aa0b961905044656cb45444b8e505d811bcfc28,20454,True,False,False,10.125,46811b2d133f095f53a7a069bc1060454fbe0ba989775a7f2c9f6961b81da2ac,disabled_stateful_id_train,,,,,,
id_benign_calib,processed/iotsim-combined-cycle-tls-3.csv,raw/benign/iotsim-combined-cycle-tls-3_0-0_to_OpenvSwitch-14_3-0.pcap,1944,1944,1945,0,0,1736879997.53583,1736885047.327238,2249b7c83fbaffae1f56bd97c30edb86b2748bee3b7ad5756a10746c473addc8,226e11de61d0d03a30881c586fb5185bab6e1250ed65a8579b18154e272a75ff,6994,True,False,False,0.464,84b564340b2823fa7e30a8800e47ced5306a056095635d4159f40ad18bea1a72,hit,115,f19814d802466db7343d30a9d129a9c1896bf3d0fc3f33aad6b4a65ef752e6c7,079b420cec73f19a29ec178d035eddb20b42c6687a925fb350b467d5a1703bca,d092793be6ff2b3bbb61f6b8678a51ea158338ee3fea849cb2181c7ce4ce8681,2026-06-12T06:11:51.204772+00:00,
id_benign_calib,processed/iotsim-combined-cycle-tls-4.csv,raw/benign/iotsim-combined-cycle-tls-4_0-0_to_OpenvSwitch-14_4-0.pcap,1944,1944,1945,0,0,1736879998.049795,1736885050.526634,68235cbd17b38bb90fd1f746d88eecbf4c107c9a76bca4c9571d78cbcc1c017a,3f52940229d4e9c73b5e83c4078c352e3a8ef77a1994671d880c89579f1c774d,6994,True,False,False,0.502,979e52574e84bcc38eaec049015786da6cfa0c015767330a8d24995a035aa75a,hit,115,ec44879f991fc1dd394bad696c46d5b505a132deabcd4663522c2b4f7cc69a3b,079b420cec73f19a29ec178d035eddb20b42c6687a925fb350b467d5a1703bca,cee021b7b1a8f2ba72daa6f8350c983f5a1162cfa2846d8d9c1b98d64aadd7a1,2026-06-12T06:11:53.661617+00:00,
id_benign_calib,processed/iotsim-combined-cycle-tls-5.csv,raw/benign/iotsim-combined-cycle-tls-5_0-0_to_OpenvSwitch-14_5-0.pcap,1944,1944,1945,0,0,1736879998.049585,1736885053.0797,c078181674babf62eeaa805d8a2de2a19ed7a444b5523273056a63914902b06c,c051360c91329e91173976eaa9e2d48553c33002ed655df01495b69251066c13,6994,True,False,False,0.49,e3c6fb69c397dddfca4fc9f2200ea6ec2a5caee283f4b3b7afebe197fd6aaae3,hit,115,fda801099934d646671847197c1c82d2fcd942c49a82b1c4f030064276854521,079b420cec73f19a29ec178d035eddb20b42c6687a925fb350b467d5a1703bca,76bfdd1731605a5734f43dc8089f35ec66c76c6a611c63f164e7bc39cee2188d,2026-06-12T06:11:56.287100+00:00,
id_benign_calib,processed/iotsim-cooler-motor-7.csv,raw/benign/iotsim-cooler-motor-7_0-0_to_OpenvSwitch-18_7-0.pcap,22475,22475,22476,0,0,1736880006.754106,1736887461.564934,87ba179153a99fd552b99af6a5d6d4fc8f426c8b8f9806abdc9ace274505f905,a1e3b037513425249cf56119dd6fc6472e6417be380eae3825cf1c1685a96a79,27525,True,False,False,1.201,3fee5af8174fd1ca491c2062251d0022782492fd2a4f4a28b79ef3c31ae61652,hit,115,6379db4fc8e32e2974c1118e32103ed97aa096168332881ad91e59933c246e63,dce3a45427429a3c6f6cc14a64989ef7cae6fdd3370d57b096685453b6877dcc,2ed25ae9879fbfe650468542d62a2ae9672caa011e98306f2947c4b60bea7225,2026-06-12T06:12:18.256607+00:00,
id_benign_calib,processed/iotsim-cooler-motor-9.csv,raw/benign/iotsim-cooler-motor-9_0-0_to_OpenvSwitch-18_9-0.pcap,1693,1693,1694,0,0,1736880005.179641,1736880371.173823,cef53138b2b75dfc6f346cbdbed9d238cbe7e1e2d0066f8cc87495c54930b76a,97ef5c69bb28bb1fc6a68d1d58da9f592cad076ac6b19a799fafa5dbba27cd7d,6743,True,False,False,0.51,fc3c4faf6b531220b359a35311642a940c9f54194eb401b55c5681e9163ddf66,hit,115,60a1107e09fc0b2bd122babaf24aa33fd8b95a638af762367a9189cfda811318,a1f8b200dc77fea62e9d8da94a4e3a4e6818a1fef31ece6547d0687ec2da26d8,688a8a3ec5dbe4e8b9722aa832bb9c1ee96950b7c06a9075507cf439daefb548,2026-06-12T06:12:20.214314+00:00,
ood_benign_val,processed/iotsim-hydraulic-system-1.csv,raw/benign/iotsim-hydraulic-system-15_0-0_to_OpenvSwitch-16_5-0.pcap,3869,3869,3869,0,0,1736880003.684146,1736887617.645456,1c8cfdec3ef131fa96245527485bade6912057730cfc1c887d36ab5c4942e543,e409546741455ed5b8305f675679f2dee03e8d4ee5bc681fb31246a52b8342df,8919,True,False,False,0.55,e7fec2e379f6a4700f645a315698825ad36aa2103d266a9eb25244671fd03025,hit,115,0abf2e33cf57d37e85c4f6bf4052407d85bec6049d5b95e148cb45eaff8eb0a8,7515449692b30ac0f5f1670564271306ee4c980205538ac3bcc2b94ca4f0e51b,1b6bf27ce50580a4936b399668e7678b01528317339395bc5b3f73e233c9bdfe,2026-06-12T06:12:28.081488+00:00,
ood_benign_val,processed/iotsim-hydraulic-system-10.csv,raw/benign/iotsim-hydraulic-system-10_0-0_to_OpenvSwitch-15_10-0.pcap,2506,2506,2507,0,0,1736880003.680717,1736884728.808917,412852bb5ea4ffa2451144cc8c27dc9947fa9f796953c0669946c32aea048a43,47382d509cf2af7b86d5d9528b9c8188b7b5207c33ff84cfce911a7dcfe47488,7556,True,False,False,0.498,cd9f437147a4f13ff148209f282d44a605f50e39e545092720bfff43a8ea8ee2,hit,115,a5f08eaa7c928735abb3a676d5e14f3c3911cc8883389a49d255afd12126a0e6,e43899e3fd952b4f8c9df03837ec325f8761361aa7dc25760f53ef781cd6adab,e210acdd1d08eeeff8f1a74099f7a4af6cfc056973b3b85bbc509cf4a8a7f965,2026-06-12T06:12:33.197810+00:00,
