role,csv_member,pcap_member,target_rows,expected_binary_label,report_only,selection_allowed,record_start_ts,first_attack_label,planned_pre_onset_packets,cache_key,cacheable
id_benign_train,processed/iotsim-cooler-motor-1.csv,raw/benign/iotsim-cooler-motor-13_0-0_to_OpenvSwitch-20_3-0.pcap,23217,benign,False,False,,,0,f157393e9b008674562ccc8af925cc81dda47004ae340a541df08cb59502f495,False
id_benign_train,processed/iotsim-cooler-motor-3.csv,raw/benign/iotsim-cooler-motor-3_0-0_to_OpenvSwitch-18_3-0.pcap,22478,benign,False,False,,,0,d841a09d78068190a151adfcd9e311890ef382b76b12ca4de145e185f229546a,False
id_benign_train,processed/iotsim-cooler-motor-4.csv,raw/benign/iotsim-cooler-motor-4_0-0_to_OpenvSwitch-18_4-0.pcap,22478,benign,False,False,,,0,986c4de1d418ce6ddadfa8fdf51de8f6ee7e0e5b8437ca34be83a19d4e8898b6,False
id_benign_train,processed/iotsim-cooler-motor-10.csv,raw/benign/iotsim-cooler-motor-10_0-0_to_OpenvSwitch-18_10-0.pcap,22476,benign,False,False,,,0,8415ca623d088534dd00ef8021424c1bf4491f9e79a89ae238b60d5fcd9b67db,False
id_benign_train,processed/iotsim-cooler-motor-14.csv,raw/benign/iotsim-cooler-motor-14_0-0_to_OpenvSwitch-20_4-0.pcap,22475,benign,False,False,,,0,fb0e2fd61ba2841065309335a8462cf8aabae48cbac851c2d05f35009a86ccff,False
id_benign_train,processed/iotsim-cooler-motor-11.csv,raw/benign/iotsim-cooler-motor-11_0-0_to_OpenvSwitch-20_1-0.pcap,22472,benign,False,False,,,0,746df3c8f05bed90c5e63149877c1a3ab9d0c6fc58f3e99c32459466d1682161,False
id_benign_train,processed/iotsim-cooler-motor-13.csv,raw/benign/iotsim-cooler-motor-13_0-0_to_OpenvSwitch-20_3-0.pcap,15404,benign,False,False,,,0,46811b2d133f095f53a7a069bc1060454fbe0ba989775a7f2c9f6961b81da2ac,False
id_benign_calib,processed/iotsim-combined-cycle-tls-3.csv,raw/benign/iotsim-combined-cycle-tls-3_0-0_to_OpenvSwitch-14_3-0.pcap,1944,benign,False,False,,,0,84b564340b2823fa7e30a8800e47ced5306a056095635d4159f40ad18bea1a72,True
id_benign_calib,processed/iotsim-combined-cycle-tls-4.csv,raw/benign/iotsim-combined-cycle-tls-4_0-0_to_OpenvSwitch-14_4-0.pcap,1944,benign,False,False,,,0,979e52574e84bcc38eaec049015786da6cfa0c015767330a8d24995a035aa75a,True
id_benign_calib,processed/iotsim-combined-cycle-tls-5.csv,raw/benign/iotsim-combined-cycle-tls-5_0-0_to_OpenvSwitch-14_5-0.pcap,1944,benign,False,False,,,0,e3c6fb69c397dddfca4fc9f2200ea6ec2a5caee283f4b3b7afebe197fd6aaae3,True
id_benign_calib,processed/iotsim-cooler-motor-7.csv,raw/benign/iotsim-cooler-motor-7_0-0_to_OpenvSwitch-18_7-0.pcap,22475,benign,False,False,,,0,3fee5af8174fd1ca491c2062251d0022782492fd2a4f4a28b79ef3c31ae61652,True
id_benign_calib,processed/iotsim-cooler-motor-9.csv,raw/benign/iotsim-cooler-motor-9_0-0_to_OpenvSwitch-18_9-0.pcap,1693,benign,False,False,,,0,fc3c4faf6b531220b359a35311642a940c9f54194eb401b55c5681e9163ddf66,True
