method_id,method_name,core_idea,project_pain_point,how_to_integrate_with_kitsune115,online_realtime,full_dataset_scaling,risk,position
A,Calibrated two-head / teacher-guided fusion,Use existing region heads as teachers and calibrate/fuse region evidence,Preserve medium/heavy local signals without one shared conservative scorer,Use two-head only as dev-side teacher; deploy a compact student or calibrated margin scorer,medium,medium,"Simple logistic fusion already failed in issue27bi; teacher bias may transfer",supporting_transition
B,Region-aware metric embedding,Learn 115D to 16/32D embedding where support and harder query attacks align,Raw score layer and support-query gap,Train lightweight embedding on legal dev roles; use prototype shell in embedding space,high,high,"Can overfit pseudo-query if sampling is weak",mainline_candidate
C,SupCon / triplet / center loss,Use contrastive or margin losses to preserve attack regions and separate from ID/OOD,Classification boundary does not enforce distance structure,Construct legal dev pairs/triplets: support-pseudo positives and ID/OOD/stress negatives,medium_high,medium_high,"Many sampling and margin hyperparameters; must avoid report-only mining",mainline_candidate
D,Prototypical / nearest-class / prototype shell,Represent ID/OOD/attack regions with prototypes plus inner/outer radii,Need bounded region memory and coverage/unknown decisions,Build shells after metric embedding; exact search first,high,high,"Raw 115D prototype-only already insufficient; needs better embedding",mainline_component
E,Attack evidence + OOD risk dual channel,Separate high-recall attack evidence from benign/OOD false alarm risk,OOD suppression kills attack when combined into one score,Train attack scorer and OOD risk scorer separately; controller combines evidence,high,high,"Controller rule can overfit dev if not preregistered",mainline_architecture
F,Selective controller with bounded review,Use reject/review under fixed budget for conflict samples,Attack/OOD overlap cannot always be hard-decided,Rank conflict samples by dev-calibrated uncertainty; fixed top-B review,high,high,"Review can become a garbage bin if budget not enforced",mainline_component
G,Top-k region routing / bounded expert,Route each sample to nearest few regions instead of all heads,Future attack regions cannot create unbounded heads,Embedding centroid routing then region-specific shell/calibration,high,high,"Routing miss can cause false negatives; needs unknown fallback",mainline_extension
H,Exemplar memory / region registry,Maintain bounded attack exemplars per region with merge/retire/compress,Active labels can rescue new attacks but hurt old regions,Region registry with exemplar budget and utility logs,high_query_medium_update,high,"Memory update errors and label cost; must be asynchronous and audited",online_extension
I,ANN / FAISS / HNSW retrieval,Approximate nearest neighbor over large prototype banks,Full-scale prototype lookup cost,Use exact search now; switch to ANN when prototypes exceed around 10k,high,very_high,"Approximation errors matter in security; need recall audit/exact fallback",deployment_scaling
J,Active labeling in mixed stream,Select unlabeled high-value samples under budget then request labels,Support cannot cover unknown future attacks,Use feature-only conflict/far-all/high-score criteria; labels only after selection,medium,medium_high,"Low attack yield if stream mostly benign; can be costly",system_mechanism
