regime,feature_set,model,role,phase,label,rows
support_only,raw115,histgb_shallow,support_train,all,1,385
support_only,raw115,histgb_shallow,ood_stress,fit,0,1540
support_only,evidence,histgb_shallow,support_train,all,1,385
support_only,evidence,histgb_shallow,ood_stress,fit,0,1540
support_only,raw_plus_evidence,histgb_stronger,support_train,all,1,385
support_only,raw_plus_evidence,histgb_stronger,ood_stress,fit,0,1540
support_all_benign,raw115,histgb_shallow,support_train,all,1,385
support_all_benign,raw115,histgb_shallow,id_calib,fit,0,513
support_all_benign,raw115,histgb_shallow,ood_val,fit,0,513
support_all_benign,raw115,histgb_shallow,ood_stress,fit,0,513
support_all_benign,evidence,histgb_shallow,support_train,all,1,385
support_all_benign,evidence,histgb_shallow,id_calib,fit,0,513
support_all_benign,evidence,histgb_shallow,ood_val,fit,0,513
support_all_benign,evidence,histgb_shallow,ood_stress,fit,0,513
support_all_benign,raw_plus_evidence,histgb_stronger,support_train,all,1,385
support_all_benign,raw_plus_evidence,histgb_stronger,id_calib,fit,0,513
support_all_benign,raw_plus_evidence,histgb_stronger,ood_val,fit,0,513
support_all_benign,raw_plus_evidence,histgb_stronger,ood_stress,fit,0,513
label_rich_upper,raw115,histgb_stronger,support_train,fit,1,385
label_rich_upper,raw115,histgb_stronger,support_val,fit,1,58
label_rich_upper,raw115,histgb_stronger,same_file_query,fit,1,20000
label_rich_upper,raw115,histgb_stronger,future_query,fit,1,20000
label_rich_upper,raw115,histgb_stronger,id_calib,fit,0,20000
label_rich_upper,raw115,histgb_stronger,ood_val,fit,0,11295
label_rich_upper,raw115,histgb_stronger,ood_stress,fit,0,20000
label_rich_upper,evidence,histgb_stronger,support_train,fit,1,385
label_rich_upper,evidence,histgb_stronger,support_val,fit,1,58
label_rich_upper,evidence,histgb_stronger,same_file_query,fit,1,20000
label_rich_upper,evidence,histgb_stronger,future_query,fit,1,20000
label_rich_upper,evidence,histgb_stronger,id_calib,fit,0,20000
label_rich_upper,evidence,histgb_stronger,ood_val,fit,0,11295
label_rich_upper,evidence,histgb_stronger,ood_stress,fit,0,20000
label_rich_upper,temporal,histgb_stronger,support_train,fit,1,385
label_rich_upper,temporal,histgb_stronger,support_val,fit,1,58
label_rich_upper,temporal,histgb_stronger,same_file_query,fit,1,20000
label_rich_upper,temporal,histgb_stronger,future_query,fit,1,20000
label_rich_upper,temporal,histgb_stronger,id_calib,fit,0,20000
label_rich_upper,temporal,histgb_stronger,ood_val,fit,0,11295
label_rich_upper,temporal,histgb_stronger,ood_stress,fit,0,20000
label_rich_upper,raw_plus_temporal,histgb_stronger,support_train,fit,1,385
label_rich_upper,raw_plus_temporal,histgb_stronger,support_val,fit,1,58
label_rich_upper,raw_plus_temporal,histgb_stronger,same_file_query,fit,1,20000
label_rich_upper,raw_plus_temporal,histgb_stronger,future_query,fit,1,20000
label_rich_upper,raw_plus_temporal,histgb_stronger,id_calib,fit,0,20000
label_rich_upper,raw_plus_temporal,histgb_stronger,ood_val,fit,0,11295
label_rich_upper,raw_plus_temporal,histgb_stronger,ood_stress,fit,0,20000
label_rich_upper,raw_plus_temporal,mlp_small,support_train,fit,1,385
label_rich_upper,raw_plus_temporal,mlp_small,support_val,fit,1,58
label_rich_upper,raw_plus_temporal,mlp_small,same_file_query,fit,1,20000
label_rich_upper,raw_plus_temporal,mlp_small,future_query,fit,1,20000
label_rich_upper,raw_plus_temporal,mlp_small,id_calib,fit,0,20000
label_rich_upper,raw_plus_temporal,mlp_small,ood_val,fit,0,11295
label_rich_upper,raw_plus_temporal,mlp_small,ood_stress,fit,0,20000
