strategy,adapter,phase,roles_accessed,row_count,forbidden_role_accessed,allowed
reset_at_split_boundary,LR_Minimal_Interface,fit,attack_support|id_benign_train,1750,False,True
reset_at_split_boundary,LR_Minimal_Interface,score_predict_shape,attack_eval,1050,True,True
reset_at_split_boundary,LR_Minimal_Interface,score_predict_shape,attack_support,1050,False,True
reset_at_split_boundary,LR_Minimal_Interface,score_predict_shape,final_ood_benign_eval,700,True,True
reset_at_split_boundary,LR_Minimal_Interface,score_predict_shape,id_benign_train,700,False,True
reset_at_split_boundary,LR_Minimal_Interface,score_predict_shape,ood_benign_val,700,False,True
reset_at_split_boundary,HistGB_Minimal_Interface,fit,attack_support|id_benign_train,1750,False,True
reset_at_split_boundary,HistGB_Minimal_Interface,score_predict_shape,attack_eval,1050,True,True
reset_at_split_boundary,HistGB_Minimal_Interface,score_predict_shape,attack_support,1050,False,True
reset_at_split_boundary,HistGB_Minimal_Interface,score_predict_shape,final_ood_benign_eval,700,True,True
reset_at_split_boundary,HistGB_Minimal_Interface,score_predict_shape,id_benign_train,700,False,True
reset_at_split_boundary,HistGB_Minimal_Interface,score_predict_shape,ood_benign_val,700,False,True
reset_at_split_boundary,DeepSADStyle_Lite_Interface,fit,attack_support|id_benign_train,1750,False,True
reset_at_split_boundary,DeepSADStyle_Lite_Interface,score_predict_shape,attack_eval,1050,True,True
reset_at_split_boundary,DeepSADStyle_Lite_Interface,score_predict_shape,attack_support,1050,False,True
reset_at_split_boundary,DeepSADStyle_Lite_Interface,score_predict_shape,final_ood_benign_eval,700,True,True
reset_at_split_boundary,DeepSADStyle_Lite_Interface,score_predict_shape,id_benign_train,700,False,True
reset_at_split_boundary,DeepSADStyle_Lite_Interface,score_predict_shape,ood_benign_val,700,False,True
reset_at_split_boundary,LOW_GUARD_Protocol_Shell_Interface,fit,attack_support|id_benign_train,1750,False,True
reset_at_split_boundary,LOW_GUARD_Protocol_Shell_Interface,score_predict_shape,attack_eval,1050,True,True
reset_at_split_boundary,LOW_GUARD_Protocol_Shell_Interface,score_predict_shape,attack_support,1050,False,True
reset_at_split_boundary,LOW_GUARD_Protocol_Shell_Interface,score_predict_shape,final_ood_benign_eval,700,True,True
reset_at_split_boundary,LOW_GUARD_Protocol_Shell_Interface,score_predict_shape,id_benign_train,700,False,True
reset_at_split_boundary,LOW_GUARD_Protocol_Shell_Interface,score_predict_shape,ood_benign_val,700,False,True
train_state_then_eval_online,LR_Minimal_Interface,fit,attack_support|id_benign_train,1750,False,True
train_state_then_eval_online,LR_Minimal_Interface,score_predict_shape,attack_eval,1050,True,True
train_state_then_eval_online,LR_Minimal_Interface,score_predict_shape,attack_support,1050,False,True
train_state_then_eval_online,LR_Minimal_Interface,score_predict_shape,final_ood_benign_eval,700,True,True
train_state_then_eval_online,LR_Minimal_Interface,score_predict_shape,id_benign_train,700,False,True
train_state_then_eval_online,LR_Minimal_Interface,score_predict_shape,ood_benign_val,700,False,True
train_state_then_eval_online,HistGB_Minimal_Interface,fit,attack_support|id_benign_train,1750,False,True
train_state_then_eval_online,HistGB_Minimal_Interface,score_predict_shape,attack_eval,1050,True,True
train_state_then_eval_online,HistGB_Minimal_Interface,score_predict_shape,attack_support,1050,False,True
train_state_then_eval_online,HistGB_Minimal_Interface,score_predict_shape,final_ood_benign_eval,700,True,True
train_state_then_eval_online,HistGB_Minimal_Interface,score_predict_shape,id_benign_train,700,False,True
train_state_then_eval_online,HistGB_Minimal_Interface,score_predict_shape,ood_benign_val,700,False,True
train_state_then_eval_online,DeepSADStyle_Lite_Interface,fit,attack_support|id_benign_train,1750,False,True
train_state_then_eval_online,DeepSADStyle_Lite_Interface,score_predict_shape,attack_eval,1050,True,True
train_state_then_eval_online,DeepSADStyle_Lite_Interface,score_predict_shape,attack_support,1050,False,True
train_state_then_eval_online,DeepSADStyle_Lite_Interface,score_predict_shape,final_ood_benign_eval,700,True,True
train_state_then_eval_online,DeepSADStyle_Lite_Interface,score_predict_shape,id_benign_train,700,False,True
train_state_then_eval_online,DeepSADStyle_Lite_Interface,score_predict_shape,ood_benign_val,700,False,True
train_state_then_eval_online,LOW_GUARD_Protocol_Shell_Interface,fit,attack_support|id_benign_train,1750,False,True
train_state_then_eval_online,LOW_GUARD_Protocol_Shell_Interface,score_predict_shape,attack_eval,1050,True,True
train_state_then_eval_online,LOW_GUARD_Protocol_Shell_Interface,score_predict_shape,attack_support,1050,False,True
train_state_then_eval_online,LOW_GUARD_Protocol_Shell_Interface,score_predict_shape,final_ood_benign_eval,700,True,True
train_state_then_eval_online,LOW_GUARD_Protocol_Shell_Interface,score_predict_shape,id_benign_train,700,False,True
train_state_then_eval_online,LOW_GUARD_Protocol_Shell_Interface,score_predict_shape,ood_benign_val,700,False,True
