method,positive_budget,seed,seed_group,selected_attack_row_id,support_source,in_attack_train_pool,overlaps_attack_val,overlaps_attack_eval
original100_fixed_guard_lr,32,42,main_paired_42_46,3172,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,42,main_paired_42_46,3299,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,42,main_paired_42_46,3481,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,42,main_paired_42_46,3544,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,42,main_paired_42_46,3800,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,42,main_paired_42_46,4198,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,42,main_paired_42_46,4210,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,42,main_paired_42_46,4369,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,42,main_paired_42_46,4466,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,42,main_paired_42_46,4670,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,42,main_paired_42_46,4814,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,42,main_paired_42_46,4852,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,42,main_paired_42_46,5026,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,42,main_paired_42_46,5041,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,42,main_paired_42_46,5328,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,42,main_paired_42_46,5346,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,42,main_paired_42_46,5371,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,42,main_paired_42_46,5589,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,42,main_paired_42_46,5639,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,42,main_paired_42_46,5876,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,42,main_paired_42_46,6051,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,42,main_paired_42_46,6152,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,42,main_paired_42_46,6221,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,42,main_paired_42_46,6248,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,42,main_paired_42_46,6252,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,42,main_paired_42_46,6360,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,42,main_paired_42_46,6493,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,42,main_paired_42_46,6506,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,42,main_paired_42_46,6537,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,42,main_paired_42_46,6851,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,42,main_paired_42_46,6886,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,42,main_paired_42_46,6946,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,43,main_paired_42_46,2951,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,43,main_paired_42_46,2970,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,43,main_paired_42_46,2983,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,43,main_paired_42_46,3177,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,43,main_paired_42_46,3323,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,43,main_paired_42_46,3364,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,43,main_paired_42_46,3397,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,43,main_paired_42_46,3458,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,43,main_paired_42_46,3472,stage2_high_purity_attack_train_pool,True,False,False
original100_fixed_guard_lr,32,43,main_paired_42_46,3595,stage2_high_purity_attack_train_pool,True,False,False
