device_key,device_family,raw_source_paths,lineage_stable,benign_rows,attack_rows,benign_sessions,attack_sessions,d0_count_only_cut_event_position,prefix_rows_whole_sessions,prefix_independent_sessions,suffix_benign_rows_whole_sessions,suffix_independent_sessions,causal_prefix_and_suffix_identifiable
iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0,iotsim-building-monitor,raw/benign/iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0.pcap,True,600,0,360,0,799.0,295,183,292,176,True
iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,iotsim-building-monitor,raw/benign/iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0.pcap,True,600,0,360,0,799.0,295,183,292,176,True
iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0,iotsim-combined-cycle,raw/benign/iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0.pcap,True,600,0,513,0,799.0,300,261,300,252,True
iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0,iotsim-combined-cycle,raw/benign/iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0.pcap,True,600,0,512,0,799.0,300,261,300,251,True
iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0,iotsim-combined-cycle,raw/benign/iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0.pcap,True,600,0,513,0,799.0,298,260,298,252,True
iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0,iotsim-combined-cycle,raw/benign/iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0.pcap,True,600,0,514,0,799.0,300,261,300,253,True
iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0,iotsim-combined-cycle,raw/benign/iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0.pcap,True,600,0,515,0,799.0,299,260,299,254,True
iotsim-combined-cycle-7_0-0_to_OpenvSwitch-13_7-0,iotsim-combined-cycle,raw/benign/iotsim-combined-cycle-7_0-0_to_OpenvSwitch-13_7-0.pcap,True,600,0,516,0,799.0,299,261,299,254,True
iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0,iotsim-combined-cycle,raw/benign/iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0.pcap,True,600,0,516,0,799.0,300,261,300,255,True
iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0,iotsim-combined-cycle,raw/benign/iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0.pcap,True,600,0,515,0,799.0,298,260,298,254,True
iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0,iotsim-combined-cycle-tls,raw/benign/iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0.pcap,True,600,0,226,0,799.0,298,128,287,97,True
iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,iotsim-combined-cycle-tls,raw/benign/iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0.pcap,True,600,0,230,0,799.0,286,130,299,99,True
iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0,iotsim-domotic-monitor,raw/benign/iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0.pcap,True,600,0,366,0,799.0,294,185,296,179,True
iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,iotsim-domotic-monitor,raw/benign/iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0.pcap,True,600,0,369,0,799.0,298,187,298,181,True
iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,iotsim-domotic-monitor,raw/benign/iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0.pcap,True,600,0,368,0,799.0,300,187,300,181,True
iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,iotsim-domotic-monitor,raw/benign/iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0.pcap,True,600,0,367,0,799.0,300,187,300,180,True
normal_1.pcap,ton-iot-external,normal_1.pcap,True,4000,0,3186,0,998220.0,1605,1489,1738,1691,True
normal_2.pcap,ton-iot-external,normal_2.pcap,True,4000,0,3538,0,998220.0,1757,1757,1776,1776,True
normal_scanning1.pcap,ton-iot-external,normal_scanning1.pcap,True,0,2000,0,2000,,0,0,0,0,False
password_normal1.pcap,ton-iot-external,password_normal1.pcap,True,0,2000,0,1986,,0,0,0,0,False
processed/iotsim-building-monitor-2.csv,iotsim-building-monitor,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap,True,1690,0,765,0,1269.0,842,381,840,382,True
processed/iotsim-building-monitor-3.csv,iotsim-building-monitor,raw/benign/iotsim-building-monitor-3_0-0_to_OpenvSwitch-28_3-0.pcap,True,914,0,411,0,742.0,457,209,457,202,True
processed/iotsim-city-power-1.csv,city-power,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap|raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,False,0,160,0,127,,0,0,0,0,False
processed/iotsim-combined-cycle-10.csv,combined-cycle,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,True,0,39,0,5,,0,0,0,0,False
processed/iotsim-combined-cycle-tls-3.csv,iotsim-combined-cycle-tls,raw/benign/iotsim-combined-cycle-tls-3_0-0_to_OpenvSwitch-14_3-0.pcap,True,270,0,134,0,1563.0,134,65,134,68,True
processed/iotsim-combined-cycle-tls-4.csv,iotsim-combined-cycle-tls,raw/benign/iotsim-combined-cycle-tls-4_0-0_to_OpenvSwitch-14_4-0.pcap,True,270,0,139,0,1570.0,134,71,134,67,True
processed/iotsim-combined-cycle-tls-5.csv,iotsim-combined-cycle-tls,raw/benign/iotsim-combined-cycle-tls-5_0-0_to_OpenvSwitch-14_5-0.pcap,True,269,0,137,0,1569.0,133,66,134,70,True
processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap|raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,False,0,255,0,192,,0,0,0,0,False
