phase,device_family,context_tier,ip_protocol_or_none,rows,contexts
fit,iotsim-building-monitor,H2,1.0,447,110
fit,iotsim-building-monitor,H2,58.0,18,18
fit,iotsim-building-monitor,H3,,138,24
fit,iotsim-combined-cycle,H2,58.0,284,284
fit,iotsim-combined-cycle,H3,,1713,1407
fit,iotsim-combined-cycle-tls,H2,1.0,75,53
fit,iotsim-combined-cycle-tls,H2,58.0,62,62
fit,iotsim-combined-cycle-tls,H3,,90,70
fit,iotsim-domotic-monitor,H2,1.0,202,45
fit,iotsim-domotic-monitor,H2,58.0,60,60
fit,iotsim-domotic-monitor,H3,,420,50
fit,ton-iot-external,H1,6.0,28,23
fit,ton-iot-external,H1,17.0,1,1
fit,ton-iot-external,H2,1.0,128,99
fit,ton-iot-external,H2,2.0,2,2
fit,ton-iot-external,H2,58.0,10,10
fit,ton-iot-external,H3,,2974,2851
fit,ton-iot-external,H4,,14,9
select,iotsim-building-monitor,H2,1.0,66,18
select,iotsim-building-monitor,H2,58.0,18,18
select,iotsim-building-monitor,H3,,138,16
select,iotsim-combined-cycle,H2,58.0,92,92
select,iotsim-combined-cycle,H3,,572,466
select,iotsim-combined-cycle-tls,H2,1.0,26,6
select,iotsim-combined-cycle-tls,H2,58.0,64,64
select,iotsim-combined-cycle-tls,H3,,92,72
select,iotsim-domotic-monitor,H2,1.0,68,15
select,iotsim-domotic-monitor,H2,58.0,20,20
select,iotsim-domotic-monitor,H3,,138,15
select,ton-iot-external,H1,6.0,62,50
select,ton-iot-external,H2,0.0,1,1
select,ton-iot-external,H2,1.0,132,110
select,ton-iot-external,H2,2.0,1,1
select,ton-iot-external,H2,58.0,6,6
select,ton-iot-external,H3,,3304,3176
select,ton-iot-external,H4,,12,11
