owner,phase,role,label_kind,context_tier,source_group,device_family,attack_family,rows,contexts,cross_rows
A,fit,aux_fit,benign,H1,iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,iotsim-building-monitor,benign,378,138,0
A,fit,aux_fit,benign,H1,iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0,iotsim-combined-cycle,benign,271,183,0
A,fit,aux_fit,benign,H1,iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0,iotsim-combined-cycle,benign,268,182,0
A,fit,aux_fit,benign,H1,iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0,iotsim-combined-cycle,benign,267,182,0
A,fit,aux_fit,benign,H1,iotsim-combined-cycle-7_0-0_to_OpenvSwitch-13_7-0,iotsim-combined-cycle,benign,266,182,0
A,fit,aux_fit,benign,H1,iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0,iotsim-combined-cycle,benign,265,181,0
A,fit,aux_fit,benign,H1,iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0,iotsim-combined-cycle,benign,266,182,0
A,fit,aux_fit,benign,H1,iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0,iotsim-combined-cycle-tls,benign,422,48,0
A,fit,aux_fit,benign,H1,iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0,iotsim-domotic-monitor,benign,374,142,0
A,fit,aux_fit,benign,H1,iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,iotsim-domotic-monitor,benign,370,139,0
A,fit,aux_fit,benign,H1,iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,iotsim-domotic-monitor,benign,374,141,0
A,fit,aux_normal_fit,benign,H1,normal_1.pcap,ton-iot-external,benign,843,672,0
A,fit,aux_process_fit,attack,H1,normal_scanning1.pcap,ton-iot-external,ToN-reconnaissance_scan,2000,2000,0
A,fit,aux_process_fit,attack,H1,password_normal1.pcap,ton-iot-external,ToN-credential_bruteforce,2000,1998,0
A,fit,id_calib,benign,H1,processed/iotsim-combined-cycle-tls-3.csv,iotsim-combined-cycle-tls,benign,256,120,0
A,fit,id_calib,benign,H1,processed/iotsim-combined-cycle-tls-4.csv,iotsim-combined-cycle-tls,benign,252,121,0
A,fit,id_calib,benign,H1,processed/iotsim-combined-cycle-tls-5.csv,iotsim-combined-cycle-tls,benign,252,121,0
A,fit,ood_val,benign,H1,processed/iotsim-building-monitor-2.csv,iotsim-building-monitor,benign,1442,520,0
A,fit,ood_val,benign,H1,processed/iotsim-building-monitor-3.csv,iotsim-building-monitor,benign,781,278,0
A,fit,support_train,attack,H1,processed/iotsim-city-power-1.csv,city-power,Merlin TCP Flooding,24,21,1
A,fit,support_train,attack,H1,processed/iotsim-city-power-1.csv,city-power,Merlin UDP Flooding,12,12,0
A,fit,support_train,attack,H1,processed/iotsim-city-power-1.csv,city-power,Mirai TCP Flooding,33,27,0
A,fit,support_train,attack,H1,processed/iotsim-city-power-1.csv,city-power,Mirai UDP Flooding,19,5,15
A,fit,support_train,attack,H1,processed/iotsim-combined-cycle-10.csv,combined-cycle,File Download,12,1,12
A,fit,support_train,attack,H1,processed/iotsim-combined-cycle-10.csv,combined-cycle,Ingress Tool Transfer,18,2,15
A,fit,support_train,attack,H1,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin C&C Communication,3,1,3
A,fit,support_train,attack,H1,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin TCP Flooding,36,29,1
A,fit,support_train,attack,H1,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin UDP Flooding,18,18,0
A,fit,support_train,attack,H1,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Mirai C&C Communication,9,3,3
A,fit,support_train,attack,H1,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Mirai TCP Flooding,27,24,0
A,fit,support_train,attack,H1,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Mirai UDP Flooding,35,18,14
A,select,aux_normal_select,benign,H1,normal_2.pcap,ton-iot-external,benign,482,396,0
A,select,aux_select,benign,H1,iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0,iotsim-building-monitor,benign,378,138,0
A,select,aux_select,benign,H1,iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0,iotsim-combined-cycle,benign,269,182,0
A,select,aux_select,benign,H1,iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0,iotsim-combined-cycle,benign,267,181,0
A,select,aux_select,benign,H1,iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,iotsim-combined-cycle-tls,benign,418,48,0
A,select,aux_select,benign,H1,iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,iotsim-domotic-monitor,benign,374,142,0
A,select,support_val,attack,H1,processed/iotsim-city-power-1.csv,city-power,Merlin TCP Flooding,6,6,1
A,select,support_val,attack,H1,processed/iotsim-city-power-1.csv,city-power,Merlin UDP Flooding,3,3,0
A,select,support_val,attack,H1,processed/iotsim-city-power-1.csv,city-power,Mirai TCP Flooding,4,4,0
A,select,support_val,attack,H1,processed/iotsim-city-power-1.csv,city-power,Mirai UDP Flooding,5,5,1
A,select,support_val,attack,H1,processed/iotsim-combined-cycle-10.csv,combined-cycle,File Download,3,1,3
A,select,support_val,attack,H1,processed/iotsim-combined-cycle-10.csv,combined-cycle,Ingress Tool Transfer,3,1,3
A,select,support_val,attack,H1,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin TCP Flooding,5,5,1
A,select,support_val,attack,H1,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin UDP Flooding,3,3,0
A,select,support_val,attack,H1,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Mirai C&C Communication,2,1,2
A,select,support_val,attack,H1,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Mirai TCP Flooding,6,6,0
A,select,support_val,attack,H1,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Mirai UDP Flooding,6,4,4
B,fit,aux_fit,benign,H2,iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,iotsim-building-monitor,benign,84,37,0
B,fit,aux_fit,benign,H2,iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0,iotsim-combined-cycle,benign,46,46,0
B,fit,aux_fit,benign,H2,iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0,iotsim-combined-cycle,benign,47,47,0
B,fit,aux_fit,benign,H2,iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0,iotsim-combined-cycle,benign,46,46,0
B,fit,aux_fit,benign,H2,iotsim-combined-cycle-7_0-0_to_OpenvSwitch-13_7-0,iotsim-combined-cycle,benign,46,46,0
B,fit,aux_fit,benign,H2,iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0,iotsim-combined-cycle,benign,49,49,0
B,fit,aux_fit,benign,H2,iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0,iotsim-combined-cycle,benign,50,50,0
B,fit,aux_fit,benign,H2,iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0,iotsim-combined-cycle-tls,benign,88,68,0
B,fit,aux_fit,benign,H2,iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0,iotsim-domotic-monitor,benign,88,36,0
B,fit,aux_fit,benign,H2,iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,iotsim-domotic-monitor,benign,88,33,0
B,fit,aux_fit,benign,H2,iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,iotsim-domotic-monitor,benign,86,36,0
B,fit,aux_fit,benign,H3,iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,iotsim-building-monitor,benign,138,24,0
B,fit,aux_fit,benign,H3,iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0,iotsim-combined-cycle,benign,283,233,0
B,fit,aux_fit,benign,H3,iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0,iotsim-combined-cycle,benign,285,235,0
B,fit,aux_fit,benign,H3,iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0,iotsim-combined-cycle,benign,287,236,0
B,fit,aux_fit,benign,H3,iotsim-combined-cycle-7_0-0_to_OpenvSwitch-13_7-0,iotsim-combined-cycle,benign,288,237,0
B,fit,aux_fit,benign,H3,iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0,iotsim-combined-cycle,benign,286,233,0
B,fit,aux_fit,benign,H3,iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0,iotsim-combined-cycle,benign,284,233,0
B,fit,aux_fit,benign,H3,iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0,iotsim-combined-cycle-tls,benign,90,70,0
B,fit,aux_fit,benign,H3,iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0,iotsim-domotic-monitor,benign,138,14,0
