csv_archive_path,csv_file_id,raw_file_role,rows_seen,rows_written,excluded_rows,inferred_device,pcap_counterpart_candidate
processed/iotsim-ip-camera-museum-2.csv,19,id_benign_train,1232612,1232612,0,ip-camera-museum,raw/benign/iotsim-ip-camera-museum-2_0-0_to_OpenvSwitch-29_2-0.pcap
processed/iotsim-cooler-motor-15.csv,1,id_benign_train,22468,22468,0,cooler-motor,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap
processed/iotsim-cooler-motor-14.csv,2,id_benign_train,22475,22475,0,cooler-motor,raw/benign/iotsim-cooler-motor-14_0-0_to_OpenvSwitch-20_4-0.pcap
processed/iotsim-cooler-motor-13.csv,3,id_benign_train,22471,22471,0,cooler-motor,raw/benign/iotsim-cooler-motor-13_0-0_to_OpenvSwitch-20_3-0.pcap
processed/iotsim-cooler-motor-8.csv,4,id_benign_train,22466,22466,0,cooler-motor,raw/benign/iotsim-cooler-motor-8_0-0_to_OpenvSwitch-18_8-0.pcap
processed/iotsim-cooler-motor-9.csv,5,id_benign_train,22472,22472,0,cooler-motor,raw/benign/iotsim-cooler-motor-9_0-0_to_OpenvSwitch-18_9-0.pcap
processed/iotsim-cooler-motor-12.csv,6,id_benign_train,22469,22469,0,cooler-motor,raw/benign/iotsim-cooler-motor-12_0-0_to_OpenvSwitch-20_2-0.pcap
processed/iotsim-cooler-motor-10.csv,7,id_benign_train,22476,22476,0,cooler-motor,raw/benign/iotsim-cooler-motor-10_0-0_to_OpenvSwitch-18_10-0.pcap
processed/iotsim-cooler-motor-11.csv,10,id_benign_train,22472,22472,0,cooler-motor,raw/benign/iotsim-cooler-motor-11_0-0_to_OpenvSwitch-20_1-0.pcap
processed/iotsim-cooler-motor-7.csv,56,id_benign_train,22475,22475,0,cooler-motor,raw/benign/iotsim-cooler-motor-7_0-0_to_OpenvSwitch-18_7-0.pcap
processed/iotsim-cooler-motor-6.csv,57,id_benign_train,22468,22468,0,cooler-motor,raw/benign/iotsim-cooler-motor-6_0-0_to_OpenvSwitch-18_6-0.pcap
processed/iotsim-cooler-motor-4.csv,64,id_benign_train,22478,22478,0,cooler-motor,raw/benign/iotsim-cooler-motor-4_0-0_to_OpenvSwitch-18_4-0.pcap
processed/iotsim-cooler-motor-5.csv,65,id_benign_train,22471,22471,0,cooler-motor,raw/benign/iotsim-cooler-motor-5_0-0_to_OpenvSwitch-18_5-0.pcap
