split_role,label,row_count
attack_eval,C&C Communication,438
attack_eval,CoAP Amplification,274837
attack_eval,File Download,5986
attack_eval,Ingress Tool Transfer,18059
attack_eval,Merlin C&C Communication,19590
attack_eval,Merlin ICMP Flooding,37996
attack_eval,Merlin TCP Flooding,80000
attack_eval,Merlin UDP Flooding,19996
attack_eval,Mirai C&C Communication,716
attack_eval,Mirai GRE Flooding,3904086
attack_eval,Mirai TCP Flooding,4241598
attack_eval,Mirai UDP Flooding,5948465
attack_eval,Reporting,386
attack_eval,TCP Scan,563942
attack_eval,Telnet Brute Force,129821
attack_eval,UDP Scan,4242
attack_support_pool,C&C Communication,90
attack_support_pool,File Download,1210
attack_support_pool,Ingress Tool Transfer,3528
attack_support_pool,Merlin C&C Communication,9766
attack_support_pool,Merlin ICMP Flooding,19584
attack_support_pool,Merlin TCP Flooding,40000
attack_support_pool,Merlin UDP Flooding,10000
attack_support_pool,Mirai C&C Communication,358
attack_support_pool,Mirai GRE Flooding,2007315
attack_support_pool,Mirai TCP Flooding,2306575
attack_support_pool,Mirai UDP Flooding,2949430
attack_support_pool,Reporting,64
attack_support_pool,TCP Scan,173822
attack_support_pool,Telnet Brute Force,97828
final_ood_benign_eval,Benign,842307
id_benign_train,Benign,1716285
ood_benign_val,Benign,1308423
