source_group,source_cache_key,target_rows,max_recorded_index
processed/iotsim-building-monitor-2.csv,36b529cca84941c55617,1690,1739
processed/iotsim-building-monitor-3.csv,06c4886ce95ae59de8a1,914,963
processed/iotsim-city-power-1.csv,b64410149839d5911887,30,57190
processed/iotsim-combined-cycle-10.csv,ba40ddca60e2863c20e3,3168,126688
processed/iotsim-combined-cycle-tls-3.csv,9cab684ee0bdf02200ec,270,1940
processed/iotsim-combined-cycle-tls-4.csv,55432c5d487ff0699663,270,1943
processed/iotsim-combined-cycle-tls-5.csv,0d4a5a1557ff2a5e8504,269,1940
processed/iotsim-cooler-motor-5.csv,527592eba3efdc50e37d,3191,22470
processed/iotsim-cooler-motor-6.csv,7baefa32ee58910bbadd,1306,22464
processed/iotsim-cooler-motor-7.csv,0a88fd1091285b2af7bb,1306,22458
processed/iotsim-cooler-motor-8.csv,00d4999ce8bae290c961,292,5060
processed/iotsim-cooler-motor-9.csv,47a5217c5c8035773457,96,1681
processed/iotsim-domotic-monitor-1.csv,90ebaca0840e81508b08,972,149980
processed/iotsim-hydraulic-system-1.csv,66f2da2077b0b177d0e3,1353,3868
processed/iotsim-hydraulic-system-10.csv,4c8e6f2c9b86741a2e0d,869,2503
processed/iotsim-hydraulic-system-11.csv,f0709cadf22b842304c4,856,2465
processed/iotsim-hydraulic-system-12.csv,8f32c4e85a2ccaec36ba,601,2494
processed/iotsim-hydraulic-system-13.csv,45f7674e2d5e9d50f518,597,2477
processed/iotsim-hydraulic-system-14.csv,cbab670ff107cff0dc84,598,2480
processed/iotsim-hydraulic-system-15.csv,f368ea5111a41464180b,601,2494
processed/iotsim-hydraulic-system-2.csv,b960354e77316f37a591,603,2499
processed/iotsim-ip-camera-street-2.csv,72eddf5059db93246479,3000,99999
processed/iotsim-stream-consumer-1.csv,8f7ce1482bd8c8f5ec2b,4000,149999
processed/iotsim-stream-consumer-2.csv,739742c05ddd14074588,3000,79999
