file,description,size_bytes
summary.md,Run summary and supervision paradigm,3378
missing_input_report.md,Input availability report,887
adapter_fairness_protocol.md,Adapter-level fairness protocol,2211
representation_ablation_protocol.md,Representation-level ablation protocol,1798
method_level_baseline_protocol.md,Method-level baseline protocol,1926
baseline_fairness_matrix.csv,Baseline data and fairness matrix,4662
baseline_priority_table.md,Required optional and design-only baselines,1267
threshold_and_hyperparameter_protocol.md,Unified threshold and hyperparameter rules,1690
input_fairness_explanation.md,Input fairness rationale,2257
issue25c_minimal_run_matrix.csv,Minimal execution matrix for issue25c,1799
issue25c_execution_plan.md,Staged execution plan for issue25c,1638
metric_protocol.md,Metric definitions and aggregation rules,1023
paper_table_plan.md,Paper table planning,1249
reviewer_defense_baseline_fairness.md,Reviewer defense for baseline fairness,2373
claim_boundary.md,Allowed and forbidden claims,765
risk_register.csv,Risk register,1579
recommended_next_action.md,Unique next action,872
doc_update_patch_suggestion.md,Optional mainline docs update text,367
manifest.csv,Manifest,1214
