baseline_name,baseline_category,uses_attack_supports,attack_support_budget,input_feature_set,allowed_train_data,forbidden_data,hyperparameter_selection_data,threshold_calibration_data,final_eval_data,fairness_rationale,expected_risk,implementation_complexity,run_priority
V1_original100_fixed_guard_LR,existing_detector_baseline,yes,32,original100,ID_train;OOD_train;kcenter32_attack_supports,final_OOD_eval;final_attack_eval,train_cal_val,ID_calibration;OOD_validation,report_only,keeps cold-start/internal baseline continuity,not same representation as top64,low,required
V2_top32_source_rich_fixed_guard_LR,existing_detector_baseline,yes,32,selected_source_rich_top32,ID_train;OOD_train;kcenter32_attack_supports,final_OOD_eval;final_attack_eval,train_cal_val,ID_calibration;OOD_validation,report_only,tests top32 instability against top64,known OOD overbudget in some settings,low,required
Enhanced_LOW_GUARD_top64_fixed_guard_LR,main_method,yes,32,selected_source_rich_top64,ID_train;OOD_train;kcenter32_attack_supports,final_OOD_eval;final_attack_eval,train_cal_val,ID_calibration;OOD_validation,report_only,frozen main candidate,moderate locked validation only,low,required
Top64_no_guard,component_ablation,yes,32,selected_source_rich_top64,ID_train;kcenter32_attack_supports,final_OOD_eval;final_attack_eval;OOD_eval_for_tuning,train_cal_val,ID_calibration;OOD_validation,report_only,isolates OOD guard contribution,may violate low-alert budget,low,required
Top64_random32,component_ablation,yes,32,selected_source_rich_top64,ID_train;OOD_train;random32_attack_supports,final_OOD_eval;final_attack_eval,train_cal_val,ID_calibration;OOD_validation,report_only,isolates kcenter coreset contribution,seed instability,low,required
Isolation_Forest,unsupervised_anomaly,no,0,selected_source_rich_top64,ID_train;OOD_train_if_method_allows,attack_supports;final_OOD_eval;final_attack_eval,train_cal_val,ID_calibration;OOD_validation,report_only,unsupervised baseline should not receive labels,score orientation and contamination choice,low,required
OC_SVM,unsupervised_anomaly,no,0,selected_source_rich_top64,ID_train;OOD_train_if_method_allows,attack_supports;final_OOD_eval;final_attack_eval,train_cal_val,ID_calibration;OOD_validation,report_only,standard one-class low-alert baseline,scaling and nu sensitivity,medium,required
LOF,unsupervised_anomaly,no,0,selected_source_rich_top64,ID_train,attack_supports;final_OOD_eval;final_attack_eval,train_cal_val,ID_calibration;OOD_validation,report_only,optional density baseline,poor scalability and score calibration,medium,optional
HistGB_shallow,nonlinear_tabular,yes,32,selected_source_rich_top64,ID_train;OOD_train;kcenter32_attack_supports,final_OOD_eval;final_attack_eval,train_cal_val,ID_calibration;OOD_validation,report_only,tests shallow nonlinear interactions under same supervision,few-shot overfit,medium,required
DevNet_like_lightweight,fewshot_anomaly,yes,32,selected_source_rich_top64,ID_train;OOD_train;kcenter32_attack_supports,final_OOD_eval;final_attack_eval,train_cal_val,ID_calibration;OOD_validation,report_only,modern few-shot anomaly baseline with same labels,architecture and early stopping sensitivity,high,required
DeepSAD_like_lightweight,semisupervised_anomaly,yes,32,selected_source_rich_top64,ID_train;OOD_train;kcenter32_attack_supports,final_OOD_eval;final_attack_eval,train_cal_val,ID_calibration;OOD_validation,report_only,semi-supervised anomaly baseline with same labels,center objective mismatch,high,required
Full_source_rich_LR,representation_variant,yes,32,full_source_rich,ID_train;OOD_train;kcenter32_attack_supports,final_OOD_eval;final_attack_eval,train_cal_val,ID_calibration;OOD_validation,report_only,tests whether top64 selection is necessary,feature alignment and overfit risk,medium,optional
RoSAS_like,semisupervised_anomaly,yes,32,selected_source_rich_top64,ID_train;OOD_train;kcenter32_attack_supports,final_OOD_eval;final_attack_eval,train_cal_val,ID_calibration;OOD_validation,report_only,relevant few-shot anomaly family if feasible,implementation complexity high,high,design_only
Issue24c_fusion_reference,adapter_reference,yes,32,V1_score;V2_top64_score,ID_train;OOD_train;kcenter32_attack_supports,final_OOD_eval;final_attack_eval,train_cal_val,ID_calibration;OOD_validation,report_only,keeps negative fusion evidence visible,not replacement candidate,low,optional
Large_neural_detector,design_only,no_or_yes,method_defined,method_native,method_defined,final_OOD_eval;final_attack_eval,train_cal_val,ID_calibration;OOD_validation,report_only,not suitable for immediate fair pack without careful design,scope creep and unfair tuning,high,design_only
