rule_id,gate,required_inputs,allowed_roles,pass_effect,fail_effect,notes
activation_001,eligible_support_only,exact_label timestamp_alignment source_role quarantine_status,support_train|support_val,candidate may be audited,quarantined_region,final/report-only roles forbidden
activation_002,declared_space,space_name scaler_fit_role distance_metric,support_train|support_val,candidate may compute distances,ambiguous_region,no distance is meaningful without declared space
activation_003,minimum_support_count,support_train_count support_val_count,support_train|support_val,candidate may remain eligible,ambiguous_region,numeric minimum remains open for issue27cj
activation_004,label_consensus,exact_label_mix semantic_group_mix,support_train|support_val,records single_label or mixed_label evidence,active_conflict_sensitive_or_ambiguous,mixed labels are allowed only if geometry and semantics justify them
activation_005,source_diversity,file_count device_count phase_count pcap_count,support_train|support_val,records diversity confidence,active_conflict_sensitive_or_ambiguous,one-file or one-device dominance weakens activation
activation_006,compactness_audit,intra_region_distance support_val_distance,support_train|support_val,active_candidate_if_stable,ambiguous_region,numeric threshold is not fixed in issue27ci
activation_007,separation_audit,nearest_other_region_distance overlap_score,support_train|support_val,active_candidate_if_separable,merge_candidate_or_ambiguous,prevents duplicate regions with no evidence value
activation_008,ood_overlap_audit,development_benign_ood_distance overlap_warning,ood_benign_val|ood_benign_stress,active_strong_if_low_overlap,active_conflict_sensitive_or_ambiguous,sealed_final_ood forbidden
activation_009,dev_query_stress,coverage unknown_rate shell_distribution,certified_dev_query_only,report_protocol_stability,no_activation_change,dev query validates behavior but cannot create support or tune final thresholds
activation_010,hash_and_manifest,provenance_hash role_access_audit region_manifest,support_train|support_val,region registry row may be frozen,quarantined_region,activation requires audit trail
