candidate_id,evidence_kind,source_uri,archived_relative_path,bytes,sha256_or_git_tree,accessed_utc,claim_scope
E1,official_repo_tree,https://github.com/linwhitehat/ET-BERT,ET-BERT,0,c6a38bf22d5cb5dc7d8c625684d0e91222c5d2e8,2026-08-11T02:43:30Z,official repository identity at d59470624acd11405f9e88da650cf3bf65521e9a
E1,official_readme,https://github.com/linwhitehat/ET-BERT/blob/d59470624acd11405f9e88da650cf3bf65521e9a/README.md,ET-BERT/README.md,9032,ec5b9c8812058ace1002eb8a3b161468952f1f810c82860906bbdc16f3121206,2026-08-11T02:43:30Z,checkpoint link corpus disclosure and inference entry
E1,license,https://github.com/linwhitehat/ET-BERT/blob/d59470624acd11405f9e88da650cf3bf65521e9a/LICENSE,ET-BERT/LICENSE,1081,149e6032d1cdd672b54bc5409a0111118f9ef7a1b508e37e17219f9e87f1f75c,2026-08-11T02:43:30Z,MIT repository license
E1,fixed_vocab,https://github.com/linwhitehat/ET-BERT/blob/d59470624acd11405f9e88da650cf3bf65521e9a/models/encryptd_vocab.txt,ET-BERT/models/encryptd_vocab.txt,360082,250423b90f699299dcaa86fb76d9fe4e31fefb920de8044e67d2cb338135743a,2026-08-11T02:43:30Z,tokenizer does not require target fitting
E1,official_preprocessor,https://github.com/linwhitehat/ET-BERT/blob/d59470624acd11405f9e88da650cf3bf65521e9a/data_process/dataset_generation.py,ET-BERT/data_process/dataset_generation.py,20611,6d0d0300d32c94d696ccf7cc453854d95623db5455f9a487ab1553d5942ae561,2026-08-11T02:43:30Z,prefix adapter and packet byte requirements
E1,incomplete_checkpoint_transfer,https://drive.google.com/file/d/1r1yE34dU2W8zSqx1FkB8gCWri4DQWVtE/view?usp=sharing,weights/ET-BERT-pretrained_model.binresume.part,356515840,3770da186f7a3c8e81b1ca7799ff4032fa01228db6dfa1ba4b4eb44cfcba18d6,2026-08-11T02:43:30Z,partial transfer evidence only and explicitly not a checkpoint identity
E2,official_repo_tree,https://github.com/NSSL-SJTU/YaTC,YaTC,0,06dbc5d8fb68949de8ea055ee03053feb5d726bb,2026-08-11T02:43:30Z,official repository identity at a220b75f8365acaf63dbac7df87aaaa357698b85 and zero LICENSE or COPYING path
E2,official_readme,https://github.com/NSSL-SJTU/YaTC/blob/a220b75f8365acaf63dbac7df87aaaa357698b85/README.md,YaTC/README.md,2037,f4dffa24468452aeb43cde51d826dc7f4cb2eeef4f28d15b537a5d5b0dce59d8,2026-08-11T02:43:30Z,checkpoint corpus dependencies and lack of license grant
E2,official_preprocessor,https://github.com/NSSL-SJTU/YaTC/blob/a220b75f8365acaf63dbac7df87aaaa357698b85/data_process.py,YaTC/data_process.py,1909,df57284d6bb090d066e8b78c33a524bfd45df0173f3d4f624d375a9e4601592f,2026-08-11T02:43:30Z,first five IPv4 packets and MFR byte image contract
E3,official_repo_tree,https://github.com/SNL-UCSB/netFound,netFound,0,f265f069fe2abd0bc0a346f4e9910aff4036c9c9,2026-08-11T02:43:30Z,official repository identity at b3ab5a3aa72640cc725ef207fb0145b039a57d35
E3,official_readme,https://github.com/SNL-UCSB/netFound/blob/b3ab5a3aa72640cc725ef207fb0145b039a57d35/README.md,netFound/README.md,8016,5579c63c0429928c12c7a1f4ca3cf13495a8f90d0149fbf1edbcf9c42796931d,2026-08-11T02:43:30Z,base checkpoint identity UCSB corpus and official preprocessing
E3,license,https://github.com/SNL-UCSB/netFound/blob/b3ab5a3aa72640cc725ef207fb0145b039a57d35/LICENSE,netFound/LICENSE,1108,d063d81baad86119a3e725ce400e619d133f8e4f946a534674f3a9fffd2988e0,2026-08-11T02:43:30Z,MIT repository license
E3,official_config,https://github.com/SNL-UCSB/netFound/blob/b3ab5a3aa72640cc725ef207fb0145b039a57d35/configs/DefaultConfigNoTCPOptions.json,netFound/configs/DefaultConfigNoTCPOptions.json,956,366c484d36e97a478148936d2688fe71ad04c43cec92f378b752bec2acc97230,2026-08-11T02:43:30Z,no-payload field extraction contract
E3,official_inference,https://github.com/SNL-UCSB/netFound/blob/b3ab5a3aa72640cc725ef207fb0145b039a57d35/src/netFoundInference.py,netFound/src/netFoundInference.py,9020,296df7b4616f41f149b5e96e3e46014933176c98b2cf355124012b113e2f4d64,2026-08-11T02:43:30Z,documented embedding inference and CUDA requirement
E3,official_model_config,https://huggingface.co/snlucsb/netFound-base/blob/b812e625999165376ddb47a39d0d5579d4edce89/config.json,weights/netFound-base-config.json,4691,e22262d4b840a0055915f6c48e9c64d04e790f80e907fa9dc06df855eff05401,2026-08-11T02:43:30Z,official base model architecture identity
E3,official_checkpoint,https://huggingface.co/snlucsb/netFound-base/blob/b812e625999165376ddb47a39d0d5579d4edce89/model.safetensors,weights/netFound-base-model.safetensors.complete,698780900,e6237f49ce58840f8bf7d0cafa5ae80f58d05ea158053d031792d0369d7f5105,2026-08-11T02:43:30Z,complete checkpoint identity equal to official X-Linked-ETag
I1,frozen_contract,PROJECT_REPOSITORY,runs/mainline_docs/ckda_d0_representation_compatibility_audit_preregistered_20260811.md,0,ac4e2c2093811929e0fd20b65bb0c727ef3f872f6f7586b3049cf5758fc9c8b5,2026-08-11T02:43:30Z,project-controlled candidate identity and pre-census data gate
