uid,source_group,dataset_kind,container_path,raw_source_path,target_event_position_within_capture
aux:aux_fit:iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0:106,iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0.pcap,606.0
aux:aux_fit:iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0:298,iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0.pcap,798.0
aux:aux_fit:iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0:476,iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0.pcap,976.0
aux:aux_fit:iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0:370,iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0.pcap,870.0
aux:aux_fit:iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0:93,iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0.pcap,593.0
aux:aux_fit:iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0:356,iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0.pcap,856.0
aux:aux_fit:iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0:79,iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0.pcap,579.0
ood_val:fit:20973,processed/iotsim-building-monitor-2.csv,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap,225.0
ood_val:fit:21110,processed/iotsim-building-monitor-2.csv,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap,422.0
ood_val:fit:21247,processed/iotsim-building-monitor-2.csv,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap,607.0
ood_val:fit:21384,processed/iotsim-building-monitor-2.csv,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap,798.0
ood_val:fit:21521,processed/iotsim-building-monitor-2.csv,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap,976.0
ood_val:fit:21658,processed/iotsim-building-monitor-2.csv,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap,1159.0
ood_val:fit:21795,processed/iotsim-building-monitor-2.csv,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap,1344.0
ood_val:fit:21932,processed/iotsim-building-monitor-2.csv,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap,1530.0
ood_val:fit:22069,processed/iotsim-building-monitor-2.csv,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap,1711.0
ood_val:fit:22206,processed/iotsim-building-monitor-2.csv,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap,1890.0
ood_val:fit:22343,processed/iotsim-building-monitor-2.csv,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap,2069.0
ood_val:fit:22480,processed/iotsim-building-monitor-2.csv,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap,2249.0
ood_val:fit:22663,processed/iotsim-building-monitor-3.csv,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-building-monitor-3_0-0_to_OpenvSwitch-28_3-0.pcap,221.0
ood_val:fit:22800,processed/iotsim-building-monitor-3.csv,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-building-monitor-3_0-0_to_OpenvSwitch-28_3-0.pcap,416.0
ood_val:fit:22937,processed/iotsim-building-monitor-3.csv,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-building-monitor-3_0-0_to_OpenvSwitch-28_3-0.pcap,598.0
ood_val:fit:23074,processed/iotsim-building-monitor-3.csv,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-building-monitor-3_0-0_to_OpenvSwitch-28_3-0.pcap,792.0
ood_val:fit:23348,processed/iotsim-building-monitor-3.csv,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-building-monitor-3_0-0_to_OpenvSwitch-28_3-0.pcap,1151.0
ood_val:fit:23485,processed/iotsim-building-monitor-3.csv,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-building-monitor-3_0-0_to_OpenvSwitch-28_3-0.pcap,1335.0
support_train:fit:201,processed/iotsim-ip-camera-museum-1.csv,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,194982.0
ton:ckbt_3864843d41e6784e5837,password_normal1.pcap,direct_pcap,D:\study\paper\anomaly_detection\paper04\datasets\external\ton_iot_raw_network\raw_pcap_pilot_v1\password_normal1.pcap,password_normal1.pcap,350943.0
ton:ton_normal:normal_1:1489381,normal_1.pcap,direct_pcap,D:\study\paper\anomaly_detection\paper04\datasets\external\ton_iot_raw_network\raw_pcap_pilot_v1\normal_1.pcap,normal_1.pcap,1489381.0
